Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Thu Jun 27 23:37:41 2024



*** Sampled system activity (Sun Jun 30 13:50:29 2024 +0200) (30007.45ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    4765   192.90    89.23  40.25   10.90              61.84   3.30              150.70          
Google Chrome                      3395   72.07     75.70  0.00    0.00               9.03    0.53              29.26           
WindowServer                       373    195.58    65.26  12.09   0.50               220.37  10.20             25.40           
DEAD_TASKS                         -1     16.30     80.92  1.33    1.30               6.30    0.33              22.68           
Google Chrome Helper (GPU)         3401   71.09     64.59  0.40    0.00               117.18  7.96              19.01           
Google Chrome Helper               3402   11.41     56.07  0.00    0.00               4.23    0.70              14.04           
Google Chrome Helper (Renderer)    4772   6.86      78.77  0.23    0.27               1.15    0.00              11.58           
fontd                              627    1.78      97.46  0.00    0.00               0.07    0.00              5.75            
kernel_task                        0      89.47     0.00   406.02  1.23               1201.77 315.09            4.36            
Google Chrome Helper (Renderer)    4773   1.91      70.52  0.00    0.00               0.19    0.00              4.25            
Google Chrome Helper (Renderer)    4771   3.48      69.16  0.00    0.00               0.37    0.00              3.27            
WindowManager                      563    4.93      90.62  0.00    0.00               0.07    0.00              0.90            
powermetrics                       4770   1.82      50.75  0.00    0.00               0.07    0.00              0.75            
Terminal                           867    3.84      78.16  0.00    0.00               0.60    0.07              0.52            
launchd                            1      0.55      25.05  0.00    0.00               0.07    0.03              0.47            
Microsoft Word                     977    8.34      86.43  0.00    0.00               19.09   1.13              0.47            
CursorUIViewService                706    1.39      81.32  0.00    0.00               0.27    0.03              0.34            
locationd                          352    1.28      81.24  0.00    0.00               0.53    0.03              0.24            
RStudio Helper (GPU)               3930   1.86      72.04  0.03    0.10               2.70    0.17              0.21            
mds                                334    2.88      55.21  0.00    0.00               4.56    0.60              0.20            
Google Chrome Helper               3405   0.29      70.27  0.00    0.03               0.50    0.00              0.20            
mds_stores                         514    1.91      77.19  0.00    0.00               0.17    0.03              0.19            
PerfPowerServices                  4267   2.17      69.06  0.00    0.00               0.20    0.00              0.18            
ContextStoreAgent                  601    1.08      84.37  0.00    0.00               0.03    0.00              0.18            
runningboardd                      379    1.40      74.13  0.00    0.00               0.63    0.03              0.17            
fseventsd                          310    1.96      49.31  0.03    0.03               5.43    0.60              0.17            
BiomeAgent                         656    1.07      40.93  0.00    0.00               0.03    0.00              0.17            
corespotlightd                     586    0.17      57.31  0.00    0.00               0.07    0.00              0.16            
Dock                               564    1.96      53.86  0.00    0.00               1.13    0.03              0.14            
distnoted                          546    0.58      85.48  0.00    0.00               0.00    0.00              0.13            
rsession-arm64                     3951   4.12      70.97  0.10    0.00               47.55   3.43              0.13            
logd                               305    1.72      53.89  0.00    0.00               0.00    0.00              0.13            
RStudio Helper (Renderer)          3963   3.03      93.57  0.33    0.03               2.53    0.20              0.12            
bluetoothd                         366    1.83      77.87  0.00    0.00               0.50    0.00              0.09            
RStudio                            3929   2.44      82.08  0.83    0.00               1.27    0.10              0.08            
corebrightnessd                    369    1.87      55.67  0.00    0.00               1.00    0.07              0.08            
mdworker_shared                    4755   0.54      70.27  0.00    0.00               0.00    0.00              0.07            
mdworker_shared                    4747   0.48      69.39  0.00    0.00               0.00    0.00              0.07            
mdworker_shared                    4752   0.48      70.60  0.00    0.00               0.00    0.00              0.07            
powerd                             319    0.80      51.84  0.00    0.00               0.07    0.00              0.07            
airportd                           405    1.27      65.88  0.00    0.00               1.50    0.03              0.07            
mdworker_shared                    4757   0.48      68.07  0.00    0.00               0.00    0.00              0.07            
analyticsd                         426    0.36      72.50  0.00    0.00               0.13    0.00              0.07            
distnoted                          357    0.38      59.01  0.00    0.00               0.03    0.03              0.06            
symptomsd                          466    0.72      73.57  0.00    0.00               0.03    0.00              0.05            
trustd                             606    0.44      86.98  0.00    0.00               0.30    0.03              0.05            
RStudio Helper                     3931   1.60      73.57  1.00    0.00               5.33    0.43              0.05            
launchservicesd                    347    0.32      63.50  0.00    0.00               0.13    0.00              0.04            
notifyd                            367    0.10      63.21  0.00    0.00               0.00    0.00              0.04            
