Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Thu Jun 27 23:37:41 2024



*** Sampled system activity (Sun Jun 30 13:35:47 2024 +0200) (30007.84ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    4687   228.18    90.00  38.51   12.23              58.87   2.23              184.66          
Google Chrome                      3395   79.59     74.65  0.00    0.00               9.03    0.43              31.25           
WindowServer                       373    212.43    64.55  18.02   0.30               246.21  7.93              27.24           
DEAD_TASKS                         -1     29.65     77.26  1.47    1.50               7.23    0.27              25.33           
Google Chrome Helper (GPU)         3401   61.58     64.80  0.30    0.07               108.58  6.43              21.00           
Google Chrome Helper               3402   12.79     56.47  0.00    0.00               5.00    0.47              15.54           
Google Chrome Helper (Renderer)    4694   8.87      77.31  0.33    0.39               1.38    0.06              13.25           
RStudio Helper (Renderer)          3963   8.29      92.25  2.63    0.10               5.20    1.13              6.09            
fontd                              627    1.76      97.45  0.00    0.00               0.03    0.00              5.67            
kernel_task                        0      94.16     0.00   410.30  3.23               1257.05 313.88            4.75            
searchpartyd                       540    27.78     93.13  0.00    0.00               0.23    0.00              4.42            
opendirectoryd                     345    1.84      91.04  0.00    0.00               0.13    0.00              3.97            
Google Chrome Helper (Renderer)    4693   4.12      67.79  0.04    0.00               0.35    0.00              3.56            
Google Chrome Helper (Renderer)    4695   2.29      71.55  0.00    0.00               0.17    0.00              4.93            
powermetrics                       4692   2.19      52.99  0.00    0.00               0.03    0.00              0.85            
WindowManager                      563    4.62      90.43  0.00    0.00               0.03    0.00              0.72            
Microsoft Word                     977    13.54     89.15  0.00    0.00               30.98   1.50              0.68            
Terminal                           867    4.42      71.17  0.03    0.00               0.77    0.03              0.59            
runningboardd                      379    7.17      76.22  0.00    0.00               1.60    0.03              0.49            
launchd                            1      3.24      14.81  0.00    0.00               0.17    0.03              0.39            
CursorUIViewService                706    1.38      81.28  0.00    0.00               0.20    0.00              0.35            
fseventsd                          310    3.45      65.06  0.07    0.07               5.83    0.63              0.30            
mds                                334    2.55      53.52  0.00    0.00               4.90    0.57              0.25            
PerfPowerServices                  4267   2.17      69.88  0.00    0.00               0.17    0.00              0.22            
RStudio Helper (GPU)               3930   1.67      73.37  0.07    0.20               3.17    0.17              0.22            
airportd                           405    2.70      68.60  0.00    0.00               1.47    0.07              0.22            
Google Chrome Helper               3405   0.32      69.57  0.00    0.03               0.57    0.03              0.21            
mds_stores                         514    1.83      72.30  0.00    0.00               0.13    0.00              0.20            
corespotlightd                     586    0.17      61.17  0.00    0.00               0.03    0.00              0.18            
ContextStoreAgent                  601    1.12      84.08  0.00    0.00               0.03    0.00              0.17            
logd                               305    2.51      56.28  0.00    0.00               0.00    0.00              0.17            
BiomeAgent                         656    1.01      42.05  0.00    0.00               0.03    0.00              0.17            
Dock                               564    2.73      52.97  0.00    0.00               2.23    0.07              0.16            
configd                            317    0.79      48.47  0.00    0.00               0.10    0.00              0.14            
rsession-arm64                     3951   4.32      71.84  0.10    0.00               47.51   2.20              0.14            
Microsoft Excel                    1937   3.43      74.70  0.00    0.00               4.86    0.30              0.14            
RStudio                            3929   2.49      81.63  0.83    0.00               1.30    0.00              0.13            
dasd                               355    1.25      70.63  0.00    0.00               0.23    0.03              0.12            
distnoted                          546    0.58      85.24  0.00    0.00               0.00    0.00              0.12            
locationd                          352    1.94      84.67  0.00    0.00               0.53    0.00              0.11            
mDNSResponder                      444    0.60      25.84  0.53    0.00               1.00    0.10              0.10            
corebrightnessd                    369    1.86      54.88  0.00    0.00               1.00    0.00              0.09            
mdworker_shared                    4673   0.60      64.74  0.00    0.00               0.00    0.00              0.08            
bluetoothd                         366    2.08      77.20  0.00    0.00               0.47    0.00              0.08            
powerd                             319    0.96      50.36  0.00    0.00               0.10    0.00              0.08            
mdworker_shared                    4654   0.47      70.92  0.00    0.00               0.00    0.00              0.08            
mdworker_shared                    4674   0.45      71.17  0.00    0.00               0.00    0.00              0.07            
symptomsd                          466    0.73      71.90  0.00    0.00               0.03    0.00              0.06            
filecoordinationd                  603    1.05      75.91  0.00    0.00               0.73    0.03              0.06            
mdworker_shared                    4652   0.31      73.66  0.00    0.00               0.00    0.00              0.06            
gamepolicyd                        868    0.85      70.28  0.00    0.00               0.73    0.00              0.06            
analyticsd                         426    0.41      69.32  0.00    0.00               0.07    0.00              0.06            
distnoted                          357    0.37      60.78  0.00    0.00               0.00    0.00              0.06            
RStudio Helper                     3931   1.55      74.42  1.00    0.00               5.33    0.33              0.05            
launchservicesd                    347    0.25      59.97  0.00    0.00               0.13    0.00              0.05            
notifyd                            367    0.17      65.19  0.00    0.00               0.03    0.00              0.04            
audioclocksyncd                    460    1.07      57.70  0.00    0.00               0.03    0.00              0.04            
UserEventAgent                     307    0.45      76.85  0.00    0.00               0.10    0.00              0.04            
contentlinkingd                    1055   0.04      67.29  0.00    0.00               0.03    0.00              0.04            
cfprefsd                           548    0.33      42.39  0.00    0.00               0.20    0.03              0.03            
cloudd                             641    0.58      72.99  0.00    0.00               0.20    0.00              0.03            
UserEventAgent                     554    0.33      80.76  0.00    0.00               0.07    0.00              0.03            
useractivityd                      691    0.06      66.55  0.00    0.00               0.10    0.00              0.03            
nearbyd                            681    0.31      69.16  0.00    0.00               0.50    0.00              0.02            
contextstored                      382    0.26      67.45  0.00    0.00               0.33    0.03              0.02            
ViewBridgeAuxiliary                636    0.11      61.92  0.00    0.00               0.07    0.00              0.02            
trustd                             606    0.14      86.39  0.00    0.00               0.17    0.03              0.02            
sharingd                           671    0.49      80.74  0.00    0.00               0.73    0.07              0.02            
rtcreportingd                      761    0.34      81.33  0.00    0.00               0.20    0.03              0.02            
proactived                         1830   0.19      69.07  0.00    0.00               0.03    0.00              0.02            
WiFiAgent                          642    0.13      76.59  0.00    0.00               0.00    0.00              0.02            
wifip2pd                           461    0.21      68.84  0.00    0.00               0.57    0.03              0.01            
TextInputSwitcher                  692    0.13      58.08  0.00    0.00               0.07    0.00              0.01            
cfprefsd                           374    0.26      31.89  0.00    0.00               0.13    0.03              0.01            
mdworker_shared                    4651   0.07      65.99  0.00    0.00               0.00    0.00              0.01            
mdworker_shared                    4655   0.09      67.86  0.00    0.00               0.00    0.00              0.01            
mdworker_shared                    4653   0.07      61.96  0.00    0.00               0.00    0.00              0.01            
Finder                             568    0.20      58.45  0.00    0.00               0.03    0.00              0.01            
com.apple.AccountPolicyHelper      526    0.01      42.20  0.00    0.00               0.03    0.00              0.01            
ProtectedCloudKeySyncing           1241   0.20      74.71  0.00    0.00               0.07    0.00              0.01            
