Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Thu Jun 27 23:37:41 2024



*** Sampled system activity (Sun Jun 30 14:06:48 2024 +0200) (30007.51ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
plugin-container                   4816   149.93    91.89  1.80    2.67               27.95   1.30              130.54          
firefox                            4801   175.99    69.85  0.50    0.17               128.04  14.86             103.97          
WindowServer                       373    168.90    62.90  13.96   0.03               188.08  9.36              27.05           
plugin-container                   4855   4.15      79.60  0.04    0.00               0.49    0.00              8.78            
plugin-container                   4822   3.53      86.51  0.00    0.30               1.67    0.30              4.94            
kernel_task                        0      74.19     0.00   293.60  1.97               1120.74 234.59            3.98            
powermetrics                       4854   1.47      30.44  0.00    0.00               0.07    0.00              0.68            
plugin-container                   4803   0.67      68.42  0.00    0.00               1.17    0.03              0.58            
launchd                            1      0.36      29.52  0.00    0.00               0.13    0.03              0.52            
Terminal                           867    3.55      81.22  0.00    0.00               0.67    0.03              0.49            
Microsoft Word                     977    8.59      88.48  0.00    0.00               20.39   2.23              0.44            
launchservicesd                    347    0.85      61.22  0.00    0.00               0.23    0.03              0.42            
runningboardd                      379    1.48      75.69  0.00    0.00               0.73    0.00              0.31            
plugin-container                   4817   0.80      58.71  0.00    0.00               0.40    0.03              0.30            
CursorUIViewService                706    1.15      80.42  0.00    0.00               0.23    0.00              0.27            
RStudio Helper (GPU)               3930   1.81      72.87  0.03    0.17               3.03    0.17              0.22            
WindowManager                      563    0.97      87.85  0.00    0.00               0.10    0.00              0.19            
mds                                334    3.08      59.51  0.00    0.00               2.40    0.23              0.18            
loginwindow                        376    0.25      86.45  0.00    0.00               0.07    0.00              0.17            
ContextStoreAgent                  601    0.96      85.23  0.00    0.00               0.07    0.00              0.17            
mds_stores                         514    2.47      78.81  0.00    0.00               0.20    0.00              0.17            
BiomeAgent                         656    0.88      42.23  0.00    0.00               0.07    0.00              0.17            
PerfPowerServices                  4267   2.74      71.49  0.00    0.00               0.17    0.03              0.14            
RStudio Helper (Renderer)          3963   2.57      92.82  0.37    0.10               2.47    0.17              0.14            
plugin-container                   4804   0.15      79.47  0.00    0.00               0.33    0.00              0.13            
rsession-arm64                     3951   3.50      73.10  0.10    0.00               47.51   6.03              0.11            
fontd                              627    0.05      72.47  0.00    0.00               0.03    0.00              0.11            
logd                               305    1.10      52.68  0.00    0.00               0.07    0.03              0.10            
fseventsd                          310    1.50      45.60  0.07    0.00               3.17    0.20              0.10            
RStudio                            3929   2.29      81.53  0.83    0.00               1.33    0.07              0.09            
corebrightnessd                    369    1.81      51.92  0.00    0.00               1.00    0.13              0.08            
cfprefsd                           548    0.12      40.73  0.00    0.00               0.13    0.00              0.08            
distnoted                          546    0.46      91.04  0.00    0.00               0.03    0.03              0.08            
airportd                           405    1.21      67.00  0.00    0.00               1.23    0.07              0.07            
mdworker_shared                    4853   0.98      68.22  0.00    0.00               0.03    0.00              0.06            
gamepolicyd                        868    0.30      66.45  0.00    0.00               0.50    0.00              0.06            
trustd                             422    0.06      82.87  0.00    0.00               0.23    0.00              0.06            
bluetoothd                         366    1.25      76.80  0.00    0.00               0.53    0.07              0.06            
powerd                             319    0.75      48.57  0.00    0.00               0.07    0.07              0.06            
mDNSResponder                      444    0.69      49.08  1.80    0.00               2.77    0.13              0.05            
mdworker_shared                    4845   0.37      77.18  0.00    0.00               0.03    0.00              0.05            
RStudio Helper                     3931   1.49      74.02  1.00    0.00               5.33    0.67              0.05            
cfprefsd                           374    0.04      50.22  0.00    0.00               0.13    0.00              0.04            
audioclocksyncd                    460    1.02      56.33  0.00    0.00               0.03    0.00              0.04            
Microsoft Excel                    1937   0.88      75.58  0.00    0.00               3.66    0.43              0.03            
locationd                          352    0.83      74.66  0.00    0.00               0.47    0.00              0.03            
com.apple.CodeSigningHelper        473    0.03      39.03  0.00    0.00               0.07    0.00              0.03            
mdworker_shared                    4849   0.34      64.55  0.00    0.00               0.03    0.00              0.03            
distnoted                          357    0.36      60.09  0.00    0.00               0.03    0.03              0.03            
sharingd                           671    0.36      79.46  0.00    0.00               0.70    0.03              0.02            
ViewBridgeAuxiliary                636    0.09      61.40  0.00    0.00               0.03    0.00              0.02            
notifyd                            367    0.04      36.65  0.00    0.00               0.00    0.00              0.02            
searchpartyd                       540    0.60      79.96  0.00    0.00               0.20    0.03              0.02            
contextstored                      382    0.17      65.91  0.00    0.00               0.33    0.00              0.02            
trustd                             606    0.13      86.79  0.00    0.00               0.17    0.00              0.02            
proactived                         1830   0.15      70.30  0.00    0.00               0.03    0.00              0.02            
symptomsd                          466    0.26      68.18  0.00    0.00               0.07    0.03              0.02            
nearbyd                            681    0.19      64.52  0.00    0.00               0.50    0.03              0.02            
mdworker_shared                    4852   0.17      67.31  0.00    0.00               0.03    0.00              0.01            
lockoutagent                       602    0.22      48.75  0.00    0.00               1.00    0.13              0.01            
com.apple.dock.extra               694    0.04      71.51  0.00    0.00               0.10    0.03              0.01            
dasd                               355    0.15      73.86  0.00    0.00               0.17    0.03              0.01            
Finder                             568    0.21      49.91  0.00    0.00               0.07    0.00              0.01            
com.apple.security.pboxd           3752   0.05      68.68  0.00    0.00               0.10    0.00              0.01            
plugin-container                   4847   0.07      59.66  0.00    0.00               0.27    0.00              0.01            
SoftwareUpdateNotificationManage   805    0.04      70.20  0.00    0.00               0.07    0.00              0.01            
plugin-container                   4848   0.06      64.75  0.00    0.00               0.27    0.03              0.01            
com.apple.appkit.xpc.openAndSave   1953   0.04      63.84  0.00    0.00               0.10    0.00              0.01            
AppSSODaemon                       637    0.07      47.98  0.00    0.00               0.07    0.00              0.01            
CoreLocationAgent                  610    0.03      72.20  0.00    0.00               0.07    0.00              0.01            
identityservicesd                  632    0.28      48.92  0.00    0.00               0.13    0.00              0.01            
lsd                                566    0.01      57.71  0.00    0.00               0.03    0.00              0.01            
com.apple.appkit.xpc.openAndSave   999    0.04      61.01  0.00    0.00               0.10    0.00              0.01            
Keychain Circle Notification       1499   0.03      76.23  0.00    0.00               0.07    0.00              0.01            
talagent                           562    0.03      71.96  0.00    0.00               0.07    0.00              0.01            
coreservicesd                      384    0.01      42.74  0.00    0.00               0.00    0.00              0.01            
QuickLookUIService                 1000   0.05      68.88  0.00    0.00               0.10    0.00              0.01            
ThemeWidgetControlViewService      3708   0.04      61.80  0.00    0.00               0.10    0.00              0.01            
TextInputSwitcher                  692    0.08      62.59  0.00    0.00               0.03    0.00              0.01            
QuickLookUIService                 3763   0.05      70.71  0.00    0.00               0.10    0.00              0.01            
PowerChime                         1741   0.03      59.58  0.00    0.00               0.07    0.00              0.01            
QuickLookUIService                 4103   0.05      69.69  0.00    0.00               0.10    0.00              0.01            
QuickLookUIService                 592    0.05      68.34  0.00    0.00               0.10    0.00              0.01            
QuickLookUIService                 1954   0.05      74.29  0.00    0.00               0.10    0.00              0.01            
analyticsd                         426    0.11      68.45  0.00    0.00               0.10    0.00              0.01            
Dock                               564    0.20      49.72  0.00    0.00               0.07    0.00              0.01            
com.apple.appkit.xpc.openAndSave   4102   0.05      59.19  0.00    0.00               0.10    0.00              0.01            
SystemUIServer                     567    0.04      72.14  0.00    0.00               0.07    0.00              0.01            
AppSSOAgent                        628    0.04      69.21  0.00    0.00               0.07    0.00              0.01            
thermalmonitord                    344    0.23      53.50  0.00    0.00               1.00    0.17              0.01            
universalaccessd                   559    0.10      55.19  0.00    0.00               0.03    0.00              0.01            
AXVisualSupportAgent               4839   0.03      66.35  0.00    0.00               0.10    0.00              0.01            
com.apple.appkit.xpc.openAndSave   3760   0.04      62.70  0.00    0.00               0.10    0.00              0.01            
WallpaperAgent                     600    0.03      67.97  0.00    0.00               0.07    0.00              0.01            
AirPlayUIAgent                     672    0.03      69.11  0.00    0.00               0.07    0.00              0.01            
com.apple.hiservices-xpcservice    613    0.02      51.94  0.00    0.00               0.00    0.00              0.01            
UserEventAgent                     307    0.10      82.07  0.00    0.00               0.00    0.00              0.01            
nsurlsessiond                      577    0.08      36.86  0.00    0.00               0.30    0.00              0.01            
filecoordinationd                  603    0.11      71.38  0.00    0.00               0.17    0.00              0.01            
WiFiAgent                          642    0.04      74.97  0.00    0.00               0.07    0.00              0.01            
printtool                          2404   0.04      72.36  0.00    0.00               0.07    0.00              0.00            
wifip2pd                           461    0.10      60.11  0.00    0.00               0.50    0.03              0.00            
BackgroundTaskManagementAgent      561    0.04      75.51  0.00    0.00               0.07    0.00              0.00            
diagnostics_agent                  676    0.04      52.89  0.00    0.00               0.07    0.00              0.00            
opendirectoryd                     345    0.06      35.67  0.00    0.00               0.07    0.00              0.00            
mdworker_shared                    4850   0.07      59.31  0.00    0.00               0.03    0.00              0.00            
ControlCenter                      565    0.03      60.25  0.00    0.00               0.07    0.00              0.00            
DockHelper                         2311   0.03      64.81  0.00    0.00               0.07    0.00              0.00            
callservicesd                      619    0.04      68.62  0.00    0.00               0.07    0.00              0.00            
mdworker_shared                    4851   0.04      57.03  0.00    0.00               0.03    0.00              0.00            
NotificationCenter                 633    0.03      60.31  0.00    0.00               0.07    0.00              0.00            
TextEdit                           3756   0.03      61.23  0.00    0.00               0.07    0.00              0.00            
Spotlight                          708    0.03      55.84  0.00    0.00               0.13    0.00              0.00            
nbagent                            1768   0.03      54.94  0.00    0.00               0.17    0.00              0.00            
OSDUIHelper                        1358   0.02      56.04  0.00    0.00               0.07    0.00              0.00            
CoreServicesUIAgent                558    0.02      56.95  0.00    0.00               0.07    0.00              0.00            
mdworker_shared                    4837   0.06      70.95  0.00    0.00               0.00    0.00              0.00            
WirelessRadioManagerd              491    0.09      64.77  0.00    0.00               0.03    0.00              0.00            
appleh13camerad                    495    0.09      34.26  0.00    0.00               1.00    0.13              0.00            
suggestd                           647    0.03      68.56  0.00    0.00               0.03    0.00              0.00            
WallpaperVideoExtension            624    0.09      29.96  0.00    0.00               0.57    0.03              0.00            
contentlinkingd                    1055   0.03      70.42  0.00    0.00               0.10    0.00              0.00            
bluetoothuserd                     720    0.02      57.51  0.00    0.00               0.07    0.03              0.00            
CommCenter                         573    0.02      33.94  0.00    0.00               0.20    0.00              0.00            
gamecontrolleragentd               834    0.03      49.35  0.00    0.00               0.20    0.03              0.00            
watchdogd                          330    0.05      33.39  0.00    0.00               0.10    0.03              0.00            
mobiletimerd                       589    0.04      27.00  0.00    0.00               0.20    0.00              0.00            
siriactionsd                       583    0.01      55.80  0.00    0.00               0.07    0.00              0.00            
distnoted                          429    0.04      46.27  0.00    0.00               0.03    0.03              0.00            
distnoted                          1028   0.03      50.38  0.00    0.00               0.03    0.03              0.00            
gamecontrollerd                    555    0.05      40.64  0.00    0.00               0.23    0.00              0.00            
com.apple.geod                     541    0.02      56.01  0.00    0.00               0.17    0.00              0.00            
com.apple.geod                     721    0.04      67.69  0.00    0.00               0.23    0.03              0.00            
mDNSResponderHelper                464    0.05      48.10  0.00    0.00               1.00    0.07              0.00            
amsengagementd                     743    0.04      44.35  0.00    0.00               0.30    0.03              0.00            
ViewBridgeAuxiliary                512    0.01      48.99  0.00    0.00               0.00    0.00              0.00            
com.apple.geod                     1753   0.02      61.22  0.00    0.00               0.17    0.00              0.00            
uninstalld                         309    0.03      33.16  0.00    0.00               0.20    0.03              0.00            
plugin-container                   4805   0.01      58.46  0.00    0.00               0.03    0.00              0.00            
