Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Thu Jun 27 23:37:41 2024



*** Sampled system activity (Sun Jun 30 13:59:44 2024 +0200) (30007.58ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
firefox                            4801   283.02    71.27  0.93    0.20               130.95  8.53              201.12          
plugin-container                   4806   209.66    92.20  2.07    3.47               33.79   1.43              200.66          
WindowServer                       373    269.49    65.68  18.53   0.10               288.96  16.06             41.25           
plugin-container                   4822   4.54      75.45  0.04    0.00               0.43    0.00              8.24            
plugin-container                   4808   3.44      82.04  0.07    0.30               1.90    0.03              6.26            
kernel_task                        0      96.89     0.00   408.72  1.60               1573.36 284.16            5.81            
mobileassetd                       447    1.52      91.65  0.00    0.00               0.10    0.00              4.48            
com.apple.SiriTTSService.TrialPr   4821   1.58      75.04  0.00    0.00               0.16    0.00              4.46            
syspolicyd                         504    0.64      98.18  0.00    0.00               0.17    0.00              2.31            
coreaudiod                         420    1.11      23.04  0.00    0.00               0.03    0.00              1.93            
runningboardd                      379    1.40      79.71  0.00    0.00               0.63    0.03              1.43            
powermetrics                       4820   1.06      39.67  0.00    0.00               0.10    0.00              0.75            
tccd                               618    0.30      73.92  0.00    0.00               0.03    0.00              0.69            
plugin-container                   4803   1.49      83.59  0.00    0.00               0.97    0.00              0.67            
airportd                           405    4.81      68.43  0.00    0.00               2.03    0.20              0.65            
Microsoft Word                     977    11.20     88.29  0.00    0.00               29.46   2.03              0.63            
launchd                            1      1.78      12.46  0.00    0.00               0.13    0.00              0.59            
mediaremoted                       311    0.78      21.20  0.00    0.00               0.03    0.00              0.58            
Terminal                           867    4.29      75.75  0.03    0.00               0.73    0.07              0.55            
plugin-container                   4804   0.42      74.20  0.00    0.00               0.60    0.00              0.49            
locationd                          352    3.37      87.45  0.00    0.00               0.80    0.03              0.45            
launchservicesd                    347    0.86      59.95  0.00    0.00               0.13    0.00              0.42            
plugin-container                   4807   0.79      50.30  0.00    0.00               0.37    0.00              0.40            
trustd                             422    0.46      88.83  0.00    0.00               0.20    0.00              0.38            
trustd                             606    0.27      88.01  0.00    0.00               0.17    0.00              0.32            
cfprefsd                           548    0.22      49.53  0.00    0.00               0.10    0.00              0.29            
mds                                334    3.01      57.64  0.00    0.00               4.76    0.37              0.24            
CursorUIViewService                706    1.19      79.50  0.00    0.00               0.37    0.07              0.22            
logd                               305    1.84      56.33  0.00    0.00               0.03    0.00              0.22            
WindowManager                      563    0.98      89.47  0.00    0.00               0.07    0.00              0.21            
PerfPowerServices                  4267   2.28      69.48  0.00    0.00               0.20    0.03              0.20            
mds_stores                         514    2.22      78.28  0.00    0.00               0.13    0.03              0.20            
DEAD_TASKS                         -1     0.07      44.84  0.00    0.00               0.00    0.00              0.18            
ContextStoreAgent                  601    1.10      85.71  0.00    0.00               0.03    0.00              0.17            
powerd                             319    1.07      48.16  0.00    0.00               0.07    0.00              0.17            
BiomeAgent                         656    0.98      44.86  0.00    0.00               0.03    0.03              0.17            
fseventsd                          310    1.96      48.21  0.17    0.03               6.03    0.50              0.17            
com.apple.cmio.registerassistant   371    0.10      59.58  0.00    0.00               0.07    0.00              0.16            
RStudio Helper (GPU)               3930   1.43      75.09  0.23    0.13               2.73    0.13              0.16            
cfprefsd                           374    0.08      61.85  0.00    0.00               0.03    0.00              0.15            
RStudio Helper (Renderer)          3963   2.18      92.08  0.40    0.07               2.67    0.10              0.14            
rsession-arm64                     3951   4.01      73.81  0.10    0.00               47.58   3.80              0.13            
fontd                              627    0.05      77.99  0.00    0.00               0.00    0.00              0.11            
RStudio                            3929   2.14      80.55  0.83    0.00               1.37    0.03              0.10            
corebrightnessd                    369    1.65      54.80  0.00    0.00               1.00    0.03              0.09            
distnoted                          546    0.35      90.10  0.00    0.00               0.00    0.00              0.08            
WiFiAgent                          642    0.38      82.83  0.00    0.00               0.13    0.03              0.08            
bluetoothd                         366    1.17      75.10  0.00    0.00               0.47    0.03              0.07            
tccd                               375    0.05      50.35  0.00    0.00               0.03    0.00              0.07            
mDNSResponder                      444    0.79      49.07  2.37    0.00               3.30    0.07              0.06            
RStudio Helper                     3931   1.34      76.04  1.00    0.00               5.33    0.50              0.05            
gamepolicyd                        868    0.21      65.21  0.00    0.00               0.33    0.03              0.05            
opendirectoryd                     345    0.57      49.23  0.00    0.00               0.10    0.03              0.05            
loginwindow                        376    0.36      89.27  0.00    0.00               0.07    0.00              0.05            
Microsoft Excel                    1937   0.92      70.56  0.00    0.00               3.77    0.20              0.05            
mdworker_shared                    4818   0.61      64.64  0.00    0.00               0.03    0.00              0.05            
notifyd                            367    0.09      39.25  0.00    0.00               0.00    0.00              0.05            
containermanagerd                  599    0.04      54.70  0.00    0.00               0.03    0.00              0.04            
mdworker_shared                    4819   0.62      67.27  0.00    0.00               0.03    0.00              0.04            
audioclocksyncd                    460    1.03      57.00  0.00    0.00               0.03    0.00              0.04            
