Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Wed Jun 19 16:40:29 2024



*** Sampled system activity (Thu Jun 27 22:00:53 2024 +0200) (30008.04ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
com.apple.WebKit.WebContent        20205  423.07    94.44  0.05    0.00               60.09   1.47              846.01          
com.apple.WebKit.GPU               10983  50.50     54.80  6.53    0.07               54.97   1.97              62.82           
com.apple.WebKit.Networking        10978  28.12     59.57  0.00    0.00               10.70   0.23              41.15           
Safari                             10975  48.54     77.26  0.10    3.07               78.16   0.97              40.62           
Google Chrome Helper (Renderer)    18176  28.89     91.87  4.76    2.27               60.57   5.26              30.78           
WindowServer                       373    193.85    71.96  30.05   0.33               299.76  14.23             28.35           
mobileassetd                       439    9.71      92.17  0.00    0.00               0.50    0.07              15.89           
trustd                             4289   4.59      93.90  0.00    0.00               0.23    0.07              12.85           
trustd                             4288   7.66      91.88  0.00    0.00               0.30    0.07              10.48           
DEAD_TASKS                         -1     18.80     63.96  0.07    0.03               58.35   7.03              7.83            
kernel_task                        0      85.68     0.00   395.59  2.87               1390.43 263.31            7.26            
coreaudiod                         420    47.04     95.74  0.03    0.47               9.23    0.90              6.84            
runningboardd                      379    6.04      76.67  0.00    0.00               1.83    0.03              6.52            
mediaremoted                       311    3.55      77.07  0.00    0.00               0.43    0.00              6.45            
mds                                334    12.30     68.88  0.00    0.00               3.86    0.03              6.36            
opendirectoryd                     345    2.60      76.86  0.00    0.00               0.10    0.03              4.07            
MTLCompilerService                 11303  1.39      93.69  0.00    0.00               0.00    0.00              3.73            
mdbulkimport                       839    15.38     70.69  0.00    0.00               0.13    0.00              3.26            
dotnet                             5665   32.61     31.61  0.27    0.47               15.33   1.30              2.93            
launchd                            1      2.96      42.25  0.00    0.00               0.13    0.00              2.83            
com.apple.WebKit.WebContent        20208  2.00      64.26  0.00    0.00               1.41    0.00              4.53            
contextstored                      381    1.55      76.24  0.00    0.00               0.57    0.03              2.10            
axassetsd                          655    6.85      88.73  0.00    0.00               0.03    0.00              1.78            
CategoriesService                  20207  1.49      59.81  0.00    0.00               0.38    0.00              2.87            
com.apple.audio.SandboxHelper      20206  0.87      79.69  0.00    0.00               0.11    0.00              2.80            
translationd                       1424   1.51      63.47  0.03    0.00               0.37    0.07              1.68            
ControlCenter                      566    2.96      82.77  0.00    0.00               0.47    0.00              1.65            
webpushd                           20211  2.08      62.13  0.00    0.00               0.86    0.12              2.90            
launchservicesd                    347    2.80      67.05  0.00    0.00               0.20    0.00              1.52            
mdworker_shared                    20209  3.11      75.46  0.00    0.00               0.12    0.00              2.65            
plugin-container                   18013  16.29     85.98  2.13    3.40               49.34   5.00              1.50            
AXVisualSupportAgent               20204  3.41      64.82  0.00    0.00               0.61    0.04              1.80            
neagent                            691    0.53      78.66  0.00    0.00               0.07    0.03              1.42            
mds_stores                         521    7.94      82.64  0.00    0.00               0.40    0.00              1.39            
ContextStoreAgent                  611    1.81      81.34  0.00    0.00               0.17    0.00              1.33            
