Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Thu Jun 27 23:37:41 2024



*** Sampled system activity (Fri Jun 28 00:00:31 2024 +0200) (30007.05ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
com.apple.WebKit.WebContent        1189   194.41    90.60  0.00    0.00               21.59   0.33              239.66          
firefox                            1104   480.02    65.89  0.00    0.40               120.96  4.53              84.16           
WindowServer                       373    414.62    68.23  1.13    0.20               381.04  7.80              71.62           
com.apple.WebKit.WebContent        1157   47.97     88.71  0.03    0.00               8.80    0.13              68.43           
lskdd                              1207   311.26    84.39  0.00    0.00               0.00    0.00              841.74          
com.apple.WebKit.GPU               1156   51.93     61.38  3.27    0.07               45.82   0.50              49.79           
com.apple.WebKit.Networking        1151   39.52     59.66  0.00    0.00               12.36   0.03              47.74           
Safari                             1143   79.42     73.07  0.07    2.03               130.02  2.27              30.54           
kernel_task                        0      158.21    0.00   581.93  0.03               3038.68 135.45            14.13           
trustd                             606    5.53      87.35  0.00    0.00               1.53    0.03              10.82           
plugin-container                   1112   75.89     83.35  4.33    7.60               47.98   1.07              8.98            
coreaudiod                         420    19.95     91.86  0.07    0.47               4.33    0.07              4.82            
translationd                       1150   4.61      44.55  0.13    0.00               0.23    0.00              4.44            
coreduetd                          340    1.45      90.00  0.00    0.00               0.03    0.00              3.92            
MTLCompilerService                 1205   2.04      84.61  0.00    0.00               0.11    0.00              5.75            
com.apple.WebKit.WebContent        1204   1.99      63.98  0.00    0.00               0.73    0.00              3.81            
DEAD_TASKS                         -1     6.77      72.07  0.00    0.00               0.10    0.00              2.21            
com.apple.audio.SandboxHelper      1206   0.92      80.04  0.00    0.00               0.11    0.00              2.86            
launchd                            1      1.46      47.35  0.00    0.00               0.07    0.00              1.31            
notifyd                            367    1.01      37.48  0.00    0.00               0.00    0.00              0.97            
AssetCacheLocatorService           1208   79.51     71.97  0.00    0.00               3.11    0.00              22.18           
