Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Thu Jun 27 23:37:43 2024



*** Sampled system activity (Sat Jun 29 12:55:29 2024 +0200) (30010.14ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
com.apple.WebKit.WebContent        2832   239.90    94.40  0.00    0.00               68.00   0.90              215.07          
com.apple.WebKit.GPU               2797   67.92     53.28  13.99   0.03               83.86   1.00              64.50           
WindowServer                       373    349.55    78.09  53.14   0.07               401.35  7.86              63.98           
Safari                             2790   42.60     74.51  0.03    0.40               115.21  1.27              29.27           
coreaudiod                         420    66.43     97.73  0.03    0.27               11.29   0.37              9.21            
mds                                334    9.41      65.78  0.00    0.00               1.67    0.00              8.86            
kernel_task                        0      108.97    0.00   530.72  0.63               1886.89 394.68            8.58            
searchpartyd                       540    38.06     93.82  0.00    0.00               0.20    0.00              4.20            
com.apple.WebKit.Networking        2793   6.73      63.10  0.00    0.00               9.66    0.13              4.16            
mdbulkimport                       816    14.86     71.60  0.00    0.00               0.10    0.00              3.42            
runningboardd                      379    2.87      78.61  0.00    0.00               0.80    0.03              2.47            
mobileassetd                       447    7.32      93.66  0.00    0.00               0.17    0.00              1.98            
mediaremoted                       311    1.73      75.46  0.00    0.00               0.40    0.03              1.85            
axassetsd                          662    7.80      87.02  0.00    0.00               0.10    0.00              1.81            
mds_stores                         514    2.90      54.14  0.00    0.00               0.23    0.00              1.57            
Finder                             568    1.95      58.50  0.00    0.00               0.10    0.00              1.51            
MTLCompilerService                 2834   0.48      93.17  0.00    0.00               0.00    0.00              1.45            
contextstored                      382    1.15      77.54  0.00    0.00               0.43    0.00              1.28            
BiomeAgent                         656    1.05      49.43  0.00    0.00               0.10    0.00              0.95            
ContextStoreAgent                  601    1.28      80.80  0.00    0.00               0.13    0.03              0.77            
trustd                             606    2.22      90.10  0.00    0.00               0.23    0.00              0.65            
Terminal                           867    5.72      73.12  0.00    0.00               0.83    0.00              0.61            
Microsoft Word                     977    9.95      87.95  0.00    0.00               28.09   0.93              0.53            
ControlCenter                      565    1.07      85.00  0.00    0.00               0.20    0.00              0.50            
launchd                            1      0.74      21.93  0.00    0.00               0.10    0.00              0.48            
powermetrics                       2839   0.73      33.17  0.00    0.00               0.07    0.00              0.48            
logd                               305    3.60      58.75  0.00    0.00               0.00    0.00              0.35            
cfprefsd                           374    0.26      29.72  0.00    0.00               0.17    0.00              0.27            
trustd                             422    0.14      84.58  0.00    0.00               0.27    0.00              0.26            
fseventsd                          310    1.75      55.58  0.03    0.00               2.47    0.03              0.24            
WindowManager                      563    0.98      87.71  0.00    0.00               0.10    0.03              0.21            
assistantd                         581    0.29      73.14  0.00    0.00               0.13    0.00              0.20            
syncdefaultsd                      638    0.39      59.70  0.00    0.00               0.03    0.03              0.18            
powerd                             319    0.74      51.34  0.00    0.00               0.07    0.00              0.17            
PerfPowerServices                  1758   2.38      75.26  0.00    0.00               0.20    0.00              0.17            
bluetoothd                         366    2.44      79.90  0.00    0.00               0.37    0.00              0.16            
lsd                                566    0.70      62.75  0.00    0.00               0.07    0.00              0.15            
knowledge-agent                    631    0.45      76.92  0.00    0.00               0.10    0.03              0.13            
audiomxd                           913    0.24      67.31  0.00    0.00               0.13    0.00              0.13            
distnoted                          546    0.46      88.86  0.00    0.00               0.07    0.00              0.12            
fileproviderd                      609    0.64      70.85  0.00    0.00               0.17    0.00              0.12            
notifyd                            367    0.43      48.15  0.00    0.00               0.00    0.00              0.12            
audioanalyticsd                    476    0.62      91.23  0.00    0.00               0.10    0.00              0.11            
pbs                                654    0.39      56.80  0.00    0.00               0.03    0.00              0.10            
corebrightnessd                    369    1.73      54.04  0.00    0.00               1.00    0.03              0.09            
gamepolicyd                        868    0.28      65.25  0.00    0.00               0.57    0.00              0.09            
dasd                               355    0.85      67.06  0.00    0.00               0.27    0.00              0.09            
locationd                          352    1.12      75.83  0.00    0.00               0.53    0.03              0.08            
cfprefsd                           548    0.44      35.41  0.00    0.00               0.20    0.00              0.08            
