Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Mon Jul 15 06:17:53 2024



*** Sampled system activity (Mon Jul 15 15:43:27 2024 +0200) (5016.28ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
securityd                          353    636.37    97.78  0.00    0.00               0.00    0.00              653.13          
Python                             10816  155.20    77.05  26.89   8.96               42.42   0.20              339.97          
Google Chrome Helper (Renderer)    9951   209.40    92.15  21.71   8.96               68.91   0.20              254.68          
WindowServer                       376    321.67    63.56  36.65   0.40               299.35  1.00              135.27          
dcpctrl                            1128   78.81     40.48  1977.35 8.76               2005.63 0.80              89.55           
Google Chrome Helper (GPU)         1421   95.51     70.44  0.20    0.20               97.79   1.79              68.18           
kernel_task                        0      192.66    0.00   541.54  27.88              2096.65 127.47            56.48           
WebApp                             1183   101.33    91.82  0.20    0.20               15.34   0.40              48.01           
powermetrics                       10827  31.32     52.76  0.00    0.00               0.20    0.00              37.81           
Code Helper (Renderer)             1247   40.65     90.14  2.19    0.80               9.16    0.00              25.68           
Code Helper (GPU)                  1245   34.78     72.11  1.20    13.34              25.69   0.00              22.89           
Google Chrome                      1414   50.18     74.48  0.00    0.00               4.38    0.00              15.59           
mDNSResponder                      441    30.33     29.88  347.35  0.00               347.35  0.00              12.06           
qemu-system-aarch64                1025   67.98     69.51  0.00    18.72              73.29   1.00              11.56           
DEAD_TASKS                         -1     15.90     24.85  0.00    0.00               0.00    0.00              10.82           
Terminal                           985    23.85     79.27  0.00    0.00               3.39    0.00              4.09            
Docker Desktop Helper (Renderer)   1054   7.48      94.80  0.40    0.00               0.80    0.00              3.14            
WindowManager                      582    6.73      93.90  0.00    0.00               0.60    0.00              3.12            
com.docker.cli                     10830  300.36    56.78  1296.06 10.71              1317.49 0.00              128.08          
com.docker.cli                     10831  306.70    57.65  1152.92 11.30              1186.83 0.00              130.04          
symptomsd                          464    9.80      20.17  0.00    0.00               0.00    0.00              1.82            
Dock                               585    22.61     54.07  0.00    0.00               6.77    0.80              1.55            
com.docker.backend                 1014   6.41      55.68  155.75  5.78               193.99  1.20              1.51            
ContextStoreAgent                  612    6.91      86.03  0.00    0.00               0.20    0.00              1.25            
CursorUIViewService                974    6.19      79.77  0.00    0.00               1.39    0.00              1.19            
BiomeAgent                         717    5.34      44.09  0.00    0.00               0.00    0.00              1.01            
Code Helper                        1265   4.92      44.19  10.16   0.80               16.33   0.60              0.99            
Electron                           1242   2.81      78.75  0.40    0.00               1.20    0.00              0.92            
logd                               308    5.92      47.94  0.00    0.00               0.20    0.20              0.81            
runningboardd                      388    2.04      72.16  0.00    0.00               0.60    0.00              0.67            
Ordering.API                       1172   1.42      76.12  0.00    0.00               5.58    0.00              0.62            
PaymentProcessor                   1181   1.19      84.20  0.00    0.00               5.58    0.00              0.55            
WebhookClient                      1178   3.21      70.73  0.00    0.00               7.57    0.20              0.48            
OrderProcessor                     1187   2.41      71.48  0.00    0.00               5.78    0.00              0.47            
mds_stores                         496    6.34      78.14  0.00    0.00               0.00    0.00              0.47            
Google Chrome Helper               1422   0.57      56.66  0.00    0.00               0.80    0.00              0.41            
Mobile.Bff.Shopping                1176   1.82      88.32  0.00    0.00               5.98    0.20              0.38            
mds                                337    4.84      64.24  0.00    0.00               2.99    0.00              0.29            
Catalog.API                        1167   1.73      68.27  0.00    0.00               4.98    0.00              0.26            
dotnet                             1171   0.38      36.63  0.00    0.00               1.39    0.00              0.25            
Basket.API                         1170   1.89      55.53  0.00    0.00               4.98    0.00              0.22            
launchservicesd                    350    1.25      64.16  0.00    0.00               0.20    0.00              0.20            
Code Helper (Plugin)               1270   0.47      85.19  0.00    0.00               0.20    0.00              0.18            
dotnet                             1173   0.33      39.68  0.00    0.00               1.39    0.00              0.18            
dotnet                             1134   1.48      62.38  0.00    0.00               4.18    0.20              0.18            
dcp                                1127   1.30      50.93  45.61   0.60               56.96   0.20              0.18            
Webhooks.API                       1174   1.44      71.45  0.00    0.00               4.98    0.00              0.17            
powerd                             322    1.29      46.15  0.00    0.00               0.20    0.00              0.15            
Docker Desktop                     1035   1.12      68.25  0.80    0.00               1.39    0.00              0.14            
fseventsd                          313    1.36      35.41  0.00    0.00               3.19    0.00              0.13            
dotnet                             1177   0.50      28.97  0.00    0.00               1.20    0.00              0.13            
gamepolicyd                        861    0.36      61.09  0.00    0.00               0.80    0.00              0.13            
launchd                            1      0.49      66.59  0.00    0.00               0.20    0.00              0.12            
ViewBridgeAuxiliary                652    0.54      61.33  0.00    0.00               0.00    0.00              0.11            
proactived                         7024   1.08      68.56  0.00    0.00               0.00    0.00              0.10            
trustd                             603    0.79      88.82  0.00    0.00               0.00    0.00              0.10            
distnoted                          567    0.99      86.69  0.00    0.00               0.00    0.00              0.10            
corebrightnessd                    372    1.69      55.33  0.00    0.00               1.00    0.00              0.09            
