Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Thu Jun 27 23:37:46 2024



*** Sampled system activity (Sun Jul 14 06:57:08 2024 +0200) (5015.43ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
WebApp                             74336  385.92    91.09  15.35   0.00               25.12   0.00              771.44          
securityd                          350    353.78    97.75  0.00    0.00               0.00    0.00              623.01          
Catalog.API                        74339  275.72    87.93  3.19    0.00               10.17   0.00              608.97          
Identity.API                       74311  170.97    89.15  0.00    0.40               8.17    0.00              393.83          
qemu-system-aarch64                74243  352.35    73.06  0.00    65.20              146.94  1.79              287.75          
Python                             74375  106.32    88.89  8.37    0.00               12.76   0.00              222.50          
Google Chrome Helper (Renderer)    65911  205.54    91.10  48.25   7.98               84.94   1.20              193.44          
WindowServer                       373    219.49    55.35  54.23   0.80               305.25  1.40              125.56          
dcpctrl                            74285  52.29     41.04  1280.83 1.79               1296.38 0.60              71.47           
Code Helper (Renderer)             30379  41.92     89.29  7.58    1.40               14.55   0.00              58.16           
Google Chrome Helper (GPU)         54250  103.95    69.66  0.00    0.00               113.85  2.19              54.55           
kernel_task                        0      149.00    0.00   502.64  8.17               1724.86 160.70            38.35           
com.docker.backend                 13449  28.54     57.35  827.44  2.19               854.15  2.19              34.74           
Code Helper (GPU)                  13405  28.82     71.48  1.40    8.77               18.74   0.00              31.55           
powermetrics                       74386  16.57     57.91  0.00    0.00               0.20    0.00              31.22           
Code Helper                        13664  14.99     58.13  65.60   3.99               75.17   1.00              11.50           
DEAD_TASKS                         -1     13.54     24.75  0.00    0.00               0.00    0.00              10.79           
Google Chrome                      54242  41.51     77.72  0.00    0.00               5.98    0.00              10.40           
CursorUIViewService                706    16.76     93.74  0.00    0.00               1.00    0.00              9.36            
Terminal                           867    29.32     69.36  0.00    0.00               2.59    0.00              4.32            
mDNSResponder                      444    26.64     29.65  257.40  0.00               257.80  0.00              4.30            
Docker Desktop Helper (Renderer)   13476  7.05      94.08  0.00    0.00               2.39    0.00              3.48            
dotnet                             74291  4.24      83.42  0.00    0.20               5.58    0.00              2.70            
WindowManager                      563    6.06      91.26  0.00    0.00               0.80    0.00              2.55            
Electron                           13402  4.51      82.23  0.80    0.00               1.60    0.00              2.38            
Code Helper (Plugin)               30381  2.31      82.37  0.00    0.00               0.40    0.00              2.26            
OrderProcessor                     74341  7.00      78.40  0.00    0.00               5.38    0.00              1.99            
Ordering.API                       74325  3.74      95.16  0.00    0.00               4.39    0.00              1.48            
QuickLookUIService                 592    18.12     67.41  0.00    0.00               0.60    0.00              1.37            
eShop.AppHost                      74227  1.83      81.31  0.00    0.00               3.59    0.00              1.31            
Finder                             568    17.05     69.87  0.00    0.00               1.00    0.00              1.23            
ContextStoreAgent                  601    5.37      87.51  0.00    0.00               0.00    0.00              1.17            
symptomsd                          466    5.13      21.90  0.00    0.00               0.20    0.00              1.04            
BiomeAgent                         656    4.15      43.29  0.00    0.00               0.00    0.00              0.99            
WebhookClient                      74331  2.54      61.46  0.00    0.00               6.98    0.00              0.90            
Mobile.Bff.Shopping                74329  5.84      88.40  0.00    0.00               5.98    0.20              0.84            
mds_stores                         514    4.53      75.29  0.00    0.00               0.60    0.00              0.75            
logd                               305    4.90      52.41  0.00    0.00               0.00    0.00              0.70            
runningboardd                      379    2.24      71.70  0.00    0.00               1.00    0.00              0.69            
dotnet                             74340  2.13      82.76  0.00    0.00               1.40    0.00              0.59            
trustd                             53619  0.50      87.48  0.00    0.00               0.20    0.00              0.54            
Google Chrome Helper               54251  0.81      45.09  0.00    0.00               0.60    0.00              0.52            
mds                                334    4.43      60.96  0.00    0.00               1.79    0.00              0.50            
Webhooks.API                       74344  0.90      75.54  0.00    0.00               5.18    0.00              0.48            
launchservicesd                    347    0.94      61.23  0.00    0.00               0.00    0.00              0.40            
PaymentProcessor                   74334  0.79      79.87  0.00    0.00               4.79    0.00              0.36            
dotnet                             74337  1.35      72.41  0.00    0.00               1.60    0.20              0.32            
powerd                             319    1.46      51.39  0.00    0.00               0.20    0.00              0.30            
dcp                                74284  1.03      53.34  32.70   0.40               42.47   0.60              0.26            
distnoted                          546    0.77      84.91  0.00    0.00               0.00    0.00              0.26            
ViewBridgeAuxiliary                636    0.42      59.76  0.00    0.00               0.00    0.00              0.21            
Dock                               564    4.64      55.06  0.00    0.00               6.78    0.00              0.21            
fseventsd                          310    1.32      41.28  0.20    0.00               3.19    0.00              0.16            
docker                             74288  1.21      81.36  2.99    0.00               3.39    0.00              0.16            
UserEventAgent                     307    0.58      74.62  0.00    0.00               0.00    0.00              0.15            
Docker Desktop                     13464  1.15      62.46  1.00    0.00               1.79    0.00              0.15            
PerfPowerServices                  53550  0.99      74.11  0.00    0.00               0.00    0.00              0.14            
launchd                            1      0.49      58.76  0.00    0.00               0.00    0.00              0.14            
notifyd                            367    0.47      48.82  0.00    0.00               0.00    0.00              0.13            
docker                             74287  1.22      90.25  1.99    0.00               2.39    0.00              0.12            
contextstored                      382    1.11      68.37  0.00    0.00               0.40    0.00              0.12            
Basket.API                         74327  0.52      84.69  0.00    0.00               3.79    0.00              0.11            
gamepolicyd                        868    0.37      65.29  0.00    0.00               0.60    0.00              0.11            
trustd                             53639  0.53      89.48  0.00    0.00               0.40    0.00              0.10            
corebrightnessd                    369    1.77      54.99  0.00    0.00               1.00    0.00              0.10            
proactived                         1830   0.71      68.93  0.00    0.00               0.00    0.00              0.10            
dotnet                             74335  1.05      67.75  0.00    0.00               1.60    0.00              0.09            
dasd                               355    0.98      74.81  0.00    0.00               0.40    0.00              0.09            
Microsoft Word                     977    1.68      74.48  0.00    0.00               14.36   0.00              0.09            
PAH_Extension                      43118  0.44      69.01  0.00    0.00               0.40    0.00              0.08            
TextInputSwitcher                  692    1.13      53.82  0.00    0.00               0.00    0.00              0.06            
airportd                           405    1.20      67.93  0.00    0.00               1.60    0.00              0.05            
mdworker_shared                    74382  0.46      57.22  0.00    0.00               0.00    0.00              0.05            
systemstats                        314    0.15      49.16  0.00    0.00               0.00    0.00              0.05            
dotnet                             74332  0.17      38.55  0.00    0.00               1.20    0.00              0.05            
com.apple.appkit.xpc.openAndSave   13945  0.12      62.53  0.00    0.00               0.40    0.00              0.04            
dotnet                             74342  1.31      66.83  0.00    0.00               1.40    0.00              0.04            
audioclocksyncd                    460    0.94      57.94  0.00    0.00               0.00    0.00              0.04            
com.apple.appkit.xpc.openAndSave   999    0.11      60.80  0.00    0.00               0.40    0.00              0.04            
QuickLookUIService                 1000   0.11      62.30  0.00    0.00               0.40    0.00              0.04            
QuickLookUIService                 13946  0.13      64.08  0.00    0.00               0.40    0.00              0.03            
opendirectoryd                     345    0.16      53.38  0.00    0.00               0.00    0.00              0.03            
com.apple.appkit.xpc.openAndSave   54189  0.11      58.46  0.00    0.00               0.40    0.00              0.03            
analyticsd                         426    0.21      71.53  0.00    0.00               0.00    0.00              0.03            
dotnet                             74310  0.15      41.90  0.00    0.00               0.80    0.00              0.03            
com.apple.Safari.SandboxBroker     54186  0.11      57.82  0.00    0.00               0.40    0.00              0.03            
ThemeWidgetControlViewService      52878  0.09      63.82  0.00    0.00               0.40    0.00              0.03            
corespeechd                        660    0.17      30.47  0.00    0.00               0.00    0.00              0.03            
ThemeWidgetControlViewService      54812  0.12      67.53  0.00    0.00               0.40    0.00              0.03            
QuickLookUIService                 54190  0.11      63.83  0.00    0.00               0.40    0.00              0.02            
dotnet                             74328  0.15      45.64  0.00    0.00               0.80    0.00              0.02            
dotnet                             74330  0.19      40.87  0.00    0.00               1.20    0.00              0.02            
useractivityd                      691    0.20      62.96  0.00    0.00               0.60    0.00              0.02            
ControlCenter                      565    0.19      51.31  0.00    0.00               0.20    0.00              0.02            
dotnet                             74216  0.17      44.87  0.00    0.00               1.00    0.00              0.02            
dotnet                             74326  0.23      38.39  0.00    0.00               1.00    0.00              0.02            
distnoted                          357    0.34      66.47  0.00    0.00               0.00    0.00              0.02            
nsurlsessiond                      577    0.11      67.69  0.00    0.00               0.00    0.00              0.02            
bluetoothd                         366    0.20      53.95  0.00    0.00               0.20    0.00              0.02            
dotnet                             74313  0.21      36.94  0.00    0.00               0.80    0.00              0.02            
cfprefsd                           548    0.11      48.91  0.00    0.00               0.00    0.00              0.02            
universalaccessd                   559    0.33      52.35  0.00    0.00               0.00    0.00              0.02            
com.apple.appkit.xpc.openAndSave   65445  0.15      59.69  0.00    0.00               0.40    0.00              0.02            
ThemeWidgetControlViewService      5191   0.14      58.59  0.00    0.00               0.40    0.00              0.02            
Code Helper                        13420  0.02      80.40  0.00    0.00               0.20    0.00              0.02            
lsd                                566    0.02      66.75  0.00    0.00               0.00    0.00              0.01            
corespotlightd                     586    0.08      39.52  0.00    0.00               0.00    0.00              0.01            
callservicesd                      619    0.16      63.18  0.00    0.00               0.00    0.00              0.01            
QLPreviewGenerationExtension       30889  0.14      62.40  0.00    0.00               0.40    0.00              0.01            
QuickLookUIService                 65446  0.14      61.10  0.00    0.00               0.40    0.00              0.01            
suggestd                           647    0.10      68.91  0.00    0.00               0.00    0.00              0.01            
com.apple.security.pboxd           13346  0.15      58.14  0.00    0.00               0.40    0.00              0.01            
com.apple.appkit.xpc.openAndSave   14866  0.13      62.51  0.00    0.00               0.40    0.00              0.01            
TextInputMenuAgent                 677    0.17      63.93  0.00    0.00               0.00    0.00              0.01            
ThemeWidgetControlViewService      54643  0.13      56.10  0.00    0.00               0.40    0.00              0.01            
Code Helper                        13406  0.03      81.33  0.00    0.00               0.40    0.00              0.01            
ViewBridgeAuxiliary                512    0.04      44.08  0.00    0.00               0.00    0.00              0.01            
QLPreviewGenerationExtension       13654  0.13      56.39  0.00    0.00               0.40    0.00              0.01            
QuickLookUIService                 14867  0.12      63.32  0.00    0.00               0.40    0.00              0.01            
com.apple.WebKit.WebContent        74347  0.34      75.72  0.00    0.00               1.79    0.00              0.01            
CommCenter                         573    0.06      46.64  0.00    0.00               0.20    0.00              0.01            
AMPLibraryAgent                    1846   0.12      63.28  0.00    0.00               0.40    0.00              0.01            
com.apple.WebKit.GPU               54187  0.02      45.02  0.00    0.00               0.00    0.00              0.01            
lockoutagent                       602    0.16      45.45  0.00    0.00               1.00    0.00              0.01            
locationd                          352    0.29      68.37  0.00    0.00               0.40    0.00              0.01            
cloudd                             641    0.37      72.12  0.00    0.00               0.40    0.00              0.01            
com.apple.AppleUserHIDDrivers      524    0.17      39.18  0.00    0.00               0.00    0.00              0.01            
configd                            317    0.06      29.04  0.00    0.00               0.00    0.00              0.01            
thermalmonitord                    344    0.14      53.45  0.00    0.00               1.00    0.00              0.01            
watchdogd                          330    0.06      34.61  0.00    0.00               0.20    0.00              0.01            
sharingd                           671    0.12      78.31  0.00    0.00               0.60    0.00              0.01            
backgroundassets.user              1762   0.05      46.50  0.00    0.00               0.00    0.00              0.01            
com.apple.hiservices-xpcservice    613    0.05      51.32  0.00    0.00               0.00    0.00              0.01            
wifip2pd                           461    0.07      59.50  0.00    0.00               0.60    0.00              0.00            
itunescloudd                       724    0.05      34.71  0.00    0.00               0.20    0.00              0.00            
mediaremoted                       311    0.08      39.39  0.00    0.00               0.00    0.00              0.00            
appleh13camerad                    495    0.09      31.99  0.00    0.00               1.00    0.00              0.00            
Code Helper                        30380  0.14      68.96  0.20    0.00               0.60    0.00              0.00            
tccd                               618    0.11      42.15  0.00    0.00               0.00    0.00              0.00            
systemstats                        865    0.03      49.20  0.00    0.00               0.00    0.00              0.00            
contentlinkingd                    1055   0.05      64.09  0.00    0.00               0.00    0.00              0.00            
AirPlayXPCHelper                   370    0.03      55.39  0.00    0.00               0.00    0.00              0.00            
appstoreagent                      734    0.04      36.55  0.00    0.00               0.40    0.00              0.00            
Code Helper (Plugin)               30408  0.16      77.92  0.60    0.00               1.20    0.00              0.00            
audioanalyticsd                    476    0.04      36.70  0.00    0.00               0.00    0.00              0.00            
