Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Thu Jun 27 23:37:46 2024



*** Sampled system activity (Sun Jul 14 08:14:34 2024 +0200) (5017.99ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
securityd                          350    577.92    98.50  0.00    0.00               0.80    0.00              327.17          
Python                             77490  60.04     81.86  9.75    0.00               14.73   0.00              96.06           
WindowServer                       373    108.90    57.10  12.14   0.40               123.18  1.99              33.65           
Google Chrome Helper (Renderer)    65911  72.25     88.15  20.30   3.38               46.57   1.00              32.33           
WebApp                             74336  110.07    91.78  0.00    0.60               10.95   0.40              24.19           
dcpctrl                            74285  23.29     50.45  486.36  0.60               497.31  0.20              19.57           
qemu-system-aarch64                74243  88.53     65.53  0.00    17.11              69.85   0.80              18.10           
powermetrics                       77557  12.64     41.37  0.00    0.00               0.20    0.00              15.89           
Google Chrome Helper (GPU)         54250  37.96     65.97  0.20    0.60               56.92   1.39              11.08           
CursorUIViewService                706    18.20     93.11  0.00    0.00               1.00    0.00              10.27           
Google Chrome                      54242  34.16     77.52  0.00    0.00               5.77    0.00              8.43            
DEAD_TASKS                         -1     24.53     27.15  0.00    0.00               0.00    0.00              8.24            
kernel_task                        0      89.02     0.00   301.49  106.27             896.51  138.90            7.54            
Terminal                           867    23.83     76.67  0.00    0.00               2.59    0.00              4.74            
Docker Desktop Helper (Renderer)   13476  6.14      92.31  0.00    0.00               0.60    0.00              4.16            
mDNSResponder                      444    8.46      31.62  73.23   0.00               73.63   0.00              3.42            
WindowManager                      563    5.64      91.68  0.00    0.00               0.40    0.00              2.51            
com.docker.cli                     77561  24.31     53.58  87.47   0.63               88.73   0.00              6.88            
com.docker.cli                     77560  25.15     54.04  82.94   0.63               84.19   0.00              6.79            
com.docker.backend                 13449  8.76      53.86  177.71  1.59               218.51  1.59              1.87            
QuickLookUIService                 592    16.21     68.04  0.00    0.00               0.80    0.00              1.52            
Code Helper (Renderer)             30379  6.88      90.56  0.60    0.20               6.57    0.00              1.44            
Finder                             568    14.77     70.97  0.00    0.00               0.80    0.00              1.39            
ContextStoreAgent                  601    6.00      87.31  0.00    0.00               0.00    0.00              1.20            
Code Helper (GPU)                  13405  5.27      63.97  0.80    0.40               4.58    0.00              1.03            
BiomeAgent                         656    4.69      43.90  0.00    0.00               0.00    0.00              1.03            
runningboardd                      379    3.04      77.12  0.00    0.00               1.79    0.00              0.92            
Code Helper                        13664  5.20      40.64  10.15   0.40               16.32   0.40              0.67            
symptomsd                          466    2.32      24.24  0.00    0.00               0.00    0.00              0.43            
launchservicesd                    347    1.62      68.95  0.00    0.00               0.40    0.00              0.33            
Electron                           13402  2.86      80.48  0.40    0.00               1.39    0.00              0.30            
logd                               305    2.68      50.47  0.00    0.00               0.00    0.00              0.29            
Google Chrome Helper               54251  0.86      63.64  0.00    0.00               1.19    0.00              0.27            
Mobile.Bff.Shopping                74329  1.26      64.25  0.00    0.00               4.98    0.00              0.26            
mds_stores                         514    3.12      81.32  0.00    0.00               0.00    0.00              0.23            
mapssyncd                          1769   2.01      87.32  0.00    0.00               0.00    0.00              0.23            
Identity.API                       74311  2.15      73.81  0.00    0.00               5.17    0.00              0.23            
ViewBridgeAuxiliary                636    0.52      61.30  0.00    0.00               0.00    0.00              0.21            
OrderProcessor                     74341  0.88      84.40  0.00    0.00               4.58    0.40              0.19            
WebhookClient                      74331  3.52      72.33  0.00    0.00               7.16    0.20              0.19            
Dock                               564    4.14      53.04  0.00    0.00               6.77    0.40              0.18            
routined                           579    1.66      84.57  0.00    0.00               0.20    0.00              0.18            
mds                                334    2.61      64.86  0.00    0.00               2.19    0.00              0.16            
fseventsd                          310    1.19      35.67  0.00    0.00               2.79    0.00              0.15            
distnoted                          546    1.01      88.47  0.00    0.00               0.00    0.00              0.15            
dotnet                             74291  2.04      65.98  0.00    0.00               3.98    0.00              0.14            
launchd                            1      0.54      70.79  0.00    0.00               0.40    0.00              0.13            
contextstored                      382    1.09      70.68  0.00    0.00               0.20    0.00              0.11            
gamepolicyd                        868    0.54      69.23  0.00    0.00               0.60    0.00              0.11            
Code Helper (Plugin)               30381  0.37      83.23  0.40    0.00               1.19    0.00              0.11            
trustd                             53639  0.74      89.36  0.00    0.00               0.00    0.00              0.10            
proactived                         1830   0.80      69.37  0.00    0.00               0.00    0.00              0.10            
Webhooks.API                       74344  1.38      92.47  0.00    0.00               4.18    0.00              0.10            
dcp                                74284  1.35      53.06  32.64   0.00               43.38   0.40              0.10            
Catalog.API                        74339  1.59      89.11  0.00    0.00               4.98    0.00              0.09            
PAH_Extension                      43118  0.41      68.20  0.00    0.00               0.40    0.00              0.09            
corebrightnessd                    369    1.91      52.79  0.00    0.00               1.19    0.00              0.08            
Ordering.API                       74325  1.69      80.29  0.00    0.00               5.37    0.00              0.08            
suggestd                           647    0.75      88.08  0.00    0.00               0.00    0.00              0.08            
dasd                               355    1.01      77.31  0.00    0.00               0.40    0.00              0.08            
eShop.AppHost                      74227  0.52      56.95  0.00    0.00               1.79    0.00              0.07            
TextInputSwitcher                  692    1.39      59.05  0.00    0.00               0.00    0.00              0.07            
powerd                             319    0.47      46.49  0.00    0.00               0.20    0.00              0.07            
Basket.API                         74327  1.16      72.73  0.00    0.00               4.18    0.00              0.07            
Docker Desktop                     13464  1.59      59.17  0.80    0.00               1.59    0.00              0.07            
Microsoft Word                     977    1.62      77.56  0.00    0.00               13.33   0.00              0.06            
cfprefsd                           548    0.48      29.78  0.00    0.00               0.40    0.00              0.06            
dotnet                             74332  0.61      47.18  0.00    0.00               1.59    0.00              0.06            
notifyd                            367    0.24      67.92  0.00    0.00               0.00    0.00              0.05            
com.apple.appkit.xpc.openAndSave   999    0.13      64.65  0.00    0.00               0.40    0.00              0.05            
airportd                           405    1.20      67.17  0.00    0.00               1.39    0.00              0.05            
dotnet                             74216  1.10      32.31  0.00    0.00               1.19    0.20              0.05            
dotnet                             74328  0.49      43.66  0.00    0.00               1.19    0.20              0.04            
com.apple.appkit.xpc.openAndSave   65445  0.12      64.75  0.00    0.00               0.40    0.00              0.04            
com.apple.Safari.SandboxBroker     54186  0.11      63.56  0.00    0.00               0.40    0.00              0.04            
PaymentProcessor                   74334  1.02      81.07  0.00    0.00               3.58    0.00              0.04            
PerfPowerServices                  53550  0.77      74.62  0.00    0.00               0.20    0.00              0.04            
ThemeWidgetControlViewService      54812  0.09      67.15  0.00    0.00               0.40    0.00              0.04            
audioclocksyncd                    460    1.11      53.93  0.00    0.00               0.00    0.00              0.04            
com.apple.appkit.xpc.openAndSave   54189  0.11      62.36  0.00    0.00               0.40    0.00              0.04            
QuickLookUIService                 13946  0.11      61.09  0.00    0.00               0.40    0.00              0.03            
QuickLookUIService                 1000   0.11      67.06  0.00    0.00               0.40    0.00              0.03            
com.apple.appkit.xpc.openAndSave   13945  0.15      66.47  0.00    0.00               0.40    0.00              0.03            
nsurlsessiond                      577    0.14      59.06  0.00    0.00               0.20    0.20              0.03            
QuickLookUIService                 54190  0.11      64.01  0.00    0.00               0.40    0.00              0.03            
bluetoothd                         366    0.22      59.73  0.00    0.00               0.20    0.00              0.03            
dotnet                             74310  0.43      60.62  0.00    0.00               1.19    0.00              0.02            
opendirectoryd                     345    0.34      52.50  0.00    0.00               0.00    0.00              0.02            
ThemeWidgetControlViewService      52878  0.13      61.47  0.00    0.00               0.40    0.00              0.02            
distnoted                          357    0.41      63.42  0.00    0.00               0.00    0.00              0.02            
