Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Thu Jun 27 23:37:46 2024



*** Sampled system activity (Sat Jul 13 23:25:39 2024 +0200) (5018.67ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    65911  218.03    91.01  48.56   3.98               83.59   4.58              169.51          
WindowServer                       373    224.89    54.99  40.20   0.00               265.69  6.57              72.84           
qemu-system-aarch64                53936  133.04    62.28  0.00    18.11              82.99   2.39              49.57           
Google Chrome Helper (GPU)         54250  108.08    69.86  0.40    0.40               113.84  2.79              44.19           
Docker Desktop Helper (Renderer)   13476  32.99     93.15  4.78    0.00               5.17    0.20              42.93           
securityd                          350    17.15     98.04  0.00    0.00               0.00    0.00              29.34           
WebApp                             54018  37.60     59.63  0.60    0.80               17.12   1.00              27.65           
Catalog.API                        54014  21.56     49.36  0.20    0.00               5.97    0.20              18.36           
Python                             69130  16.44     88.64  0.60    0.20               6.17    0.20              14.20           
powermetrics                       69141  8.26      44.16  0.00    0.00               0.20    0.00              13.63           
DEAD_TASKS                         -1     39.01     39.72  78.11   0.40               79.30   0.00              13.51           
Code Helper (Renderer)             30379  24.01     89.15  2.39    0.80               5.77    0.00              13.37           
Google Chrome                      54242  48.14     77.46  0.00    0.00               4.98    0.20              12.47           
Identity.API                       53996  12.88     64.85  0.00    0.00               6.77    0.20              10.74           
com.docker.backend                 13449  16.30     59.81  371.77  4.18               407.59  2.79              10.60           
CursorUIViewService                706    18.14     94.32  0.00    0.00               0.60    0.00              10.00           
Code Helper (GPU)                  13405  16.12     67.19  0.80    2.59               9.55    0.00              9.76            
kernel_task                        0      111.65    0.00   419.53  5.57               1531.05 402.81            5.76            
dcpctrl                            53969  7.91      49.07  227.68  0.00               235.44  1.39              5.08            
Terminal                           867    23.94     77.34  0.00    0.00               2.59    0.00              3.38            
Code Helper                        13664  7.77      54.01  20.50   2.59               28.66   1.19              2.57            
WindowManager                      563    6.25      91.30  0.00    0.00               0.60    0.00              2.17            
QuickLookUIService                 592    18.98     69.39  0.00    0.00               0.80    0.00              1.84            
PerfPowerServices                  53550  9.32      63.27  0.00    0.00               0.20    0.00              1.44            
ContextStoreAgent                  601    5.63      86.07  0.00    0.00               0.20    0.00              1.20            
Finder                             568    13.67     64.22  0.00    0.00               0.80    0.00              1.11            
BiomeAgent                         656    4.56      45.76  0.00    0.00               0.00    0.00              1.04            
WebhookClient                      54021  2.81      63.13  0.00    0.00               6.97    0.20              0.76            
Code Helper (Plugin)               30381  1.39      84.12  0.40    0.00               0.80    0.00              0.61            
PaymentProcessor                   54029  1.72      76.78  0.00    0.00               5.37    0.00              0.58            
dotnet                             54017  0.66      21.18  0.00    0.00               1.39    0.00              0.53            
Google Chrome Helper               54251  3.06      62.31  0.00    0.00               1.59    0.20              0.52            
runningboardd                      379    2.72      74.46  0.00    0.00               1.19    0.20              0.52            
Electron                           13402  1.86      78.92  0.40    0.00               1.00    0.00              0.45            
launchservicesd                    347    1.24      65.42  0.00    0.00               0.00    0.00              0.36            
mds_stores                         514    2.70      74.91  0.00    0.00               0.00    0.00              0.35            
OrderProcessor                     54016  2.16      81.78  0.00    0.00               4.78    0.20              0.32            
mds                                334    3.66      61.35  0.00    0.00               2.79    0.00              0.25            
powerd                             319    1.82      53.56  0.00    0.00               0.20    0.00              0.24            
Docker Desktop                     13464  2.06      68.00  1.19    0.00               1.79    0.40              0.24            
Basket.API                         54006  2.62      66.89  0.00    0.00               5.77    0.00              0.23            
mDNSResponder                      444    1.54      33.46  14.33   0.00               14.53   0.00              0.23            
logd                               305    2.11      57.14  0.00    0.00               0.00    0.00              0.19            
dotnet                             53975  1.47      53.02  0.00    0.00               3.38    0.20              0.19            
ViewBridgeAuxiliary                636    0.51      61.60  0.00    0.00               0.00    0.00              0.18            
Webhooks.API                       54026  1.96      72.96  0.00    0.00               4.98    0.60              0.18            
fseventsd                          310    1.90      39.13  0.00    0.00               4.18    0.00              0.16            
UserEventAgent                     307    0.69      73.07  0.00    0.00               0.00    0.00              0.15            
contextstored                      382    1.21      69.29  0.00    0.00               0.40    0.00              0.13            
distnoted                          546    0.45      78.43  0.00    0.00               0.00    0.00              0.13            
notifyd                            367    0.83      58.95  0.00    0.00               0.00    0.00              0.12            
trustd                             53639  0.89      87.65  0.00    0.00               0.40    0.00              0.11            
proactived                         1830   0.79      73.33  0.00    0.00               0.00    0.00              0.10            
corebrightnessd                    369    2.19      55.48  0.00    0.00               1.00    0.00              0.10            
launchd                            1      0.73      57.81  0.00    0.00               0.20    0.00              0.10            
cfprefsd                           374    0.89      35.59  0.00    0.00               0.00    0.00              0.10            
dotnet                             54015  0.66      28.62  0.00    0.00               1.19    0.00              0.10            
dcp                                53968  1.34      51.41  30.45   0.00               40.60   0.80              0.09            
Ordering.API                       54012  1.15      76.85  0.00    0.00               4.38    0.20              0.09            
PAH_Extension                      43118  0.46      66.28  0.00    0.00               0.20    0.00              0.09            
dotnet                             54011  0.28      45.63  0.00    0.00               1.39    0.00              0.08            
Microsoft Word                     977    1.89      76.89  0.00    0.00               13.53   0.20              0.08            
gamepolicyd                        868    0.48      69.45  0.00    0.00               0.80    0.00              0.07            
dotnet                             54027  0.43      29.17  0.00    0.00               0.80    0.00              0.07            
airportd                           405    0.82      68.23  0.00    0.00               1.00    0.00              0.07            
analyticsd                         426    1.17      59.57  0.00    0.00               0.00    0.00              0.07            
TextInputSwitcher                  692    1.16      57.65  0.00    0.00               0.00    0.00              0.07            
symptomsd                          466    0.54      43.16  0.00    0.00               0.00    0.00              0.06            
dotnet                             54025  0.32      63.90  0.00    0.00               1.19    0.00              0.06            
dasd                               355    0.72      73.35  0.00    0.00               0.40    0.00              0.05            
Mobile.Bff.Shopping                54024  0.88      75.53  0.00    0.00               4.18    0.60              0.05            
systemstats                        314    0.24      53.04  0.00    0.00               0.00    0.00              0.04            
audioclocksyncd                    460    1.09      57.75  0.00    0.00               0.00    0.00              0.04            
dotnet                             54019  0.33      44.26  0.00    0.00               1.19    0.00              0.04            
mdworker_shared                    69140  0.49      53.02  0.00    0.00               0.20    0.00              0.03            
dotnet                             54022  0.44      54.57  0.00    0.00               1.19    0.00              0.03            
Docker Desktop Helper (GPU)        13473  0.28      87.47  0.00    0.00               0.40    0.00              0.03            
dotnet                             54013  0.34      46.43  0.00    0.00               1.19    0.00              0.03            
ThemeWidgetControlViewService      54812  0.10      67.26  0.00    0.00               0.20    0.00              0.02            
Code Helper                        30380  0.14      78.83  0.20    0.00               0.80    0.00              0.02            
ThemeWidgetControlViewService      52878  0.10      60.52  0.00    0.00               0.20    0.00              0.02            
cfprefsd                           548    0.13      48.65  0.00    0.00               0.20    0.00              0.02            
com.apple.appkit.xpc.openAndSave   999    0.09      61.86  0.00    0.00               0.20    0.00              0.02            
corespeechd                        660    0.21      32.52  0.00    0.00               0.00    0.00              0.02            
com.apple.appkit.xpc.openAndSave   54189  0.10      62.52  0.00    0.00               0.20    0.00              0.02            
dotnet                             53995  0.35      52.02  0.00    0.00               1.39    0.00              0.02            
bluetoothd                         366    0.37      70.78  0.00    0.00               0.60    0.00              0.02            
nsurlsessiond                      577    0.19      66.45  0.00    0.00               0.20    0.00              0.02            
QuickLookUIService                 54190  0.09      60.87  0.00    0.00               0.20    0.00              0.02            
com.apple.Safari.SandboxBroker     54186  0.09      67.35  0.00    0.00               0.20    0.00              0.02            
QuickLookUIService                 1000   0.08      65.73  0.00    0.00               0.20    0.00              0.02            
opendirectoryd                     345    0.31      67.61  0.00    0.00               0.20    0.00              0.02            
com.apple.appkit.xpc.openAndSave   13945  0.11      64.55  0.00    0.00               0.20    0.00              0.02            
locationd                          352    0.56      73.37  0.00    0.00               0.20    0.00              0.02            
ThemeWidgetControlViewService      5191   0.08      61.45  0.00    0.00               0.20    0.00              0.02            
universalaccessd                   559    0.25      52.02  0.00    0.00               0.00    0.00              0.02            
ControlCenter                      565    0.29      64.55  0.00    0.00               0.00    0.00              0.02            
dotnet                             53997  0.47      51.14  0.00    0.00               1.39    0.00              0.02            
Google Chrome Helper               54254  0.09      94.24  0.00    0.00               0.40    0.00              0.01            
com.apple.hiservices-xpcservice    613    0.04      49.63  0.00    0.00               0.00    0.00              0.01            
TextInputMenuAgent                 677    0.14      64.47  0.00    0.00               0.00    0.00              0.01            
lsd                                566    0.04      65.52  0.00    0.00               0.00    0.00              0.01            
corespotlightd                     586    0.12      44.49  0.00    0.00               0.00    0.00              0.01            
suggestd                           647    0.09      74.96  0.00    0.00               0.00    0.00              0.01            
com.apple.security.pboxd           13346  0.10      61.74  0.00    0.00               0.20    0.00              0.01            
callservicesd                      619    0.11      59.84  0.00    0.00               0.00    0.00              0.01            
QuickLookUIService                 13946  0.12      62.89  0.00    0.00               0.20    0.00              0.01            
com.apple.appkit.xpc.openAndSave   65445  0.14      59.60  0.00    0.00               0.20    0.00              0.01            
lockoutagent                       602    0.20      46.47  0.00    0.00               1.00    0.00              0.01            
filecoordinationd                  603    0.20      63.50  0.00    0.00               0.20    0.00              0.01            
QLPreviewGenerationExtension       30889  0.12      61.65  0.00    0.00               0.20    0.00              0.01            
com.apple.appkit.xpc.openAndSave   14866  0.13      58.54  0.00    0.00               0.20    0.00              0.01            
CommCenter                         573    0.05      44.64  0.00    0.00               0.20    0.00              0.01            
com.apple.appkit.xpc.openAndSave   65109  0.13      64.58  0.00    0.00               0.20    0.00              0.01            
QuickLookUIService                 65446  0.11      64.31  0.00    0.00               0.20    0.00              0.01            
QuickLookUIService                 65110  0.11      58.88  0.00    0.00               0.20    0.00              0.01            
searchpartyd                       540    0.43      78.31  0.00    0.00               0.20    0.00              0.01            
ThemeWidgetControlViewService      54643  0.10      54.17  0.00    0.00               0.20    0.00              0.01            
QLPreviewGenerationExtension       13654  0.10      62.73  0.00    0.00               0.20    0.00              0.01            
contentlinkingd                    1055   0.03      68.69  0.00    0.00               0.00    0.00              0.01            
sharingd                           671    0.15      82.32  0.00    0.00               0.40    0.00              0.01            
ViewBridgeAuxiliary                512    0.04      42.20  0.00    0.00               0.00    0.00              0.01            
dotnet                             53909  0.17      39.96  0.00    0.00               1.00    0.00              0.01            
QuickLookUIService                 14867  0.08      62.90  0.00    0.00               0.20    0.00              0.01            
wifip2pd                           461    0.09      59.72  0.00    0.00               0.40    0.00              0.01            
configd                            317    0.11      36.25  0.00    0.00               0.00    0.00              0.01            
thermalmonitord                    344    0.26      55.96  0.00    0.00               1.00    0.00              0.01            
backgroundassets.user              1762   0.09      52.18  0.00    0.00               0.00    0.00              0.01            
WallpaperVideoExtension            624    0.08      22.10  0.00    0.00               0.80    0.00              0.00            
AMPLibraryAgent                    1846   0.09      50.58  0.00    0.00               0.20    0.00              0.00            
amsaccountsd                       679    0.07      42.77  0.00    0.00               0.40    0.00              0.00            
com.apple.AppleUserHIDDrivers      524    0.11      34.00  0.00    0.00               0.00    0.00              0.00            
Code Helper (Plugin)               30408  0.09      68.81  0.60    0.00               1.19    0.00              0.00            
itunescloudd                       724    0.08      40.11  0.00    0.00               0.20    0.00              0.00            
nearbyd                            681    0.07      46.71  0.00    0.00               0.40    0.00              0.00            
watchdogd                          330    0.12      38.70  0.00    0.00               0.20    0.00              0.00            
nsurlsessiond                      421    0.05      52.53  0.00    0.00               0.60    0.00              0.00            
useractivityd                      691    0.04      67.47  0.00    0.00               0.00    0.00              0.00            
diagnostics_agent                  676    0.05      42.02  0.00    0.00               0.00    0.00              0.00            
appleh13camerad                    495    0.09      31.28  0.00    0.00               1.00    0.00              0.00            
calaccessd                         612    0.06      47.43  0.00    0.00               0.20    0.00              0.00            
askpermissiond                     669    0.06      33.59  0.00    0.00               0.40    0.00              0.00            
WirelessRadioManagerd              491    0.07      61.51  0.00    0.00               0.00    0.00              0.00            
uninstalld                         309    0.08      22.77  0.00    0.00               0.40    0.00              0.00            
gamecontrollerd                    555    0.05      59.03  0.00    0.00               0.20    0.00              0.00            
quicklookd                         65790  0.09      48.28  0.00    0.00               0.40    0.00              0.00            
eShop.AppHost                      53920  0.09      74.46  0.00    0.00               1.00    0.00              0.00            
distnoted                          4278   0.04      27.63  0.00    0.00               0.20    0.00              0.00            
Code Helper                        13420  0.13      87.53  0.00    0.00               0.20    0.00              0.00            
networkserviceproxy                584    0.03      40.63  0.00    0.00               0.40    0.00              0.00            
com.docker.build                   13456  0.10      76.98  0.40    0.00               1.00    0.00              0.00            
parsecd                            719    0.05      44.87  0.00    0.00               0.60    0.00              0.00            
mediaremoted                       311    0.03      53.21  0.00    0.00               0.00    0.00              0.00            
com.apple.dock.extra               694    0.09      53.98  0.00    0.00               0.20    0.00              0.00            
mDNSResponderHelper                464    0.06      49.40  0.00    0.00               1.19    0.20              0.00            
apsd                               346    0.03      56.26  0.00    0.00               0.00    0.00              0.00            
Docker Desktop Helper              13474  0.18      96.94  0.00    0.00               0.40    0.20              0.00            
photoanalysisd                     1767   0.06      46.25  0.00    0.00               0.20    0.00              0.00            
Dock                               564    0.05      13.70  0.00    0.00               0.20    0.00              0.00            
Safari                             54180  0.08      53.89  0.00    0.00               0.40    0.00              0.00            
findmydeviced                      571    0.03      32.71  0.00    0.00               0.40    0.00              0.00            
docker                             13458  0.03      40.92  0.80    0.00               1.39    0.20              0.00            
gamecontrolleragentd               834    0.05      52.69  0.00    0.00               0.20    0.00              0.00            
tipsd                              1766   0.02      60.97  0.00    0.00               0.40    0.00              0.00            
com.apple.geod                     1753   0.02      48.07  0.00    0.00               0.20    0.00              0.00            
Numbers                            65440  0.05      78.16  0.00    0.00               0.20    0.00              0.00            
Code Helper                        13406  0.13      94.66  0.00    0.00               0.40    0.00              0.00            
passd                              1145   0.01      50.06  0.00    0.00               0.20    0.00              0.00            
adprivacyd                         849    0.03      65.41  0.00    0.00               0.40    0.00              0.00            
mobileassetd                       447    0.01      53.25  0.00    0.00               0.20    0.00              0.00            
softwareupdated                    477    0.03      59.22  0.00    0.00               0.40    0.00              0.00            
appstoreagent                      734    0.02      33.54  0.00    0.00               0.20    0.00              0.00            
homed                              702    0.01      33.25  0.00    0.00               0.20    0.00              0.00            
