Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Sun Jul 14 10:41:54 2024



*** Sampled system activity (Sun Jul 14 22:00:08 2024 +0200) (5019.52ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
securityd                          351    497.69    98.21  0.00    0.00               2.99    0.00              384.79          
Python                             6836   102.72    80.00  21.69   1.59               28.66   0.20              196.53          
Google Chrome Helper (Renderer)    5619   210.99    91.53  30.65   3.98               62.49   1.19              179.24          
WindowServer                       374    263.24    60.75  40.80   0.60               263.51  4.38              75.23           
Google Chrome Helper (GPU)         5605   106.27    70.05  0.40    0.00               114.84  3.78              51.22           
dcpctrl                            5129   55.96     44.12  929.46  1.99               945.58  0.40              44.26           
kernel_task                        0      151.93    0.00   476.87  18.71              1522.96 188.48            44.17           
WebApp                             5182   89.67     89.80  0.20    0.00               7.76    0.00              33.03           
powermetrics                       6847   25.30     56.28  0.00    0.00               0.20    0.00              25.34           
DEAD_TASKS                         -1     39.74     42.92  0.00    0.00               3.39    0.00              17.19           
qemu-system-aarch64                5021   58.19     68.36  0.00    17.12              64.09   0.80              13.80           
AXVisualSupportAgent               6852   401.56    65.58  0.00    0.00               58.65   0.00              218.23          
mDNSResponder                      453    18.13     30.86  191.27  0.00               191.46  0.00              6.19            
Google Chrome                      5597   24.71     75.67  0.00    0.00               5.17    0.00              6.17            
Terminal                           841    27.90     72.93  0.00    0.00               2.59    0.00              4.19            
Docker Desktop Helper (Renderer)   5054   5.30      93.83  0.40    0.00               1.00    0.00              3.80            
Code Helper (Renderer)             5376   5.74      89.37  0.80    0.40               5.97    0.20              2.53            
WindowManager                      562    7.83      92.65  0.00    0.00               0.60    0.00              2.43            
com.docker.cli                     6850   38.36     58.21  163.14  1.50               166.13  0.00              17.50           
com.docker.cli                     6851   35.81     58.54  157.59  1.50               160.59  0.00              17.31           
Code Helper (GPU)                  5374   3.05      57.34  0.00    0.60               3.98    0.00              1.93            
com.docker.backend                 5010   4.73      56.76  122.60  2.99               157.23  1.99              1.86            
launchservicesd                    348    5.51      70.08  0.00    0.00               0.00    0.00              1.55            
CursorUIViewService                701    7.09      82.10  0.00    0.00               1.19    0.00              1.36            
ContextStoreAgent                  600    7.12      84.21  0.00    0.00               0.00    0.00              1.22            
symptomsd                          466    5.92      20.10  0.00    0.00               0.00    0.00              1.07            
BiomeAgent                         667    5.70      44.72  0.00    0.00               0.00    0.00              1.03            
runningboardd                      379    3.80      73.29  0.00    0.00               1.00    0.20              0.84            
loginwindow                        378    6.50      94.73  0.00    0.00               0.00    0.00              0.76            
Code Helper                        5386   4.62      42.80  8.56    0.40               13.93   1.19              0.69            
cfprefsd                           544    0.88      68.94  0.00    0.00               0.20    0.00              0.65            
logd                               306    5.18      49.10  0.00    0.00               0.40    0.00              0.65            
tccd                               376    2.76      57.90  0.00    0.00               0.00    0.00              0.63            
sharedfilelistd                    610    0.60      58.10  0.00    0.00               0.00    0.00              0.61            
trustd                             609    1.31      87.57  0.00    0.00               0.00    0.00              0.54            
Dock                               565    9.03      52.31  0.00    0.00               6.57    0.40              0.50            
trustd                             418    1.60      89.90  0.00    0.00               0.40    0.00              0.50            
Google Chrome Helper               5606   0.84      50.37  0.00    0.00               1.00    0.00              0.47            
mds_stores                         521    6.20      75.88  0.00    0.00               0.00    0.00              0.44            
launchd                            1      2.17      51.26  0.00    0.00               0.00    0.00              0.43            
WebhookClient                      5175   1.98      67.56  0.00    0.00               6.77    0.60              0.43            
Catalog.API                        5169   1.65      82.40  0.00    0.00               4.98    0.00              0.43            
distnoted                          543    2.26      50.90  0.00    0.00               0.00    0.00              0.41            
Ordering.API                       5173   0.89      74.31  0.00    0.00               3.78    0.20              0.36            
cfprefsd                           375    1.61      45.34  0.00    0.00               0.00    0.00              0.34            
Identity.API                       5153   2.01      89.63  0.00    0.00               6.37    0.20              0.33            
mds                                335    5.04      65.02  0.00    0.00               3.58    0.00              0.29            
dotnet                             5154   1.77      69.34  0.00    0.00               3.98    0.00              0.24            
cloudd                             635    1.91      72.86  0.00    0.00               0.40    0.00              0.22            
Webhooks.API                       5185   2.07      67.30  0.00    0.00               4.38    0.80              0.19            
notifyd                            368    1.13      68.86  0.00    0.00               0.00    0.00              0.19            
fseventsd                          311    2.04      38.22  0.00    0.00               4.98    0.20              0.18            
gamepolicyd                        842    0.79      73.09  0.00    0.00               0.40    0.00              0.15            
Electron                           5371   1.96      79.07  0.40    0.00               1.39    0.00              0.14            
diskarbitrationd                   338    0.18      76.82  0.00    0.00               0.00    0.00              0.14            
dcp                                5128   1.44      54.48  36.02   0.40               45.98   0.40              0.13            
ViewBridgeAuxiliary                634    0.67      61.79  0.00    0.00               0.00    0.00              0.13            
pboard                             561    0.27      44.01  0.00    0.00               0.00    0.00              0.13            
com.apple.CodeSigningHelper        488    0.25      42.18  0.00    0.00               0.00    0.00              0.13            
Docker Desktop                     5032   1.14      58.45  0.80    0.00               1.39    0.00              0.12            
Code Helper (Plugin)               5390   0.20      89.25  0.00    0.00               0.20    0.00              0.12            
rtcreportingd                      763    1.18      86.38  0.00    0.00               0.00    0.00              0.11            
proactived                         4721   1.10      69.22  0.00    0.00               0.00    0.00              0.10            
Mobile.Bff.Shopping                5188   0.65      48.25  0.00    0.00               3.78    0.00              0.10            
Basket.API                         5171   1.59      84.64  0.00    0.00               4.38    0.20              0.10            
corebrightnessd                    370    1.88      56.50  0.00    0.00               1.00    0.00              0.09            
contextstored                      389    1.41      73.37  0.00    0.00               0.20    0.00              0.09            
opendirectoryd                     346    1.42      51.53  0.00    0.00               0.00    0.00              0.09            
powerd                             320    0.74      44.62  0.00    0.00               0.00    0.00              0.09            
dotnet                             5135   0.49      42.32  0.00    0.00               1.39    0.00              0.08            
lsd                                567    0.32      59.78  0.00    0.00               0.00    0.00              0.08            
docker                             5017   1.65      95.74  1.00    0.00               1.59    0.20              0.08            
appleeventsd                       514    0.26      57.70  0.00    0.00               0.00    0.00              0.07            
ProtectedCloudKeySyncing           2202   0.73      75.14  0.00    0.00               0.20    0.00              0.07            
dotnet                             5172   0.59      27.95  0.00    0.00               0.80    0.20              0.07            
eShop.AppHost                      5085   0.29      75.30  0.00    0.00               1.19    0.00              0.07            
dasd                               356    1.29      79.16  0.00    0.00               0.40    0.00              0.06            
OrderProcessor                     5180   0.75      90.66  0.00    0.00               3.38    0.00              0.06            
TextInputSwitcher                  687    0.97      61.35  0.00    0.00               0.00    0.00              0.05            
