Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Mon Jul 15 06:17:51 2024



*** Sampled system activity (Mon Jul 15 07:25:41 2024 +0200) (5024.92ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Docker Desktop Helper (Renderer)   1054   34.28     93.17  4.37    0.00               6.76    0.40              36.42           
Google Chrome Helper (Renderer)    1428   62.69     85.72  11.13   1.59               27.23   1.39              26.99           
WindowServer                       376    96.16     60.68  8.55    0.20               96.01   3.78              19.95           
kernel_task                        0      87.93     0.00   210.90  12.92              674.44  145.30            18.86           
powermetrics                       3039   9.00      51.16  0.00    0.00               0.20    0.00              18.76           
DEAD_TASKS                         -1     33.27     42.42  68.46   0.40               70.05   0.00              12.50           
qemu-system-aarch64                1025   77.03     70.42  0.00    19.48              70.76   6.16              8.19            
Google Chrome                      1414   23.05     76.17  0.00    0.00               5.17    0.00              4.75            
mdworker_shared                    3040   21.23     76.86  0.00    0.00               0.00    0.00              6.32            
Terminal                           985    26.18     75.92  0.00    0.00               2.78    0.20              3.87            
Google Chrome Helper (GPU)         1421   20.49     61.33  0.00    0.00               71.16   8.35              3.51            
Code Helper (Renderer)             1247   10.73     90.41  0.20    0.20               5.17    0.40              2.41            
securityd                          353    7.65      98.01  0.00    0.00               0.00    0.00              2.32            
WebApp                             1183   9.74      70.75  0.60    0.20               9.34    0.80              1.95            
sysmond                            835    19.04     21.90  0.00    0.00               0.00    0.00              1.62            
Python                             3024   6.38      86.33  0.00    0.00               4.97    0.40              1.57            
Code Helper (GPU)                  1245   6.77      64.97  1.19    0.60               6.36    0.00              1.51            
ContextStoreAgent                  612    6.64      86.06  0.00    0.00               0.00    0.00              1.23            
launchd                            1      6.71      38.26  0.00    0.00               0.00    0.00              1.16            
WindowManager                      582    4.89      89.24  0.00    0.00               0.40    0.00              1.02            
Identity.API                       1154   4.93      76.78  0.00    0.00               5.17    0.60              0.76            
systemstats                        317    5.26      34.41  0.00    0.00               0.40    0.00              0.69            
com.docker.backend                 1014   6.77      57.44  139.34  0.80               183.07  10.54             0.65            
Catalog.API                        1167   3.23      82.47  0.00    0.00               4.37    0.20              0.65            
dcpctrl                            1128   4.24      54.03  86.47   0.40               98.59   3.38              0.62            
runningboardd                      388    2.71      72.50  0.00    0.00               0.99    0.20              0.61            
Code Helper                        1265   5.32      45.28  9.94    1.19               16.10   2.19              0.59            
CursorUIViewService                974    5.56      75.51  0.00    0.00               0.99    0.20              0.56            
Dock                               585    8.04      55.16  0.00    0.00               6.76    0.40              0.39            
Google Chrome Helper               1422   1.22      54.20  0.00    0.00               1.19    0.20              0.34            
Docker Desktop                     1035   2.71      80.46  1.59    0.00               2.39    0.20              0.25            
WebhookClient                      1178   3.08      60.89  0.00    0.00               6.36    0.20              0.24            
Electron                           1242   2.60      81.25  0.40    0.00               1.39    0.00              0.24            
launchservicesd                    350    1.29      58.30  0.00    0.00               0.00    0.00              0.22            
OrderProcessor                     1187   2.82      83.82  0.00    0.00               5.17    0.99              0.21            
distnoted                          567    0.56      76.57  0.00    0.00               0.00    0.00              0.19            
mds                                337    2.51      59.27  0.00    0.00               1.99    0.60              0.18            
logd                               308    1.53      43.67  0.00    0.00               0.00    0.00              0.17            
dotnet                             1134   1.70      73.82  0.00    0.00               3.98    0.40              0.16            
eShop.AppHost                      1082   1.16      43.97  0.00    0.00               2.39    0.20              0.16            
mds_stores                         496    1.72      77.57  0.00    0.00               0.00    0.00              0.13            
ViewBridgeAuxiliary                652    0.57      61.59  0.00    0.00               0.00    0.00              0.11            
dotnet                             1071   1.13      39.98  0.00    0.00               1.79    0.00              0.11            
Basket.API                         1170   1.80      88.99  0.00    0.00               4.77    0.40              0.10            
Webhooks.API                       1174   0.90      76.89  0.00    0.00               4.37    0.00              0.10            
trustd                             603    0.94      88.85  0.00    0.00               0.20    0.00              0.10            
contextstored                      387    1.41      71.45  0.00    0.00               0.20    0.00              0.09            
notifyd                            370    0.53      69.58  0.00    0.00               0.00    0.00              0.08            
gamepolicyd                        861    0.48      69.56  0.00    0.00               0.60    0.20              0.08            
opendirectoryd                     348    0.96      57.17  0.00    0.00               0.00    0.00              0.08            
airportd                           400    1.07      65.91  0.00    0.00               1.79    0.00              0.07            
corebrightnessd                    372    1.96      55.31  0.00    0.00               0.99    0.40              0.07            
dcp                                1127   1.46      53.72  34.59   0.20               44.33   2.58              0.07            
Mobile.Bff.Shopping                1176   0.98      74.36  0.00    0.00               4.17    0.40              0.07            
TextInputSwitcher                  796    0.70      61.96  0.00    0.00               0.00    0.00              0.07            
PAH_Extension                      809    0.60      66.85  0.00    0.00               0.40    0.00              0.07            
powerd                             322    0.63      45.73  0.00    0.00               0.00    0.00              0.07            
dasd                               358    1.18      79.94  0.00    0.00               0.40    0.20              0.06            
mDNSResponder                      441    0.42      41.65  4.97    0.00               5.17    0.00              0.06            
Code Helper (Plugin)               1270   0.42      85.91  0.00    0.00               0.20    0.00              0.06            
cfprefsd                           377    0.37      55.83  0.00    0.00               0.40    0.20              0.06            
dotnet                             1182   0.47      47.22  0.00    0.00               1.39    0.00              0.06            
apsd                               349    1.36      42.14  0.00    0.00               0.20    0.00              0.05            
dotnet                             1184   0.81      27.09  0.00    0.00               1.39    0.00              0.05            
fseventsd                          313    1.08      33.20  0.00    0.00               2.39    0.60              0.05            
Ordering.API                       1172   0.81      73.65  0.00    0.00               4.57    0.00              0.04            
cfprefsd                           568    0.73      24.53  0.00    0.00               0.20    0.20              0.04            
mdworker_shared                    3036   0.52      55.62  0.00    0.00               0.00    0.00              0.04            
PaymentProcessor                   1181   1.08      81.14  0.00    0.00               4.17    0.60              0.04            
audioclocksyncd                    519    1.09      53.27  0.00    0.00               0.00    0.00              0.04            
distnoted                          360    0.23      50.68  0.00    0.00               0.00    0.00              0.03            
nsurlsessiond                      606    0.21      51.83  0.00    0.00               0.60    0.00              0.03            
com.apple.appkit.xpc.openAndSave   1206   0.12      63.09  0.00    0.00               0.40    0.00              0.03            
bluetoothd                         369    0.16      59.11  0.00    0.00               0.20    0.00              0.02            
PerfPowerServices                  362    0.59      70.19  0.00    0.00               0.00    0.00              0.02            
com.apple.Safari.SandboxBroker     1199   0.11      65.28  0.00    0.00               0.40    0.00              0.02            
diskarbitrationd                   340    0.08      57.53  0.00    0.00               0.00    0.00              0.02            
QuickLookUIService                 1207   0.12      64.35  0.00    0.00               0.40    0.00              0.02            
dotnet                             1179   0.57      49.43  0.00    0.00               1.19    0.00              0.02            
dotnet                             1177   0.60      46.28  0.00    0.00               1.39    0.20              0.02            
dotnet                             1175   0.51      47.56  0.00    0.00               1.39    0.40              0.02            
universalaccessd                   580    0.24      51.19  0.00    0.00               0.00    0.00              0.01            
com.apple.hiservices-xpcservice    625    0.05      51.19  0.00    0.00               0.00    0.00              0.01            
BiomeAgent                         717    0.18      81.08  0.00    0.00               0.00    0.00              0.01            
dotnet                             1173   0.24      30.17  0.00    0.00               0.99    0.00              0.01            
suggestd                           658    0.09      75.17  0.00    0.00               0.00    0.00              0.01            
TextInputMenuAgent                 792    0.21      69.17  0.00    0.00               0.00    0.00              0.01            
symptomsd                          464    0.12      22.82  0.00    0.00               0.00    0.00              0.01            
CommCenter                         599    0.05      42.74  0.00    0.00               0.20    0.00              0.01            
locationd                          355    0.27      70.56  0.00    0.00               0.40    0.00              0.01            
QLPreviewGenerationExtension       2750   0.14      58.83  0.00    0.00               0.40    0.00              0.01            
callservicesd                      650    0.15      68.67  0.00    0.00               0.20    0.00              0.01            
QuickLookUIService                 594    0.12      65.57  0.00    0.00               0.40    0.00              0.01            
ViewBridgeAuxiliary                521    0.04      46.74  0.00    0.00               0.00    0.00              0.01            
analyticsd                         398    0.34      67.20  0.00    0.00               0.00    0.00              0.01            
Code Helper                        1267   0.39      84.71  0.20    0.00               0.60    0.00              0.01            
thermalmonitord                    347    0.21      58.68  0.00    0.00               0.99    0.40              0.01            
lockoutagent                       607    0.28      47.40  0.00    0.00               0.99    0.00              0.01            
sharingd                           675    0.17      82.03  0.00    0.00               0.80    0.00              0.01            
Code Helper (Plugin)               1364   0.12      80.46  0.40    0.00               0.80    0.00              0.01            
Finder                             589    0.19      59.30  0.00    0.00               0.20    0.00              0.01            
wifip2pd                           525    0.12      57.08  0.00    0.00               0.80    0.00              0.01            
dotnet                             1171   0.22      29.00  0.00    0.00               0.80    0.00              0.00            
contentlinkingd                    1212   0.06      60.76  0.00    0.00               0.00    0.00              0.00            
lsd                                588    0.10      60.10  0.00    0.00               0.20    0.00              0.00            
dotnet                             1155   0.17      31.99  0.00    0.00               0.60    0.20              0.00            
nearbyd                            671    0.08      48.15  0.00    0.00               0.40    0.00              0.00            
useractivityd                      672    0.05      73.39  0.00    0.00               0.00    0.00              0.00            
mobiletimerd                       665    0.05      27.58  0.00    0.00               0.20    0.00              0.00            
dotnet                             1169   0.23      30.64  0.00    0.00               0.60    0.20              0.00            
uninstalld                         312    0.04      34.97  0.00    0.00               0.20    0.00              0.00            
diagnostics_agent                  725    0.04      56.23  0.00    0.00               0.00    0.00              0.00            
dotnet                             1153   0.09      46.55  0.00    0.00               0.60    0.00              0.00            
appleh13camerad                    532    0.10      29.97  0.00    0.00               0.99    0.00              0.00            
WirelessRadioManagerd              522    0.12      65.21  0.00    0.00               0.00    0.00              0.00            
gamecontrolleragentd               825    0.04      55.02  0.00    0.00               0.20    0.00              0.00            
distnoted                          432    0.03      54.18  0.00    0.00               0.00    0.00              0.00            
nsurlsessiond                      416    0.10      29.96  0.00    0.00               0.60    0.00              0.00            
distnoted                          1436   0.02      58.67  0.00    0.00               0.00    0.00              0.00            
distnoted                          823    0.03      26.09  0.00    0.00               0.00    0.00              0.00            
trustd                             431    0.03      31.68  0.00    0.00               0.20    0.00              0.00            
docker                             1131   0.03      58.35  0.00    0.00               0.60    0.00              0.00            
Docker Desktop Helper (GPU)        1050   0.21      90.41  0.00    0.00               0.20    0.00              0.00            
distnoted                          773    0.02      43.42  0.00    0.00               0.00    0.00              0.00            
distnoted                          528    0.02      44.28  0.00    0.00               0.00    0.00              0.00            
distnoted                          468    0.02      41.52  0.00    0.00               0.00    0.00              0.00            
