Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Mon Jul 15 06:17:51 2024



*** Sampled system activity (Mon Jul 15 07:56:37 2024 +0200) (5014.41ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    1428   192.26    90.87  23.32   3.59               56.40   4.18              166.02          
WindowServer                       376    246.88    57.37  35.47   0.40               257.07  9.96              42.63           
Google Chrome Helper (GPU)         1421   95.95     68.72  0.00    0.20               112.79  8.77              40.22           
qemu-system-aarch64                1025   88.56     70.56  0.00    19.33              76.52   3.39              18.61           
powermetrics                       4276   5.49      40.93  0.00    0.00               0.20    0.00              9.71            
DEAD_TASKS                         -1     20.47     28.34  0.00    0.00               0.00    0.00              7.44            
Google Chrome                      1414   21.84     77.28  0.00    0.00               5.38    0.00              5.57            
Catalog.API                        1167   12.14     56.92  0.20    0.00               6.18    0.20              5.20            
kernel_task                        0      95.22     0.00   365.88  5.78               1302.29 328.41            4.90            
com.docker.backend                 1014   15.77     66.93  290.55  3.39               334.79  6.38              4.88            
Terminal                           985    38.09     75.46  0.20    0.00               2.99    0.00              4.19            
WebApp                             1183   17.29     58.88  0.20    0.20               12.95   1.79              3.46            
Code Helper (Renderer)             1247   12.76     89.98  1.00    0.00               6.97    0.00              2.90            
Docker Desktop Helper (Renderer)   1054   5.59      93.17  0.00    0.00               1.00    0.40              2.61            
Code Helper (GPU)                  1245   7.73      67.50  1.59    1.99               7.57    0.20              2.36            
securityd                          353    7.63      97.67  0.00    0.00               0.00    0.00              2.26            
com.docker.cli                     4280   34.77     55.43  136.75  0.94               138.62  0.00              10.34           
com.docker.cli                     4279   35.45     54.60  171.78  0.93               172.72  0.00              10.25           
Identity.API                       1154   6.65      70.29  0.00    0.00               5.18    1.00              1.77            
Python                             4263   9.76      87.62  0.20    0.20               5.38    0.20              1.68            
ContextStoreAgent                  612    7.23      85.91  0.00    0.00               0.00    0.00              1.17            
CursorUIViewService                974    5.43      79.49  0.00    0.00               1.20    0.20              1.08            
WindowManager                      582    4.90      88.71  0.00    0.00               0.20    0.00              1.01            
dcpctrl                            1128   4.18      41.59  85.49   0.40               93.26   1.99              0.80            
runningboardd                      388    3.28      73.47  0.00    0.00               1.39    0.00              0.70            
dotnet                             1134   3.69      32.75  0.00    0.00               3.99    0.20              0.60            
Code Helper                        1265   5.66      49.66  10.76   1.00               16.94   1.00              0.58            
Google Chrome Helper               1422   0.56      54.63  0.00    0.00               0.60    0.00              0.37            
OrderProcessor                     1187   2.75      80.75  0.00    0.00               3.59    0.00              0.23            
launchservicesd                    350    1.32      61.95  0.00    0.00               0.00    0.00              0.21            
logd                               308    2.34      50.22  0.00    0.00               0.20    0.00              0.20            
Dock                               585    3.31      58.32  0.00    0.00               6.58    0.20              0.20            
Ordering.API                       1172   1.78      77.39  0.00    0.00               5.18    0.80              0.20            
PaymentProcessor                   1181   1.63      65.88  0.00    0.00               4.98    0.20              0.19            
Webhooks.API                       1174   2.34      79.07  0.00    0.00               5.38    0.40              0.16            
WebhookClient                      1178   2.51      82.91  0.00    0.00               6.58    0.60              0.16            
Basket.API                         1170   2.10      69.38  0.00    0.00               5.18    0.40              0.14            
Code Helper (Plugin)               1270   0.84      85.76  0.20    0.00               0.80    0.00              0.14            
distnoted                          567    0.76      81.87  0.00    0.00               0.00    0.00              0.13            
Electron                           1242   1.98      78.36  0.40    0.00               1.59    0.20              0.12            
gamepolicyd                        861    0.65      70.64  0.00    0.00               0.80    0.00              0.11            
ViewBridgeAuxiliary                652    0.56      62.73  0.00    0.00               0.00    0.00              0.11            
contextstored                      387    1.27      71.12  0.00    0.00               0.40    0.00              0.10            
trustd                             603    0.72      89.93  0.00    0.00               0.00    0.00              0.10            
dotnet                             1169   0.70      26.92  0.00    0.00               1.39    0.20              0.10            
Mobile.Bff.Shopping                1176   1.29      78.00  0.00    0.00               4.58    0.20              0.09            
corebrightnessd                    372    1.88      55.62  0.00    0.00               1.00    0.00              0.09            
mDNSResponder                      441    0.58      42.33  6.58    0.00               6.58    0.00              0.09            
dcp                                1127   1.44      53.47  34.48   0.00               44.84   1.79              0.08            
TextInputSwitcher                  796    0.80      65.86  0.00    0.00               0.00    0.00              0.07            
launchd                            1      0.42      71.88  0.00    0.00               0.00    0.00              0.07            
dasd                               358    1.08      77.49  0.00    0.00               0.40    0.20              0.07            
airportd                           400    1.10      62.31  0.00    0.00               1.39    0.00              0.06            
powerd                             322    1.12      54.45  0.00    0.00               0.00    0.00              0.06            
dotnet                             1153   1.15      23.06  0.00    0.00               1.39    0.00              0.05            
mds_stores                         496    0.85      69.62  0.00    0.00               0.80    0.00              0.05            
mds                                337    0.86      53.53  0.00    0.00               0.80    0.00              0.05            
Docker Desktop                     1035   2.09      60.31  0.80    0.00               1.39    0.00              0.05            
audioclocksyncd                    519    1.18      57.07  0.00    0.00               0.00    0.00              0.04            
PAH_Extension                      809    0.60      68.25  0.00    0.00               0.40    0.00              0.04            
PerfPowerServices                  362    0.62      69.29  0.00    0.00               0.20    0.00              0.03            
dotnet                             1173   0.37      43.27  0.00    0.00               0.80    0.00              0.03            
