Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:30 2024



*** Sampled system activity (Thu Jul 18 22:37:29 2024 +0200) (5020.23ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
securityd                          365    659.06    98.28  0.00    0.00               0.00    0.00              532.71          
Python                             9233   168.96    77.76  35.02   11.54              53.33   0.40              340.00          
Google Chrome Helper (Renderer)    6733   198.48    91.80  22.49   6.77               67.65   0.40              171.20          
dcpctrl                            86493  108.27    42.61  1919.21 6.37               1949.06 0.00              74.17           
WindowServer                       388    229.75    60.06  36.22   0.20               227.64  2.98              51.37           
Google Chrome Helper (GPU)         86601  98.39     69.73  0.40    0.00               92.93   0.80              51.29           
kernel_task                        0      181.09    0.00   433.39  42.98              1641.03 79.00             42.33           
WebApp                             86551  100.09    89.64  1.99    3.38               25.27   0.40              39.05           
powermetrics                       9242   42.41     51.44  0.00    0.00               0.20    0.00              35.82           
qemu-system-aarch64                86403  93.67     65.32  0.00    17.31              67.06   1.59              19.95           
mDNSResponder                      466    27.55     32.34  353.60  0.00               353.80  0.00              18.17           
DEAD_TASKS                         -1     20.59     26.19  0.00    0.00               0.00    0.00              9.51            
Google Chrome                      86597  30.79     78.91  0.00    0.00               5.37    0.20              7.78            
Terminal                           1105   22.45     77.32  0.00    0.00               2.98    0.00              3.61            
Docker Desktop Helper (Renderer)   86422  7.66      91.50  0.20    0.00               1.79    0.00              3.53            
com.docker.cli                     9246   16.11     60.20  100.96  0.45               102.75  0.00              7.18            
com.docker.cli                     9245   13.37     56.73  93.74   1.35               96.43   0.00              6.38            
com.docker.backend                 86394  9.16      53.45  227.44  0.80               261.67  0.40              2.82            
launchd                            1      2.71      14.03  0.00    0.00               0.40    0.00              2.59            
WindowManager                      570    6.99      93.22  0.00    0.00               0.60    0.00              2.27            
Code Helper (Renderer)             57365  5.28      89.51  0.40    0.40               6.57    0.00              1.80            
symptomsd                          499    9.74      20.26  0.00    0.00               0.00    0.00              1.70            
Code Helper (GPU)                  57347  3.80      53.78  0.20    0.40               4.78    0.00              1.66            
ContextStoreAgent                  628    6.85      86.06  0.00    0.00               0.20    0.00              1.21            
PerfPowerServices                  7528   10.08     59.39  0.00    0.00               0.20    0.00              1.19            
