Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:32 2024



*** Sampled system activity (Wed Jul 17 11:04:59 2024 +0200) (5020.83ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
qemu-system-aarch64                86403  532.32    77.32  0.00    21.29              65.25   2.19              628.87          
Catalog.API                        86543  233.81    68.74  14.72   0.00               20.89   0.20              323.51          
WebApp                             86551  277.38    71.97  16.51   0.60               37.00   0.20              265.13          
Python                             94654  107.97    90.19  2.98    0.20               7.36    0.20              188.83          
Google Chrome Helper (Renderer)    86616  203.17    91.33  25.27   3.58               58.29   1.39              184.28          
securityd                          365    292.98    97.74  0.00    0.00               0.00    0.00              180.76          
dcpctrl                            86493  82.25     37.35  2230.11 0.99               2239.66 0.40              111.94          
Code Helper (Renderer)             57365  70.63     89.63  10.15   4.97               22.68   0.40              105.34          
com.docker.backend                 86394  62.47     54.54  2190.92 0.80               2224.14 1.99              83.08           
kernel_task                        0      147.41    0.00   440.25  8.55               1486.47 151.39            80.57           
WindowServer                       388    285.54    59.33  45.56   0.60               283.09  5.97              52.15           
powermetrics                       94674  27.23     52.18  0.00    0.00               0.20    0.00              51.59           
Google Chrome Helper (GPU)         86601  105.09    69.49  0.40    0.40               107.23  3.38              48.66           
Code Helper (GPU)                  57347  27.84     72.28  0.80    3.38               23.28   0.20              29.21           
Code Helper                        57836  22.32     61.45  127.72  5.57               137.47  0.99              21.58           
mDNSResponder                      466    21.19     30.47  239.32  0.00               239.32  0.00              10.06           
DEAD_TASKS                         -1     16.58     26.64  0.00    0.00               0.00    0.00              8.22            
Docker Desktop Helper (Renderer)   86422  3.40      92.18  0.20    0.00               1.39    0.00              8.04            
Google Chrome                      86597  26.71     74.54  0.00    0.00               4.18    0.00              5.92            
Code Helper (Plugin)               57839  3.61      83.57  0.40    0.00               0.60    0.00              4.20            
Terminal                           1105   23.19     76.68  0.20    0.00               2.59    0.00              3.88            
