Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:32 2024



*** Sampled system activity (Wed Jul 17 10:36:25 2024 +0200) (5019.08ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    86616  205.84    92.31  18.31   2.79               62.09   6.97              197.69          
qemu-system-aarch64                86403  197.14    65.14  0.00    34.83              99.51   4.18              83.20           
Docker Desktop Helper (Renderer)   86422  31.78     93.48  5.37    0.00               7.96    0.20              66.31           
WindowServer                       388    232.71    57.71  37.61   0.40               237.03  6.77              50.51           
Google Chrome Helper (GPU)         86601  86.61     69.23  0.20    0.00               89.56   3.98              46.01           
WebApp                             86551  97.34     57.18  1.00    1.39               16.72   0.60              46.00           
Catalog.API                        86543  82.30     52.51  1.00    0.00               6.17    0.20              40.48           
securityd                          365    17.34     97.92  0.00    0.00               0.00    0.00              29.36           
Python                             93892  33.65     90.98  0.80    0.00               5.97    0.20              20.98           
Code Helper (Renderer)             57365  46.98     88.87  5.57    2.39               14.33   0.20              19.91           
DEAD_TASKS                         -1     29.46     41.48  85.08   0.40               87.27   0.00              16.05           
powermetrics                       93903  7.75      42.35  0.00    0.00               0.20    0.00              13.16           
dcpctrl                            86493  25.65     45.26  690.20  0.80               705.92  3.58              10.02           
com.docker.backend                 86394  23.34     50.37  634.07  4.58               662.53  3.98              9.94            
Code Helper (GPU)                  57347  28.68     70.67  1.99    5.37               17.91   0.40              9.15            
kernel_task                        0      97.12     0.00   353.26  4.78               1206.85 235.04            6.26            
Google Chrome                      86597  20.47     77.18  0.00    0.00               4.98    0.00              5.75            
Terminal                           1105   21.55     76.46  0.00    0.00               2.59    0.00              3.78            
Code Helper                        57836  12.62     57.98  39.21   5.57               49.36   1.59              3.55            
WindowManager                      570    5.33      90.92  0.00    0.00               0.20    0.00              1.33            
ContextStoreAgent                  628    6.66      86.10  0.00    0.00               0.20    0.00              1.21            
BiomeAgent                         745    5.55      43.48  0.00    0.00               0.00    0.00              0.96            
Code Helper (Plugin)               57839  3.35      85.97  0.00    0.00               0.20    0.00              0.86            
Electron                           57110  4.43      80.41  0.40    0.00               1.39    0.20              0.72            
CursorUIViewService                765    5.70      76.95  0.00    0.00               0.60    0.00              0.66            
WebhookClient                      86538  2.90      50.86  0.00    0.00               6.37    0.20              0.61            
runningboardd                      404    1.89      71.26  0.00    0.00               0.60    0.00              0.58            
Docker Desktop                     86409  1.78      79.79  1.19    0.00               1.99    0.20              0.53            
mds_stores                         544    4.95      77.71  0.00    0.00               0.00    0.00              0.52            
Webhooks.API                       86541  2.15      77.14  0.00    0.00               5.57    0.60              0.49            
OrderProcessor                     86545  4.75      72.61  0.20    0.00               5.37    0.60              0.43            
Google Chrome Helper               86602  0.64      61.63  0.00    0.00               0.80    0.00              0.42            
mds                                349    4.45      63.19  0.00    0.00               1.79    0.20              0.39            
mDNSResponder                      466    1.82      33.76  21.49   0.00               21.69   0.00              0.30            
Basket.API                         86532  1.27      44.92  0.00    0.00               4.58    0.20              0.30            
dotnet                             86437  0.95      22.68  0.00    0.00               1.39    0.00              0.29            
dotnet                             86534  0.96      21.46  0.00    0.00               1.19    0.00              0.25            
dotnet                             86499  1.62      65.07  0.00    0.00               3.98    0.20              0.24            
PaymentProcessor                   86535  2.01      76.97  0.00    0.00               5.57    0.00              0.24            
Mobile.Bff.Shopping                86547  1.43      88.06  0.00    0.00               5.17    0.00              0.23            
logd                               320    2.32      49.35  0.00    0.00               0.20    0.00              0.21            
dcp                                86492  2.94      72.01  47.37   0.20               57.91   2.19              0.20            
Dock                               573    3.41      58.27  0.00    0.00               6.77    0.60              0.18            
launchservicesd                    362    1.15      61.50  0.00    0.00               0.00    0.00              0.18            
fseventsd                          325    1.27      35.12  0.00    0.00               2.39    0.00              0.13            
ViewBridgeAuxiliary                636    0.59      62.26  0.00    0.00               0.20    0.00              0.11            
distnoted                          553    0.81      85.80  0.00    0.00               0.00    0.00              0.11            
trustd                             613    0.90      88.73  0.00    0.00               0.20    0.00              0.11            
proactived                         92846  0.98      68.52  0.00    0.00               0.00    0.00              0.10            
corebrightnessd                    384    1.84      55.24  0.00    0.00               1.00    0.00              0.10            
launchd                            1      0.59      61.99  0.00    0.00               0.20    0.00              0.09            
contextstored                      405    0.95      71.82  0.00    0.00               0.40    0.00              0.09            
gamepolicyd                        850    0.29      63.70  0.00    0.00               0.40    0.00              0.08            
Identity.API                       86519  0.92      82.26  0.00    0.00               3.98    0.40              0.08            
TextInputSwitcher                  773    0.70      64.76  0.00    0.00               0.00    0.00              0.08            
symptomsd                          499    0.39      23.04  0.00    0.00               0.00    0.00              0.07            
Microsoft Word                     70845  1.73      72.92  0.00    0.00               15.13   0.80              0.06            
airportd                           408    1.37      65.99  0.00    0.00               1.00    0.00              0.06            
dasd                               370    0.72      76.21  0.00    0.00               0.20    0.00              0.06            
Ordering.API                       86549  0.60      73.43  0.00    0.00               4.38    0.00              0.05            
dotnet                             86539  0.54      41.56  0.00    0.00               0.80    0.00              0.05            
PAH_Extension                      781    0.46      68.03  0.00    0.00               0.20    0.00              0.05            
audioclocksyncd                    480    1.22      56.58  0.00    0.00               0.00    0.00              0.05            
dotnet                             86548  0.09      38.54  0.00    0.00               0.80    0.00              0.04            
dotnet                             86536  0.52      50.54  0.00    0.00               1.19    0.00              0.04            
PerfPowerServices                  92848  0.81      79.37  0.00    0.00               0.00    0.00              0.04            
distnoted                          372    0.23      60.77  0.00    0.00               0.00    0.00              0.04            
powerd                             334    0.47      43.87  0.00    0.00               0.20    0.00              0.03            
cfprefsd                           554    0.71      24.31  0.00    0.00               0.20    0.00              0.03            
notifyd                            382    0.16      59.67  0.00    0.00               0.00    0.00              0.03            
opendirectoryd                     360    0.31      51.07  0.00    0.00               0.00    0.00              0.03            
eShop.AppHost                      86448  0.59      75.20  0.00    0.00               1.99    0.20              0.02            
dotnet                             86550  0.08      42.48  0.00    0.00               0.60    0.20              0.02            
com.apple.appkit.xpc.openAndSave   86571  0.10      61.77  0.00    0.00               0.20    0.00              0.02            
com.apple.Safari.SandboxBroker     86564  0.09      69.00  0.00    0.00               0.20    0.00              0.02            
bluetoothd                         381    0.17      55.78  0.00    0.00               0.40    0.00              0.02            
QuickLookUIService                 86572  0.10      63.50  0.00    0.00               0.20    0.00              0.02            
dotnet                             86518  0.44      49.64  0.00    0.00               1.19    0.00              0.02            
nsurlsessiond                      600    0.14      66.14  0.00    0.00               0.20    0.00              0.02            
dotnet                             86520  0.43      51.23  0.00    0.00               1.19    0.20              0.02            
com.apple.hiservices-xpcservice    602    0.05      50.32  0.00    0.00               0.00    0.00              0.01            
universalaccessd                   566    0.23      52.61  0.00    0.00               0.00    0.00              0.01            
TextInputMenuAgent                 757    0.14      67.70  0.00    0.00               0.00    0.00              0.01            
suggestd                           643    0.18      67.32  0.00    0.00               0.00    0.00              0.01            
mdworker_shared                    93899  0.28      52.60  0.00    0.00               0.20    0.00              0.01            
