Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:32 2024



*** Sampled system activity (Thu Jul 18 22:00:50 2024 +0200) (5021.31ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
securityd                          365    721.84    98.28  0.00    0.00               0.00    0.00              436.24          
Google Chrome Helper (Renderer)    6733   214.09    92.09  17.11   2.98               59.67   0.20              212.24          
Python                             8203   55.15     79.58  10.54   0.00               15.51   0.20              93.93           
WindowServer                       388    220.24    59.83  34.41   0.60               215.21  2.19              54.63           
Google Chrome Helper (GPU)         86601  85.57     69.81  0.20    0.00               89.90   2.19              46.39           
WebApp                             86551  110.11    91.83  3.38    1.39               22.08   0.00              22.90           
qemu-system-aarch64                86403  90.25     65.06  0.00    17.50              64.24   0.99              21.52           
dcpctrl                            86493  28.24     55.33  554.54  2.98               569.06  0.20              20.87           
powermetrics                       8217   11.58     41.29  0.00    0.00               0.20    0.00              18.55           
opendirectoryd                     360    7.83      89.01  0.00    0.00               0.00    0.00              16.21           
kernel_task                        0      92.02     0.00   419.88  51.12              1271.77 96.67             9.86            
DEAD_TASKS                         -1     20.73     27.65  0.00    0.00               0.00    0.00              9.35            
Google Chrome                      86597  26.60     78.83  0.00    0.00               5.97    0.00              7.41            
Docker Desktop Helper (Renderer)   86422  3.89      91.81  0.20    0.00               1.39    0.00              7.41            
mDNSResponder                      466    8.14      31.56  81.75   0.00               81.95   0.00              3.68            
Terminal                           1105   18.91     73.57  0.00    0.00               2.78    0.00              3.29            
com.docker.backend                 86394  8.68      55.01  201.69  2.19               237.69  0.20              2.81            
WindowManager                      570    6.82      92.93  0.00    0.00               0.40    0.00              2.75            
com.docker.cli                     8221   12.98     56.14  69.72   0.40               71.33   0.00              5.51            
com.docker.cli                     8220   14.29     56.75  86.95   0.40               88.16   0.00              5.41            
Code Helper (Renderer)             57365  5.42      89.93  0.80    0.60               6.76    0.60              2.15            
Code Helper (GPU)                  57347  4.23      54.62  0.40    0.40               4.57    0.00              1.63            
CursorUIViewService                765    7.29      80.42  0.00    0.00               1.39    0.00              1.52            
ContextStoreAgent                  628    7.04      85.85  0.00    0.00               0.20    0.00              1.18            
BiomeAgent                         745    5.97      43.83  0.00    0.00               0.00    0.00              0.98            
runningboardd                      404    4.73      75.27  0.00    0.00               2.19    0.00              0.72            
mds_stores                         544    5.75      75.91  0.00    0.00               0.00    0.00              0.60            
Code Helper                        57836  4.84      42.63  9.15    0.40               15.12   0.40              0.57            
Google Chrome Helper               86602  0.90      71.62  0.00    0.00               0.60    0.00              0.41            
locationd                          367    6.27      92.95  0.00    0.00               0.60    0.00              0.41            
symptomsd                          499    2.05      21.54  0.00    0.00               0.00    0.00              0.40            
mds                                349    4.04      64.89  0.00    0.00               2.78    0.00              0.37            
logd                               320    3.26      50.61  0.00    0.00               0.20    0.00              0.36            
secd                               585    1.79      85.57  0.00    0.00               0.00    0.00              0.36            
PaymentProcessor                   86535  1.53      49.57  0.00    0.00               4.77    0.40              0.27            
Basket.API                         86532  0.76      77.25  0.00    0.00               4.38    0.00              0.25            
launchservicesd                    362    1.32      58.60  0.00    0.00               0.00    0.00              0.25            
WebhookClient                      86538  2.43      62.05  0.00    0.00               6.76    0.20              0.23            
Mobile.Bff.Shopping                86547  1.45      69.86  0.00    0.00               4.77    0.00              0.21            
dotnet                             86534  0.27      43.74  0.00    0.00               1.19    0.00              0.21            
dotnet                             86437  0.55      34.29  0.00    0.00               1.59    0.00              0.21            
Webhooks.API                       86541  3.90      46.46  0.00    0.00               4.77    0.00              0.20            
distnoted                          553    0.94      83.47  0.00    0.00               0.00    0.00              0.19            
Dock                               573    3.39      58.35  0.00    0.00               6.96    0.60              0.19            
Catalog.API                        86543  1.57      67.34  0.00    0.00               4.77    0.20              0.16            
fseventsd                          325    1.85      35.38  0.00    0.00               3.98    0.00              0.16            
Identity.API                       86519  1.39      67.06  0.00    0.00               4.18    0.20              0.15            
Docker Desktop                     86409  1.68      63.68  0.80    0.00               1.59    0.00              0.14            
launchd                            1      0.67      64.47  0.00    0.00               0.00    0.00              0.14            
analyticsd                         417    1.16      40.44  0.00    0.00               0.00    0.00              0.14            
Electron                           57110  1.81      78.22  0.40    0.00               1.19    0.00              0.14            
gamepolicyd                        850    0.75      68.41  0.00    0.00               0.99    0.00              0.13            
OrderProcessor                     86545  1.04      73.78  0.00    0.00               3.98    0.00              0.12            
ViewBridgeAuxiliary                636    0.64      61.48  0.00    0.00               0.20    0.00              0.12            
dotnet                             86546  0.66      25.01  0.00    0.00               1.19    0.00              0.11            
contextstored                      405    1.18      72.69  0.00    0.00               0.20    0.00              0.10            
proactived                         92846  0.96      64.99  0.00    0.00               0.00    0.00              0.10            
dotnet                             86518  0.60      25.50  0.00    0.00               1.39    0.00              0.10            
dotnet                             86544  0.65      25.57  0.00    0.00               1.19    0.00              0.10            
Code Helper (Plugin)               57839  0.20      84.47  0.00    0.00               0.20    0.00              0.10            
dcp                                86492  1.25      51.55  35.21   0.40               43.76   0.00              0.10            
dotnet                             86520  0.55      29.16  0.00    0.00               1.19    0.00              0.10            
trustd                             613    1.04      85.97  0.00    0.00               0.60    0.00              0.09            
dotnet                             86536  0.74      26.03  0.00    0.00               1.19    0.00              0.09            
cfprefsd                           389    0.87      36.96  0.00    0.00               0.20    0.00              0.09            
corebrightnessd                    384    1.86      56.00  0.00    0.00               0.99    0.00              0.08            
dasd                               370    1.09      77.35  0.00    0.00               0.60    0.00              0.08            
dotnet                             86499  1.24      71.05  0.00    0.00               3.38    0.00              0.08            
TextInputSwitcher                  773    0.75      63.87  0.00    0.00               0.00    0.00              0.07            
PAH_Extension                      781    0.40      68.18  0.00    0.00               0.40    0.00              0.07            
Safari                             86553  0.53      73.51  0.00    0.00               0.60    0.00              0.07            
