Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:30 2024



*** Sampled system activity (Wed Jul 17 03:50:31 2024 +0200) (5016.50ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    86616  209.81    91.39  26.48   5.58               68.89   2.59              172.53          
Catalog.API                        86543  96.40     61.03  0.20    0.00               6.57    1.00              75.19           
qemu-system-aarch64                86403  246.75    64.26  0.00    86.81              174.03  13.74             71.46           
WebApp                             86551  78.21     58.19  0.20    0.20               9.36    0.60              53.63           
Google Chrome Helper (GPU)         86601  107.28    69.54  0.00    0.20               91.79   5.58              45.31           
WindowServer                       388    260.55    57.46  2.19    0.80               222.01  8.76              44.24           
Code Helper (Renderer)             57365  51.01     90.19  4.18    1.00               10.75   0.00              20.88           
securityd                          365    10.02     97.72  0.00    0.00               0.00    0.00              12.77           
Code Helper (GPU)                  57347  32.02     68.84  1.79    5.38               15.73   0.20              12.72           
Python                             87364  21.32     90.29  0.20    0.20               5.58    0.20              11.65           
powermetrics                       87379  7.72      38.18  0.00    0.00               0.20    0.00              11.31           
dcpctrl                            86493  16.46     46.55  441.43  1.00               452.98  1.79              7.36            
DEAD_TASKS                         -1     16.70     27.38  0.00    0.00               0.00    0.00              7.11            
com.docker.backend                 86394  15.65     51.67  461.55  3.38               491.81  3.98              6.93            
kernel_task                        0      91.91     0.00   383.49  8.56               1342.22 249.89            5.97            
Google Chrome                      86597  23.59     77.95  0.00    0.00               4.38    0.00              5.33            
Docker Desktop Helper (Renderer)   86422  8.24      92.73  0.20    0.00               0.80    0.00              3.33            
Terminal                           1105   23.92     80.67  0.00    0.00               2.99    0.20              3.29            
Code Helper                        57836  10.13     61.60  26.08   4.98               36.24   0.60              2.76            
WindowManager                      570    5.39      90.71  0.00    0.00               0.40    0.00              1.30            
ContextStoreAgent                  628    7.32      86.50  0.00    0.00               0.00    0.00              1.20            
Code Helper (Plugin)               57839  2.65      85.79  0.00    0.00               0.20    0.00              0.83            
Basket.API                         86532  6.95      89.85  0.00    0.00               5.58    0.40              0.64            
Electron                           57110  4.39      81.30  0.40    0.00               1.79    0.00              0.59            
runningboardd                      404    2.73      72.01  0.00    0.00               0.80    0.00              0.56            
CursorUIViewService                765    6.36      75.31  0.00    0.00               1.19    0.00              0.55            
WebhookClient                      86538  2.67      58.59  0.00    0.00               6.57    0.60              0.49            
dotnet                             86499  1.83      50.45  0.00    0.00               4.38    0.40              0.37            
Google Chrome Helper               86602  0.55      56.88  0.00    0.00               0.60    0.00              0.34            
PaymentProcessor                   86535  1.21      79.63  0.00    0.00               4.38    0.00              0.24            
mDNSResponder                      466    1.57      36.53  14.93   0.00               15.53   0.20              0.22            
Webhooks.API                       86541  1.70      80.55  0.00    0.00               5.18    0.40              0.22            
launchservicesd                    362    1.32      59.29  0.00    0.00               0.00    0.00              0.20            
distnoted                          553    0.59      80.54  0.00    0.00               0.00    0.00              0.18            
Dock                               573    3.24      58.83  0.00    0.00               6.77    0.60              0.17            
logd                               320    2.36      55.16  0.00    0.00               0.20    0.00              0.16            
OrderProcessor                     86545  1.33      78.03  0.00    0.00               5.38    0.40              0.15            
Mobile.Bff.Shopping                86547  1.18      88.68  0.00    0.00               4.58    0.00              0.13            
dcp                                86492  1.31      54.81  35.04   0.20               45.40   0.60              0.13            
ViewBridgeAuxiliary                636    0.64      62.28  0.00    0.00               0.00    0.00              0.10            
contextstored                      405    1.48      68.49  0.00    0.00               0.60    0.00              0.10            
corebrightnessd                    384    1.91      55.85  0.00    0.00               1.00    0.20              0.09            
gamepolicyd                        850    0.39      66.26  0.00    0.00               0.40    0.00              0.09            
Ordering.API                       86549  0.55      85.28  0.00    0.00               3.98    0.20              0.09            
dasd                               370    1.80      82.06  0.00    0.00               0.40    0.20              0.08            
eShop.AppHost                      86448  0.68      69.10  0.00    0.00               1.79    0.40              0.08            
PAH_Extension                      781    0.39      69.09  0.00    0.00               0.40    0.00              0.08            
trustd                             613    0.79      90.12  0.00    0.00               0.00    0.00              0.08            
Identity.API                       86519  1.32      91.29  0.00    0.00               3.98    0.60              0.08            
TextInputSwitcher                  773    0.72      62.47  0.00    0.00               0.20    0.00              0.07            
airportd                           408    0.80      65.36  0.00    0.00               1.39    0.00              0.07            
