Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 02:07:41 2024



*** Sampled system activity (Tue Jul 16 02:16:28 2024 +0200) (5014.27ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Catalog.API                        1236   122.32    96.13  0.60    0.00               5.78    0.20              292.65          
WebApp                             1252   75.45     94.21  0.20    0.20               8.96    0.20              174.58          
qemu-system-aarch64                1076   225.96    66.82  0.00    88.25              181.87  4.38              42.41           
Google Chrome Helper (Renderer)    1765   61.98     85.00  16.93   2.19               32.07   1.39              23.48           
Code Helper (Renderer)             1572   23.76     91.91  1.39    0.20               5.78    0.00              21.31           
WindowServer                       373    100.45    58.84  1.99    0.20               106.57  0.00              19.43           
Google Chrome Helper (GPU)         1750   32.02     63.01  0.00    0.00               66.53   1.79              10.32           
powermetrics                       1797   8.39      29.23  0.00    0.00               0.20    0.00              9.60            
DEAD_TASKS                         -1     19.35     28.52  0.00    0.00               0.00    0.00              6.73            
searchpartyd                       539    46.56     91.66  0.00    0.00               0.20    0.00              5.77            
Google Chrome                      1742   28.45     74.03  0.00    0.00               3.19    0.00              5.62            
Code Helper (GPU)                  1337   7.63      64.90  0.60    1.79               9.36    0.20              4.48            
com.docker.cli                     1798   15.59     59.48  87.65   0.54               88.19   0.00              11.22           
com.docker.backend                 1066   9.12      56.66  229.48  1.39               262.55  4.98              4.14            
Terminal                           918    25.32     74.89  0.00    0.00               2.39    0.00              3.57            
com.docker.cli                     1799   14.34     59.31  86.10   0.54               86.64   0.00              9.39            
Docker Desktop Helper (Renderer)   1105   7.36      94.42  0.40    0.00               1.39    0.00              3.35            
kernel_task                        0      77.10     0.00   244.62  32.47              804.18  146.81            3.08            
dcpctrl                            1196   5.16      56.65  126.49  0.00               135.46  0.80              2.53            
Python                             1733   6.27      83.66  0.20    0.00               5.38    0.20              2.12            
Code Helper                        1361   6.51      53.00  12.35   1.39               19.32   1.79              1.68            
ContextStoreAgent                  600    6.46      84.25  0.00    0.00               0.00    0.00              1.27            
WindowManager                      555    5.05      90.62  0.00    0.00               0.40    0.00              1.22            
securityd                          350    4.07      98.46  0.00    0.00               0.00    0.00              1.04            
CursorUIViewService                678    5.74      76.99  0.00    0.00               1.00    0.00              0.88            
dasd                               355    4.95      76.45  0.00    0.00               0.40    0.00              0.74            
com.apple.geod                     648    5.42      69.40  0.00    0.00               0.20    0.00              0.57            
runningboardd                      385    3.31      73.21  0.00    0.00               1.59    0.00              0.51            
UserEventAgent                     546    2.21      79.23  0.00    0.00               0.20    0.00              0.43            
