Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 02:07:41 2024



*** Sampled system activity (Tue Jul 16 02:58:50 2024 +0200) (5021.05ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    1765   209.10    92.42  11.34   3.58               53.31   3.98              190.74          
Google Chrome Helper (GPU)         1750   89.62     69.15  0.00    0.00               93.50   2.19              42.70           
WindowServer                       373    214.51    56.17  33.42   0.20               219.62  1.59              40.60           
qemu-system-aarch64                1076   119.16    68.29  0.00    22.68              82.56   5.57              20.41           
WebApp                             1252   29.17     74.38  0.00    0.00               9.75    0.40              15.84           
powermetrics                       3493   8.60      42.80  0.00    0.00               0.20    0.00              15.27           
Catalog.API                        1236   24.21     67.69  0.00    0.00               5.57    0.20              15.04           
mdworker_shared                    3496   12.25     76.33  0.00    0.00               0.00    0.00              11.97           
DEAD_TASKS                         -1     25.60     32.92  0.00    0.00               0.00    0.00              7.57            
mdworker_shared                    3495   14.68     80.74  0.00    0.00               0.00    0.00              9.40            
Google Chrome                      1742   21.89     76.83  0.00    0.00               4.97    0.00              5.67            
com.docker.backend                 1066   19.66     67.70  324.85  2.79               361.45  3.58              5.66            
Code Helper (Renderer)             1572   17.11     87.69  0.99    0.60               5.77    0.00              4.97            
mdworker_shared                    3494   17.90     76.91  0.00    0.00               0.00    0.00              5.28            
kernel_task                        0      79.66     0.00   310.93  6.56               1094.91 232.15            4.38            
Terminal                           918    24.37     77.24  0.00    0.00               2.39    0.00              3.86            
Code Helper (GPU)                  1337   11.74     66.33  0.40    2.59               12.13   0.00              3.62            
com.docker.cli                     3499   20.15     58.29  89.12   0.45               90.92   0.00              6.53            
com.docker.cli                     3500   20.16     59.77  104.10  0.45               105.90  0.45              5.71            
Python                             3485   9.68      88.20  0.20    0.20               5.17    0.40              2.15            
securityd                          350    3.24      97.18  0.00    0.00               0.00    0.00              1.74            
dcpctrl                            1196   5.21      41.54  147.21  0.00               158.75  1.59              1.46            
WindowManager                      555    5.81      89.32  0.00    0.00               0.40    0.00              1.39            
ContextStoreAgent                  600    6.87      85.08  0.00    0.00               0.00    0.00              1.23            
CursorUIViewService                678    5.28      77.39  0.00    0.00               0.99    0.00              1.00            
Code Helper                        1361   7.19      53.65  15.12   2.19               23.08   2.19              0.92            
cfprefsd                           536    1.39      70.53  0.00    0.00               0.00    0.00              0.45            
runningboardd                      385    2.55      73.71  0.00    0.00               0.80    0.00              0.40            
launchd                            1      3.10      40.68  0.00    0.00               0.00    0.00              0.40            
Google Chrome Helper               1753   0.68      58.20  0.00    0.00               0.80    0.00              0.36            
Code Helper (Plugin)               1574   1.05      86.96  0.00    0.00               0.20    0.00              0.34            
Basket.API                         1246   2.76      69.85  0.00    0.00               5.37    0.60              0.28            
Ordering.API                       1248   2.41      81.22  0.00    0.00               5.77    0.40              0.28            
opendirectoryd                     345    1.60      52.21  0.00    0.00               0.00    0.00              0.27            
Identity.API                       1220   1.82      83.33  0.00    0.00               5.37    0.40              0.27            
mds                                334    2.99      54.38  0.00    0.00               1.39    0.00              0.26            
OrderProcessor                     1240   3.23      78.80  0.00    0.00               4.58    0.20              0.25            
PaymentProcessor                   1242   3.20      66.38  0.00    0.00               5.97    0.00              0.25            
launchservicesd                    347    1.27      61.11  0.00    0.00               0.00    0.00              0.23            
logd                               305    2.67      46.25  0.00    0.00               0.20    0.00              0.23            
mds_stores                         515    1.79      78.87  0.00    0.00               0.00    0.00              0.21            
WebhookClient                      1256   2.20      80.67  0.00    0.00               6.56    0.40              0.20            
distnoted                          535    1.11      81.88  0.00    0.00               0.00    0.00              0.19            
Docker Desktop Helper (Renderer)   1105   1.62      87.65  0.00    0.00               0.60    0.00              0.18            
Webhooks.API                       1244   1.95      58.63  0.00    0.00               4.77    0.60              0.17            
Electron                           1334   1.32      83.47  0.40    0.00               1.19    0.40              0.16            
notifyd                            367    0.99      59.29  0.00    0.00               0.00    0.00              0.14            
dotnet                             1221   1.76      58.71  0.00    0.00               4.18    0.60              0.14            
bluetoothd                         366    1.51      63.36  0.00    0.00               0.80    0.00              0.13            
cfprefsd                           374    0.79      60.23  0.00    0.00               0.00    0.00              0.13            
ViewBridgeAuxiliary                616    0.59      62.76  0.00    0.00               0.00    0.00              0.12            
diskarbitrationd                   337    0.12      60.41  0.00    0.00               0.00    0.00              0.12            
contextstored                      381    1.40      70.02  0.00    0.00               0.40    0.00              0.10            
dotnet                             1202   0.50      30.18  0.00    0.00               1.39    0.00              0.09            
trustd                             584    0.92      88.60  0.00    0.00               0.00    0.00              0.09            
corebrightnessd                    369    1.85      56.61  0.00    0.00               0.99    0.00              0.08            
airportd                           399    1.61      64.36  0.00    0.00               1.79    0.00              0.08            
gamepolicyd                        880    0.40      71.09  0.00    0.00               0.40    0.00              0.08            
dcp                                1195   1.31      55.83  32.43   0.00               42.97   1.19              0.07            
TextInputSwitcher                  760    0.66      63.53  0.00    0.00               0.00    0.00              0.07            
dotnet                             1247   0.34      50.06  0.00    0.00               0.80    0.00              0.07            
Docker Desktop                     1087   1.63      56.01  0.80    0.00               1.39    0.40              0.06            
dasd                               355    1.19      80.09  0.00    0.00               0.40    0.00              0.06            
distnoted                          357    0.61      52.51  0.00    0.00               0.00    0.00              0.05            
Dock                               557    1.32      50.28  0.00    0.00               0.20    0.00              0.05            
Mobile.Bff.Shopping                1250   0.62      83.84  0.00    0.00               3.38    0.00              0.05            
mDNSResponder                      449    0.36      47.60  2.79    0.00               3.18    0.00              0.04            
audioclocksyncd                    473    1.17      55.05  0.00    0.00               0.00    0.00              0.04            
Microsoft Word                     1491   1.23      72.29  0.00    0.00               11.34   0.40              0.04            
PAH_Extension                      687    0.48      65.30  0.00    0.00               0.40    0.00              0.04            
com.apple.appkit.xpc.openAndSave   1580   0.13      65.39  0.00    0.00               0.40    0.00              0.04            
com.apple.appkit.xpc.openAndSave   2020   0.11      64.79  0.00    0.00               0.40    0.00              0.03            
fseventsd                          310    0.68      28.02  0.00    0.00               1.99    0.00              0.03            
com.apple.appkit.xpc.openAndSave   1279   0.12      65.02  0.00    0.00               0.40    0.00              0.03            
QLPreviewGenerationExtension       1586   0.12      62.89  0.00    0.00               0.40    0.00              0.03            
com.apple.Safari.SandboxBroker     1275   0.09      65.60  0.00    0.00               0.40    0.00              0.03            
powerd                             319    0.57      45.38  0.00    0.00               0.20    0.00              0.03            
QuickLookUIService                 1581   0.10      65.97  0.00    0.00               0.40    0.00              0.03            
dotnet                             1243   0.42      39.63  0.00    0.00               1.19    0.00              0.03            
UserEventAgent                     307    0.18      85.61  0.00    0.00               0.00    0.00              0.03            
PerfPowerServices                  359    0.56      72.82  0.00    0.00               0.00    0.00              0.03            
QuickLookUIService                 1280   0.10      64.21  0.00    0.00               0.40    0.00              0.03            
lsd                                558    0.40      61.11  0.00    0.00               0.00    0.00              0.03            
QuickLookUIService                 2021   0.11      61.08  0.00    0.00               0.40    0.00              0.02            
dotnet                             1241   0.52      50.46  0.00    0.00               1.39    0.00              0.02            
dotnet                             1245   0.57      45.89  0.00    0.00               0.99    0.20              0.02            
dotnet                             1223   0.50      45.28  0.00    0.00               1.39    0.00              0.02            
dotnet                             1239   0.58      45.72  0.00    0.00               1.39    0.00              0.02            
universalaccessd                   551    0.23      52.63  0.00    0.00               0.00    0.00              0.02            
bluetoothuserd                     699    0.22      63.28  0.00    0.00               0.00    0.00              0.01            
suggestd                           627    0.18      67.12  0.00    0.00               0.00    0.00              0.01            
com.apple.hiservices-xpcservice    597    0.06      51.94  0.00    0.00               0.00    0.00              0.01            
TextInputMenuAgent                 756    0.14      67.83  0.00    0.00               0.00    0.00              0.01            
nsurlsessiond                      575    0.09      65.87  0.00    0.00               0.00    0.00              0.01            
