Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:30 2024



*** Sampled system activity (Wed Jul 17 03:32:54 2024 +0200) (5014.16ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Catalog.API                        86543  174.11    92.39  0.00    0.00               6.38    0.00              410.74          
WebApp                             86551  172.44    92.54  0.20    0.00               9.57    0.00              369.54          
DEAD_TASKS                         -1     99.32     57.56  81.97   0.60               84.96   0.00              119.37          
Docker Desktop Helper (Renderer)   86422  38.71     93.70  7.77    0.00               10.56   0.00              55.65           
WindowServer                       388    165.56    61.12  7.18    0.60               191.76  1.59              49.19           
qemu-system-aarch64                86403  191.46    64.87  0.00    56.01              125.98  3.99              42.60           
coreduetd                          355    16.67     99.18  0.00    0.00               0.00    0.00              38.14           
Code Helper (Renderer)             57365  65.96     90.16  3.79    1.20               8.77    0.00              31.17           
mds                                349    35.68     86.96  0.00    0.00               5.98    0.00              28.41           
Google Chrome                      86597  70.66     71.47  0.00    0.00               6.98    0.40              26.89           
Google Chrome Helper (Renderer)    86616  63.01     84.29  14.35   2.39               37.08   1.00              26.45           
Code Helper (GPU)                  57347  46.59     73.14  5.18    10.56              27.91   0.00              17.89           
mdworker_shared                    86660  113.91    77.39  0.00    0.00               0.00    0.00              268.76          
mdworker_shared                    86658  142.89    74.40  0.00    0.00               0.00    0.00              234.12          
Google Chrome Helper               86666  1885.59   72.66  0.00    0.00               0.00    0.00              5362.34         
mdworker_shared                    86656  116.22    74.11  0.00    0.00               0.00    0.00              201.62          
powermetrics                       86650  5.45      54.21  0.00    0.00               0.20    0.00              10.17           
mdworker_shared                    86661  168.37    74.64  0.00    0.00               0.00    0.00              255.26          
Google Chrome Helper (GPU)         86601  30.76     64.14  0.20    0.00               71.96   1.59              9.97            
mdworker_shared                    86664  506.95    75.48  0.00    0.00               0.00    0.00              612.22          
mdbulkimport                       809    107.72    81.54  0.00    0.00               0.40    0.00              8.17            
kernel_task                        0      120.73    0.00   386.71  18.94              1810.16 193.35            7.70            
mdworker_shared                    86663  365.46    78.45  0.00    0.00               0.00    0.00              316.54          
mdworker_shared                    86657  167.21    80.20  0.00    0.00               0.00    0.00              122.82          
nsurlsessiond                      600    42.64     52.30  0.00    0.00               1.00    0.00              4.95            
com.docker.backend                 86394  14.11     53.36  341.26  5.18               377.94  1.99              4.32            
Terminal                           1105   24.98     73.27  0.00    0.00               2.19    0.00              3.88            
Python                             86590  10.32     86.33  0.40    0.00               5.58    0.20              2.46            
Google Chrome Helper               86602  4.73      72.42  0.00    0.00               3.39    0.00              2.43            
dcpctrl                            86493  5.14      37.12  165.25  0.60               173.82  1.00              2.08            
opendirectoryd                     360    6.86      49.05  0.00    0.00               0.00    0.00              1.98            
launchd                            1      4.52      44.21  0.00    0.00               0.00    0.00              1.80            
Code Helper                        57836  8.45      63.76  14.35   2.59               22.13   1.20              1.68            
WindowManager                      570    4.83      89.23  0.00    0.00               0.40    0.00              1.39            
trustd                             439    1.13      83.14  0.00    0.00               0.00    0.00              1.24            
ContextStoreAgent                  628    5.77      87.12  0.00    0.00               0.00    0.00              1.24            
securityd                          365    3.85      97.89  0.00    0.00               0.00    0.00              1.11            
trustd                             613    13.30     87.59  0.00    0.00               0.00    0.00              0.98            
Identity.API                       86519  3.58      80.36  0.00    0.00               5.98    0.20              0.96            
Basket.API                         86532  1.46      83.15  0.00    0.00               5.18    0.00              0.92            
Ordering.API                       86549  1.55      60.84  0.00    0.00               4.58    0.00              0.85            
Mobile.Bff.Shopping                86547  3.07      80.66  0.00    0.00               5.38    0.00              0.74            
cfprefsd                           554    3.00      71.29  0.00    0.00               0.20    0.00              0.68            
dotnet                             86499  2.94      44.03  0.00    0.00               4.58    0.00              0.67            
Dock                               573    5.53      57.89  0.00    0.00               0.00    0.00              0.62            
dotnet                             86437  0.53      58.74  0.00    0.00               1.59    0.00              0.62            
dotnet                             86544  0.41      74.94  0.00    0.00               1.00    0.00              0.62            
dasd                               370    1.54      73.61  0.00    0.00               0.20    0.00              0.60            
runningboardd                      404    2.30      71.98  0.00    0.00               1.00    0.00              0.60            
CursorUIViewService                765    4.54      74.10  0.00    0.00               0.80    0.00              0.56            
mdworker_shared                    86615  2.99      69.77  0.00    0.00               0.00    0.00              0.55            
WebhookClient                      86538  4.83      78.14  0.00    0.00               6.98    0.00              0.52            
dotnet                             86542  0.27      68.78  0.00    0.00               0.80    0.00              0.48            
dotnet                             86548  2.06      86.96  0.00    0.00               0.80    0.00              0.48            
Electron                           57110  2.85      80.46  0.40    0.00               1.20    0.20              0.48            
mds_stores                         544    3.84      66.54  0.00    0.00               0.20    0.00              0.47            
logd                               320    4.39      40.60  0.00    0.00               0.00    0.00              0.46            
mdworker_shared                    86607  1.81      72.25  0.00    0.00               0.00    0.00              0.42            
dotnet                             86550  2.22      87.92  0.00    0.00               0.80    0.00              0.41            
Code Helper (Plugin)               57839  1.54      87.51  0.00    0.00               0.20    0.00              0.39            
notifyd                            382    1.85      58.82  0.00    0.00               0.00    0.00              0.35            
distnoted                          553    0.86      78.35  0.00    0.00               0.00    0.00              0.34            
cfprefsd                           389    1.54      61.62  0.00    0.00               0.20    0.00              0.33            
Webhooks.API                       86541  0.87      55.33  0.00    0.00               4.78    0.00              0.32            
dotnet                             86534  0.31      56.85  0.00    0.00               1.59    0.00              0.31            
OrderProcessor                     86545  2.48      66.50  0.00    0.00               4.39    0.00              0.26            
PaymentProcessor                   86535  1.08      81.72  0.00    0.00               4.58    0.00              0.26            
launchservicesd                    362    1.13      61.92  0.00    0.00               0.00    0.00              0.21            
nehelper                           432    0.55      34.68  0.00    0.00               0.00    0.00              0.21            
dotnet                             86520  0.96      73.89  0.00    0.00               1.40    0.00              0.21            
distnoted                          372    0.27      53.89  0.00    0.00               0.00    0.00              0.20            
powerd                             334    1.34      52.80  0.00    0.00               0.00    0.00              0.19            
Docker Desktop                     86409  2.09      64.23  1.40    0.00               1.99    0.00              0.19            
fseventsd                          325    1.87      41.76  0.00    0.00               7.57    0.00              0.18            
dcp                                86492  1.08      51.67  30.10   0.40               39.27   0.80              0.18            
mdworker_shared                    86614  1.51      60.38  0.00    0.00               0.00    0.00              0.15            
