Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:31 2024



*** Sampled system activity (Thu Jul 25 12:36:50 2024 +0200) (5017.34ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Docker Desktop Helper (Renderer)   61060  38.87     93.21  5.17    0.00               8.16    0.60              48.39           
WindowServer                       388    202.46    70.69  10.35   0.80               216.34  11.34             44.94           
qemu-system-aarch64                61036  205.71    66.07  0.00    68.86              152.85  11.74             41.36           
powermetrics                       61398  7.98      36.53  0.00    0.00               0.20    0.00              11.48           
DEAD_TASKS                         -1     12.14     58.17  71.55   0.60               73.55   0.40              10.48           
Safari                             60997  65.62     70.12  0.00    0.20               99.51   5.17              8.57            
com.docker.backend                 61026  13.85     65.63  292.16  1.19               329.38  3.78              6.76            
Terminal                           61009  20.09     76.01  0.20    0.00               2.79    0.00              4.16            
kernel_task                        0      82.05     0.00   307.09  10.95              989.14  248.18            3.72            
launchd                            1      15.74     0.64   0.00    0.00               0.20    0.00              2.10            
WindowManager                      570    3.06      92.07  0.00    0.00               0.40    0.00              2.04            
com.apple.WebKit.WebContent        61248  19.44     73.27  0.00    0.00               10.55   1.39              1.68            
ContextStoreAgent                  628    6.43      87.62  0.00    0.00               0.20    0.00              1.37            
syncdefaultsd                      638    1.85      60.85  0.00    0.00               0.00    0.00              1.29            
knowledge-agent                    580    1.11      77.57  0.00    0.00               0.20    0.00              1.27            
BiomeAgent                         745    4.24      44.30  0.00    0.00               0.20    0.00              0.95            
dcpctrl                            61129  5.11      73.47  64.68   1.19               77.02   1.19              0.84            
com.apple.WebKit.GPU               61004  5.19      41.44  0.00    0.00               7.36    0.40              0.84            
CursorUIViewService                765    3.72      91.28  0.00    0.00               1.00    0.20              0.79            
runningboardd                      404    3.75      76.50  0.00    0.00               1.19    0.00              0.76            
CharacterPalette                   17669  10.99     59.55  0.00    0.00               0.20    0.00              0.75            
distnoted                          553    0.55      86.57  0.00    0.00               0.00    0.00              0.50            
WebApp                             61185  5.66      66.58  0.00    0.00               7.96    0.60              0.49            
RStudio Helper (GPU)               53940  3.00      62.56  0.20    0.00               4.58    0.20              0.46            
Docker Desktop                     61045  2.42      71.88  1.19    0.00               1.79    0.00              0.36            
coreauthd                          655    0.42      67.51  0.00    0.00               0.00    0.00              0.26            
RStudio Helper (Renderer)          53968  4.88      92.46  0.60    0.00               2.99    0.20              0.24            
Mobile.Bff.Shopping                61183  3.11      61.65  0.00    0.00               5.17    0.60              0.21            
mds_stores                         544    3.13      75.06  0.00    0.00               0.00    0.00              0.21            
launchservicesd                    362    1.02      73.39  0.00    0.00               0.20    0.00              0.19            
WebhookClient                      61189  2.57      73.44  0.00    0.00               6.17    0.00              0.19            
PaymentProcessor                   61175  1.83      84.20  0.00    0.00               5.57    0.20              0.18            
fseventsd                          325    1.74      28.20  0.20    0.00               2.39    0.00              0.18            
logd                               320    2.55      53.14  0.00    0.00               0.20    0.00              0.18            
Ordering.API                       61173  2.11      68.89  0.00    0.00               5.37    0.20              0.17            
dotnet                             61154  0.22      58.28  0.00    0.00               1.39    0.00              0.16            
Basket.API                         61169  0.95      82.77  0.00    0.00               4.58    0.40              0.16            
cfprefsd                           554    0.96      26.44  0.00    0.00               0.20    0.00              0.15            
contextstored                      405    0.92      71.12  0.00    0.00               0.60    0.00              0.15            
rsession-arm64                     54155  4.22      75.80  0.20    0.00               47.57   3.58              0.14            
mds                                349    2.71      62.18  0.00    0.00               1.39    0.00              0.14            
Webhooks.API                       61181  1.25      78.99  0.00    0.00               4.18    0.20              0.14            
gamepolicyd                        850    0.81      68.93  0.00    0.00               1.00    0.20              0.14            
Dock                               573    2.36      58.31  0.00    0.00               6.57    0.40              0.13            
dotnet                             61135  1.92      68.35  0.00    0.00               4.78    0.20              0.12            
dasd                               370    0.69      74.35  0.00    0.00               0.60    0.20              0.11            
RStudio                            53939  2.86      83.10  1.59    0.00               1.99    0.00              0.10            
RStudio Helper                     53941  1.94      72.07  1.99    0.00               6.37    0.00              0.10            
Catalog.API                        61179  1.71      58.37  0.00    0.00               4.78    0.20              0.10            
PAH_Extension                      781    0.29      58.91  0.00    0.00               0.40    0.00              0.10            
proactived                         92846  0.77      67.16  0.00    0.00               0.20    0.00              0.10            
OrderProcessor                     61177  1.97      79.83  0.00    0.00               5.37    0.20              0.09            
dcp                                61128  1.52      53.31  31.84   0.20               42.19   2.19              0.08            
corebrightnessd                    384    2.04      55.24  0.00    0.00               1.00    0.00              0.08            
trustd                             56682  0.36      87.84  0.00    0.00               0.20    0.00              0.07            
dotnet                             61073  1.02      29.97  0.00    0.00               1.00    0.00              0.06            
dotnet                             61182  0.62      32.64  0.00    0.00               1.19    0.00              0.06            
powerd                             334    0.82      46.46  0.00    0.00               0.00    0.00              0.06            
Identity.API                       61155  1.12      76.01  0.00    0.00               4.18    0.00              0.06            
filecoordinationd                  593    0.23      62.75  0.00    0.00               0.40    0.20              0.06            
Google Chrome                      86597  2.19      94.96  0.00    0.00               0.60    0.20              0.06            
PerfPowerServices                  60805  1.12      79.42  0.00    0.00               0.00    0.00              0.05            
Microsoft Word                     70845  1.60      73.18  0.00    0.00               14.93   1.19              0.05            
cloudd                             639    0.26      63.14  0.00    0.00               0.00    0.00              0.05            
Notes                              60445  0.57      75.90  0.00    0.00               1.00    0.00              0.04            
com.apple.appkit.xpc.openAndSave   1561   0.20      53.62  0.00    0.00               0.40    0.00              0.04            
airportd                           408    1.01      68.63  0.00    0.00               1.39    0.00              0.04            
com.apple.appkit.xpc.openAndSave   61006  0.10      66.89  0.00    0.00               0.20    0.00              0.04            
com.apple.appkit.xpc.openAndSave   54500  0.19      55.80  0.00    0.00               0.40    0.00              0.04            
dotnet                             61186  0.45      53.55  0.00    0.00               1.00    0.00              0.04            
nsurlsessiond                      600    0.07      63.46  0.00    0.00               0.00    0.00              0.04            
universalaccessd                   566    0.11      50.40  0.00    0.00               0.00    0.00              0.04            
audioclocksyncd                    480    1.07      56.77  0.00    0.00               0.00    0.00              0.04            
com.apple.appkit.xpc.openAndSave   60515  0.10      66.07  0.00    0.00               0.20    0.00              0.04            
QuickLookUIService                 61007  0.10      66.64  0.00    0.00               0.20    0.00              0.04            
TextInputSwitcher                  773    0.36      52.96  0.00    0.00               0.20    0.00              0.03            
com.apple.Safari.SandboxBroker     61002  0.08      64.35  0.00    0.00               0.20    0.00              0.03            
bluetoothd                         381    0.71      77.89  0.00    0.00               0.00    0.00              0.03            
com.apple.AuthenticationServices   54483  0.09      64.78  0.00    0.00               0.20    0.00              0.03            
QuickLookUIService                 54501  0.10      62.49  0.00    0.00               0.20    0.00              0.03            
dotnet                             61174  0.43      43.39  0.00    0.00               1.39    0.00              0.03            
SafariBookmarksSyncAgent           1042   0.07      56.75  0.00    0.00               0.20    0.20              0.03            
coreauthd                          552    0.04      65.93  0.00    0.00               0.00    0.00              0.03            
QuickLookUIService                 1562   0.08      65.32  0.00    0.00               0.20    0.00              0.03            
useractivityd                      657    0.39      78.83  0.00    0.00               0.20    0.00              0.02            
dotnet                             61156  0.44      50.19  0.00    0.00               1.39    0.00              0.02            
QuickLookUIService                 587    0.10      67.14  0.00    0.00               0.20    0.00              0.02            
com.apple.appkit.xpc.openAndSave   54148  0.17      53.75  0.00    0.00               0.40    0.00              0.02            
Finder                             578    0.39      68.80  0.00    0.00               0.00    0.00              0.02            
com.apple.appkit.xpc.openAndSave   73559  0.13      65.61  0.00    0.00               0.20    0.00              0.02            
dotnet                             61176  0.58      42.34  0.00    0.00               1.39    0.00              0.02            
dotnet                             61180  0.50      48.66  0.00    0.00               1.39    0.20              0.02            
com.apple.appkit.xpc.openAndSave   60442  0.12      64.16  0.00    0.00               0.20    0.00              0.02            
