Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:30 2024



*** Sampled system activity (Sat Jul 20 23:57:41 2024 +0200) (5023.47ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    24175  199.22    91.98  18.31   3.38               54.72   3.38              190.78          
qemu-system-aarch64                23763  218.29    62.97  0.00    44.97              115.21  3.98              108.80          
Code Helper (Renderer)             57365  94.83     91.57  7.96    2.59               18.51   0.00              81.66           
DEAD_TASKS                         -1     234.81    68.99  0.00    0.00               1.79    0.00              80.90           
WindowServer                       388    285.39    59.83  32.83   0.00               274.60  5.37              73.87           
WebApp                             23856  121.07    56.43  2.19    0.40               19.70   0.99              69.26           
Catalog.API                        23840  104.83    50.92  0.00    0.00               4.97    0.40              58.22           
Google Chrome Helper (GPU)         86601  86.95     70.46  0.20    0.00               97.31   3.98              46.88           
Python                             30684  33.94     90.16  2.19    0.40               8.16    0.20              26.30           
securityd                          365    18.56     97.93  0.00    0.00               0.00    0.00              25.70           
Code Helper (GPU)                  57347  44.14     68.88  4.58    7.76               25.27   0.20              19.71           
com.docker.backend                 86394  36.38     57.99  877.94  3.78               909.58  5.17              18.47           
dcpctrl                            23803  26.46     40.25  736.46  0.60               750.98  3.78              14.12           
powermetrics                       30697  7.04      56.01  0.00    0.00               0.20    0.00              13.49           
Google Chrome                      86597  26.95     79.57  0.00    0.00               2.98    0.00              9.97            
kernel_task                        0      113.67    0.00   427.83  11.54              1477.49 233.22            7.89            
Finder                             578    19.37     84.52  0.00    0.00               8.16    0.00              5.00            
Code Helper                        57836  13.08     56.72  42.38   5.57               52.93   0.60              4.30            
Terminal                           1105   19.77     72.81  0.00    0.00               2.59    0.40              4.11            
Docker Desktop Helper (Renderer)   86422  6.77      89.56  0.20    0.00               0.60    0.00              4.09            
CursorUIViewService                765    9.22      85.39  0.00    0.00               0.80    0.00              2.76            
com.docker.cli                     30701  94.15     54.02  372.37  2.48               377.33  0.00              28.06           
com.docker.cli                     30700  99.04     52.99  335.67  2.47               340.61  0.00              27.49           
WindowManager                      570    5.71      91.13  0.00    0.00               0.40    0.00              1.78            
com.apple.quicklook.ThumbnailsAg   825    3.12      35.65  0.00    0.00               0.20    0.00              1.36            
ContextStoreAgent                  628    7.26      86.02  0.00    0.00               0.00    0.00              1.35            
Code Helper (Plugin)               57839  3.49      84.98  0.40    0.00               0.80    0.00              1.35            
runningboardd                      404    3.06      71.86  0.00    0.00               0.99    0.00              1.07            
BiomeAgent                         745    6.05      45.04  0.00    0.00               0.00    0.00              1.06            
dcp                                23802  4.72      83.04  52.73   0.20               62.08   0.60              0.97            
Electron                           57110  5.64      80.26  0.40    0.00               1.39    0.20              0.95            
mds                                349    7.47      53.14  0.00    0.00               3.58    0.00              0.82            
mds_stores                         544    6.55      69.48  0.00    0.00               0.00    0.00              0.66            
mdworker_shared                    30658  3.41      61.46  0.00    0.00               0.00    0.00              0.52            
launchd                            1      2.28      46.59  0.00    0.00               0.00    0.00              0.42            
Google Chrome Helper               86602  1.12      61.84  0.00    0.00               0.60    0.00              0.40            
logd                               320    3.58      47.12  0.00    0.00               0.00    0.00              0.37            
mDNSResponder                      466    2.17      33.76  18.90   0.00               18.90   0.00              0.33            
Identity.API                       23827  1.45      90.66  0.00    0.00               4.58    0.00              0.31            
ThumbnailExtension_macOS           857    0.77      78.52  0.00    0.00               0.20    0.00              0.30            
WebhookClient                      23847  2.33      52.88  0.00    0.00               6.17    0.40              0.27            
pkd                                589    0.64      62.74  0.00    0.00               0.20    0.00              0.26            
launchservicesd                    362    1.25      57.91  0.00    0.00               0.00    0.00              0.26            
PaymentProcessor                   23862  1.53      76.49  0.00    0.00               4.97    0.40              0.26            
Dock                               573    5.50      53.72  0.00    0.00               6.77    0.20              0.24            
dotnet                             23828  2.20      51.78  0.00    0.00               3.98    0.00              0.24            
filecoordinationd                  593    0.60      76.27  0.00    0.00               0.20    0.00              0.24            
fseventsd                          325    2.14      36.26  0.00    0.00               3.98    0.00              0.23            
distnoted                          553    0.79      77.81  0.00    0.00               0.00    0.00              0.22            
com.apple.appkit.xpc.openAndSave   1561   1.78      51.42  0.00    0.00               0.40    0.00              0.20            
powerd                             334    1.65      58.76  0.00    0.00               0.40    0.20              0.17            
usermanagerd                       379    0.34      64.40  0.00    0.00               0.00    0.00              0.15            
Ordering.API                       23859  1.08      76.69  0.00    0.00               4.97    0.20              0.14            
contextstored                      405    0.91      71.00  0.00    0.00               0.20    0.00              0.14            
ViewBridgeAuxiliary                636    0.67      61.74  0.00    0.00               0.00    0.00              0.13            
PerfPowerServices                  18100  1.30      78.83  0.00    0.00               0.00    0.00              0.13            
dasd                               370    0.63      73.06  0.00    0.00               0.60    0.00              0.13            
mdworker_shared                    30693  1.25      49.54  0.00    0.00               0.00    0.00              0.12            
proactived                         92846  1.18      62.88  0.00    0.00               0.00    0.00              0.11            
trustd                             613    0.94      86.12  0.00    0.00               0.00    0.00              0.11            
corebrightnessd                    384    2.07      59.06  0.00    0.00               0.99    0.00              0.10            
gamepolicyd                        850    0.40      60.62  0.00    0.00               0.99    0.00              0.10            
notifyd                            382    0.97      57.86  0.00    0.00               0.00    0.00              0.10            
Docker Desktop                     86409  1.91      61.80  0.80    0.00               1.59    0.20              0.10            
Basket.API                         23845  0.83      86.07  0.00    0.00               3.78    0.00              0.09            
airportd                           408    1.07      65.85  0.00    0.00               1.39    0.20              0.09            
Mobile.Bff.Shopping                23850  1.04      86.12  0.00    0.00               4.18    0.00              0.09            
UserEventAgent                     322    0.65      77.47  0.00    0.00               0.00    0.00              0.08            
cfprefsd                           554    0.64      54.98  0.00    0.00               0.20    0.00              0.08            
PAH_Extension                      781    0.40      63.70  0.00    0.00               0.20    0.00              0.08            
TextInputSwitcher                  773    0.75      62.70  0.00    0.00               0.00    0.00              0.08            
OrderProcessor                     23854  0.83      89.36  0.00    0.00               3.58    0.20              0.08            
Webhooks.API                       23852  0.70      77.31  0.00    0.00               3.58    0.20              0.08            
symptomsd                          499    0.41      21.35  0.00    0.00               0.00    0.00              0.08            
Notes                              19281  0.74      75.35  0.00    0.00               0.99    0.00              0.07            
CharacterPalette                   17669  0.81      66.01  0.00    0.00               0.20    0.00              0.06            
systemstats                        329    0.52      39.04  0.00    0.00               0.00    0.00              0.06            
opendirectoryd                     360    0.60      64.60  0.00    0.00               0.00    0.00              0.05            
Microsoft Word                     70845  1.56      66.60  0.00    0.00               13.73   0.40              0.05            
audioclocksyncd                    480    1.23      59.44  0.00    0.00               0.00    0.00              0.05            
cfprefsd                           389    0.33      58.89  0.00    0.00               0.20    0.00              0.04            
distnoted                          372    0.27      52.06  0.00    0.00               0.20    0.00              0.04            
com.docker.build                   86400  0.41      78.17  3.98    0.00               6.37    0.00              0.04            
dotnet                             23809  0.34      51.39  0.00    0.00               0.80    0.00              0.03            
diskarbitrationd                   352    0.33      79.80  0.00    0.00               0.00    0.00              0.03            
useractivityd                      657    0.21      79.60  0.00    0.00               0.00    0.00              0.03            
Code Helper                        57837  0.13      72.75  0.60    0.00               0.99    0.00              0.03            
com.apple.appkit.xpc.openAndSave   86571  0.10      62.89  0.00    0.00               0.20    0.00              0.02            
bluetoothd                         381    0.24      52.27  0.00    0.00               0.60    0.00              0.02            
ThemeWidgetControlViewService      15954  0.11      62.74  0.00    0.00               0.20    0.00              0.02            
QuickLookUIService                 86572  0.10      59.96  0.00    0.00               0.20    0.00              0.02            
com.apple.Safari.SandboxBroker     86564  0.09      61.83  0.00    0.00               0.20    0.00              0.02            
nsurlsessiond                      600    0.20      53.73  0.00    0.00               0.40    0.00              0.02            
lsd                                576    0.21      54.07  0.00    0.00               0.00    0.00              0.02            
