Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:30 2024



*** Sampled system activity (Sun Jul 21 00:09:34 2024 +0200) (5020.86ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    24175  218.73    92.12  21.51   4.58               60.54   2.99              215.89          
qemu-system-aarch64                23763  277.80    59.28  0.00    42.42              114.12  3.78              167.90          
WindowServer                       388    299.24    59.61  36.84   0.20               276.63  2.79              115.23          
WebApp                             23856  141.37    50.46  1.39    0.80               18.52   0.20              100.55          
Catalog.API                        23840  131.16    41.00  0.40    0.00               5.58    0.00              92.04           
Docker Desktop Helper (Renderer)   86422  34.55     93.39  5.58    0.00               6.97    0.00              69.63           
Google Chrome Helper (GPU)         86601  96.13     71.06  0.00    0.20               99.18   1.99              53.62           
Code Helper (Renderer)             57365  96.33     89.38  6.97    3.58               18.72   0.20              32.64           
com.docker.backend                 86394  38.60     50.49  1079.05 3.39               1107.73 2.39              29.00           
securityd                          365    18.12     97.59  0.00    0.00               0.00    0.00              26.80           
Python                             31184  38.81     89.96  0.20    0.20               6.37    0.00              26.75           
Code Helper (GPU)                  57347  73.62     74.70  8.76    18.32              40.43   0.20              24.70           
dcpctrl                            23803  31.80     37.19  1074.08 1.99               1088.61 4.58              23.80           
DEAD_TASKS                         -1     30.87     42.00  79.87   0.40               82.46   0.00              17.36           
Google Chrome                      86597  41.11     81.19  0.00    0.00               6.77    0.20              16.46           
powermetrics                       31192  5.69      65.22  0.00    0.00               0.20    0.00              15.24           
kernel_task                        0      150.56    0.00   493.32  3.78               1873.71 297.35            10.48           
CursorUIViewService                765    18.59     85.21  0.00    0.00               1.59    0.00              5.98            
Terminal                           1105   29.61     72.12  0.00    0.00               2.79    0.00              5.32            
Code Helper                        57836  13.13     58.65  44.41   6.57               55.96   0.80              5.09            
WindowManager                      570    11.26     90.37  0.00    0.00               0.40    0.00              3.64            
BiomeAgent                         745    11.54     43.30  0.00    0.00               0.00    0.00              1.98            
ContextStoreAgent                  628    11.40     84.37  0.00    0.00               0.20    0.00              1.90            
Code Helper (Plugin)               57839  3.79      82.90  0.40    0.00               0.80    0.00              1.32            
Electron                           57110  6.93      77.65  0.40    0.00               1.59    0.20              1.31            
runningboardd                      404    4.25      72.84  0.00    0.00               1.00    0.20              1.29            
dcp                                23802  2.72      64.23  64.73   0.60               76.08   0.60              1.08            
Dock                               573    16.11     54.97  0.00    0.00               13.34   0.80              0.97            
searchpartyd                       540    11.95     94.35  0.00    0.00               0.40    0.00              0.97            
mds_stores                         544    6.02      75.64  0.00    0.00               0.00    0.00              0.81            
WebhookClient                      23847  2.35      68.98  0.00    0.00               7.17    0.00              0.71            
launchservicesd                    362    3.06      59.19  0.00    0.00               0.20    0.00              0.49            
mds                                349    6.69      64.80  0.00    0.00               2.99    0.00              0.49            
Docker Desktop                     86409  1.67      70.25  1.59    0.00               2.19    0.00              0.49            
Google Chrome Helper               86602  0.68      64.71  0.00    0.00               0.60    0.00              0.44            
dasd                               370    2.39      83.65  0.00    0.00               0.40    0.00              0.41            
mDNSResponder                      466    2.29      34.79  20.31   0.00               21.11   0.00              0.36            
Mobile.Bff.Shopping                23850  1.48      75.13  0.00    0.00               5.18    0.20              0.35            
logd                               320    3.95      51.19  0.00    0.00               0.00    0.00              0.34            
OrderProcessor                     23854  1.39      87.78  0.00    0.00               4.98    0.00              0.28            
contextstored                      405    2.06      72.85  0.00    0.00               0.20    0.00              0.26            
fseventsd                          325    2.03      36.10  0.00    0.00               3.39    0.00              0.25            
ViewBridgeAuxiliary                636    1.30      60.57  0.00    0.00               0.00    0.00              0.24            
dotnet                             23828  1.47      66.49  0.00    0.00               3.98    0.00              0.24            
gamepolicyd                        850    0.68      65.78  0.00    0.00               0.80    0.00              0.22            
proactived                         92846  2.04      68.67  0.00    0.00               0.00    0.00              0.21            
Basket.API                         23845  1.93      78.40  0.00    0.00               5.97    0.20              0.21            
distnoted                          553    1.83      86.65  0.00    0.00               0.00    0.00              0.19            
powerd                             334    1.02      48.10  0.00    0.00               0.00    0.00              0.17            
Webhooks.API                       23852  0.68      73.66  0.00    0.00               4.38    0.20              0.16            
trustd                             613    1.52      87.05  0.00    0.00               0.60    0.00              0.16            
launchd                            1      0.68      66.42  0.00    0.00               0.00    0.00              0.15            
bluetoothd                         381    2.72      77.00  0.00    0.00               0.40    0.00              0.13            
eShop.AppHost                      23747  0.35      73.73  0.00    0.00               2.19    0.00              0.12            
PaymentProcessor                   23862  0.62      80.89  0.00    0.00               3.58    0.20              0.12            
dotnet                             23846  0.29      51.22  0.00    0.00               1.00    0.00              0.11            
Notes                              19281  1.52      79.96  0.00    0.00               1.19    0.00              0.11            
Ordering.API                       23859  0.49      84.40  0.00    0.00               3.39    0.20              0.10            
corebrightnessd                    384    1.72      54.87  0.00    0.00               1.00    0.00              0.09            
TextInputSwitcher                  773    0.90      64.80  0.00    0.00               0.00    0.00              0.09            
Identity.API                       23827  1.20      80.52  0.00    0.00               4.18    0.00              0.08            
PAH_Extension                      781    0.74      68.87  0.00    0.00               0.40    0.00              0.08            
dotnet                             23844  0.32      56.31  0.00    0.00               1.19    0.00              0.08            
symptomsd                          499    0.39      23.95  0.00    0.00               0.00    0.00              0.08            
CharacterPalette                   17669  1.37      64.54  0.00    0.00               0.40    0.00              0.07            
locationd                          367    1.07      76.64  0.00    0.00               0.60    0.00              0.06            
airportd                           408    1.30      62.85  0.00    0.00               2.39    0.00              0.05            
Microsoft Word                     70845  1.21      73.02  0.00    0.00               13.54   0.20              0.05            
com.apple.appkit.xpc.openAndSave   86571  0.21      65.34  0.00    0.00               0.40    0.00              0.05            
useractivityd                      657    0.57      82.18  0.00    0.00               0.00    0.00              0.05            
nsurlsessiond                      600    0.33      58.70  0.00    0.00               0.40    0.00              0.05            
dotnet                             23809  0.29      53.97  0.00    0.00               1.39    0.00              0.05            
audioclocksyncd                    480    1.00      58.97  0.00    0.00               0.00    0.00              0.05            
com.apple.Safari.SandboxBroker     86564  0.18      64.49  0.00    0.00               0.40    0.00              0.04            
notifyd                            382    0.14      56.00  0.00    0.00               0.00    0.00              0.04            
PerfPowerServices                  18100  0.63      67.87  0.00    0.00               0.00    0.00              0.04            
sharingd                           662    0.74      82.35  0.00    0.00               1.39    0.00              0.03            
nearbyd                            666    0.57      74.92  0.00    0.00               0.40    0.00              0.03            
ThemeWidgetControlViewService      15954  0.19      64.30  0.00    0.00               0.40    0.00              0.03            
cfprefsd                           554    0.41      54.45  0.00    0.00               0.00    0.00              0.03            
QuickLookUIService                 86572  0.19      64.90  0.00    0.00               0.40    0.00              0.03            
dotnet                             23851  0.09      41.10  0.00    0.00               0.60    0.00              0.03            
universalaccessd                   566    0.38      49.72  0.00    0.00               0.00    0.00              0.03            
opendirectoryd                     360    0.15      53.40  0.00    0.00               0.00    0.00              0.03            
suggestd                           643    0.30      75.33  0.00    0.00               0.00    0.00              0.03            
dotnet                             23830  0.32      59.29  0.00    0.00               1.19    0.00              0.03            
dotnet                             23736  0.18      37.48  0.00    0.00               0.80    0.00              0.02            
dotnet                             23848  0.36      61.40  0.00    0.00               0.80    0.00              0.02            
callservicesd                      637    0.22      66.26  0.00    0.00               0.00    0.00              0.02            
com.apple.hiservices-xpcservice    602    0.16      48.53  0.00    0.00               0.00    0.00              0.02            
TextInputMenuAgent                 757    0.20      67.89  0.00    0.00               0.00    0.00              0.02            
CommCenter                         597    0.08      50.86  0.00    0.00               0.20    0.00              0.02            
distnoted                          372    0.41      61.48  0.00    0.00               0.00    0.00              0.02            
com.apple.appkit.xpc.openAndSave   1561   0.26      63.10  0.00    0.00               0.40    0.00              0.02            
QLPreviewGenerationExtension       1304   0.22      63.85  0.00    0.00               0.40    0.00              0.02            
com.apple.appkit.xpc.openAndSave   23229  0.23      63.92  0.00    0.00               0.40    0.00              0.02            
QuickLookUIService                 587    0.21      65.53  0.00    0.00               0.40    0.00              0.02            
com.apple.appkit.xpc.openAndSave   73559  0.22      64.98  0.00    0.00               0.40    0.00              0.02            
QuickLookUIService                 73644  0.21      63.80  0.00    0.00               0.40    0.00              0.02            
QuickLookUIService                 23230  0.20      65.66  0.00    0.00               0.40    0.00              0.02            
contentlinkingd                    86577  0.08      66.30  0.00    0.00               0.00    0.00              0.02            
ThemeWidgetControlViewService      15958  0.19      67.08  0.00    0.00               0.40    0.00              0.02            
QuickLookUIService                 1562   0.20      64.49  0.00    0.00               0.40    0.00              0.01            
ViewBridgeAuxiliary                524    0.08      40.94  0.00    0.00               0.00    0.00              0.01            
dotnet                             23853  0.15      45.66  0.00    0.00               0.60    0.00              0.01            
mdworker_shared                    31191  0.36      50.79  0.00    0.00               0.20    0.00              0.01            
Finder                             578    0.12      54.43  0.00    0.00               0.00    0.00              0.01            
dotnet                             23861  0.12      37.88  0.00    0.00               0.60    0.00              0.01            
lockoutagent                       604    0.20      46.36  0.00    0.00               1.00    0.00              0.01            
dotnet                             23857  0.13      50.04  0.00    0.00               0.80    0.00              0.01            
Microsoft Excel                    1529   0.25      63.13  0.00    0.00               3.58    0.40              0.01            
lsd                                576    0.14      60.76  0.00    0.00               0.00    0.00              0.01            
Docker Desktop Helper              86414  0.03      94.79  0.00    0.00               0.20    0.00              0.01            
Google Chrome Helper               86605  0.04      92.70  0.00    0.00               0.40    0.00              0.01            
thermalmonitord                    359    0.19      57.52  0.00    0.00               1.00    0.00              0.01            
com.apple.geod                     698    0.05      70.59  0.00    0.00               0.20    0.00              0.01            
dotnet                             23855  0.20      33.85  0.00    0.00               0.60    0.00              0.01            
com.apple.geod                     558    0.05      61.61  0.00    0.00               0.20    0.00              0.01            
wifip2pd                           486    0.11      56.95  0.00    0.00               1.00    0.00              0.01            
diagnostics_agent                  756    0.07      58.15  0.00    0.00               0.00    0.00              0.01            
com.docker.cli                     23810  0.05      50.94  2.39    0.00               2.59    0.00              0.00            
Code Helper (Plugin)               58153  0.17      76.27  0.60    0.00               1.19    0.20              0.00            
Docker Desktop Helper (GPU)        86412  0.18      92.00  0.00    0.00               0.40    0.00              0.00            
docker                             86401  0.12      41.00  2.19    0.00               3.19    0.20              0.00            
Code Helper                        57838  0.16      67.21  0.20    0.00               0.60    0.00              0.00            
appleeventsd                       518    0.04      68.49  0.00    0.00               0.00    0.00              0.00            
appleh13camerad                    514    0.09      28.77  0.00    0.00               1.00    0.00              0.00            
nsurlsessiond                      433    0.12      54.01  0.00    0.00               1.00    0.00              0.00            
photoanalysisd                     92769  0.04      26.47  0.00    0.00               0.20    0.00              0.00            
WirelessRadioManagerd              482    0.08      68.39  0.00    0.00               0.00    0.00              0.00            
gamecontrollerd                    560    0.02      49.47  0.00    0.00               0.20    0.00              0.00            
AMPLibraryAgent                    92879  0.09      72.56  0.00    0.00               0.20    0.00              0.00            
com.docker.cli                     23812  0.01      47.90  0.20    0.00               0.40    0.00              0.00            
gamecontrolleragentd               811    0.04      46.93  0.00    0.00               0.20    0.00              0.00            
mDNSResponderHelper                504    0.04      43.40  0.00    0.00               1.00    0.00              0.00            
Safari                             86553  0.07      54.83  0.00    0.00               0.60    0.00              0.00            
Code Helper                        57837  0.03      82.86  0.00    0.00               0.20    0.00              0.00            
AXVisualSupportAgent               31166  0.06      41.75  0.00    0.00               0.20    0.00              0.00            
awdd                               640    0.01      23.85  0.00    0.00               0.20    0.00              0.00            
systemstats                        329    0.02      23.69  0.00    0.00               0.20    0.00              0.00            
trustd                             439    0.04      60.53  0.00    0.00               0.40    0.00              0.00            
audioaccessoryd                    755    0.01      30.08  0.00    0.00               0.20    0.00              0.00            
docker                             23804  0.03      66.45  0.20    0.00               0.80    0.00              0.00            
distnoted                          443    0.04      50.26  0.00    0.00               0.00    0.00              0.00            
docker                             23805  0.02      48.98  0.20    0.00               0.80    0.00              0.00            
appstoreagent                      820    0.01      21.62  0.00    0.00               0.20    0.00              0.00            
bluetoothuserd                     766    0.01      25.88  0.00    0.00               0.20    0.00              0.00            
accountsd                          620    0.01      28.05  0.00    0.00               0.20    0.00              0.00            
tipsd                              92767  0.04      57.97  0.00    0.00               0.60    0.00              0.00            
distnoted                          86624  0.04      55.72  0.00    0.00               0.00    0.00              0.00            
rapportd                           601    0.02      25.58  0.00    0.00               0.20    0.00              0.00            
weatherd                           904    0.01      36.21  0.00    0.00               0.20    0.00              0.00            
parsecd                            775    0.01      28.33  0.00    0.00               0.20    0.00              0.00            
chronod                            647    0.02      30.70  0.00    0.00               0.20    0.00              0.00            
distnoted                          810    0.03      39.43  0.00    0.00               0.00    0.00              0.00            
mobiletimerd                       652    0.02      12.43  0.00    0.00               0.20    0.00              0.00            
homed                              735    0.01      36.89  0.00    0.00               0.20    0.00              0.00            
distnoted                          459    0.02      42.00  0.00    0.00               0.00    0.00              0.00            
distnoted                          451    0.03      37.60  0.00    0.00               0.00    0.00              0.00            
distnoted                          494    0.03      37.73  0.00    0.00               0.00    0.00              0.00            
distnoted                          843    0.03      38.36  0.00    0.00               0.00    0.00              0.00            
distnoted                          92870  0.03      37.60  0.00    0.00               0.00    0.00              0.00            
distnoted                          836    0.03      37.59  0.00    0.00               0.00    0.00              0.00            
distnoted                          525    0.03      36.75  0.00    0.00               0.00    0.00              0.00            
distnoted                          22052  0.02      43.77  0.00    0.00               0.00    0.00              0.00            
webprivacyd                        86559  0.03      54.36  0.00    0.00               0.40    0.00              0.00            
distnoted                          556    0.03      38.73  0.00    0.00               0.00    0.00              0.00            
distnoted                          528    0.03      40.83  0.00    0.00               0.00    0.00              0.00            
com.apple.geod                     903    0.03      28.08  0.00    0.00               0.20    0.00              0.00            
mlhostd                            70184  0.02      38.45  0.00    0.00               0.20    0.00              0.00            
distnoted                          807    0.03      38.99  0.00    0.00               0.00    0.00              0.00            
findmydeviced                      572    0.01      24.50  0.00    0.00               0.20    0.00              0.00            
Google Chrome Helper (Renderer)    28328  0.00      62.37  0.00    0.00               0.20    0.00              0.00            
distnoted                          590    0.02      39.49  0.00    0.00               0.00    0.00              0.00            
com.apple.Safari.SafeBrowsing.Se   86575  0.02      58.03  0.00    0.00               0.40    0.00              0.00            
distnoted                          727    0.02      43.15  0.00    0.00               0.00    0.00              0.00            
analyticsd                         417    0.02      19.93  0.00    0.00               0.20    0.00              0.00            
softwareupdated                    510    0.02      54.72  0.00    0.00               0.40    0.00              0.00            
calaccessd                         609    0.02      33.62  0.00    0.00               0.20    0.00              0.00            
com.apple.WebKit.Networking        86561  0.03      41.26  0.00    0.00               0.20    0.00              0.00            
uninstalld                         324    0.02      19.93  0.00    0.00               0.20    0.00              0.00            
cloudd                             639    0.02      35.06  0.00    0.00               0.20    0.00              0.00            
askpermissiond                     751    0.02      22.84  0.00    0.00               0.20    0.00              0.00            
syspolicyd                         481    0.02      50.95  0.00    0.00               0.20    0.00              0.00            
rtcreportingd                      679    0.02      36.33  0.00    0.00               0.20    0.00              0.00            
amsaccountsd                       759    0.01      28.15  0.00    0.00               0.20    0.00              0.00            
com.apple.geod                     92752  0.02      49.51  0.00    0.00               0.20    0.00              0.00            
identityservicesd                  631    0.01      51.88  0.00    0.00               0.20    0.00              0.00            
UserEventAgent                     322    0.02      40.77  0.00    0.00               0.20    0.00              0.00            
Code Helper                        57348  0.05      95.91  0.00    0.00               0.20    0.00              0.00            
apsd                               361    0.01      47.64  0.00    0.00               0.20    0.00              0.00            
networkserviceproxy                772    0.02      28.28  0.00    0.00               0.20    0.00              0.00            
nbagent                            92772  0.01      53.93  0.00    0.00               0.20    0.00              0.00            
WallpaperVideoExtension            627    0.02      21.08  0.00    0.00               0.20    0.00              0.00            
Spotlight                          767    0.01      40.43  0.00    0.00               0.20    0.00              0.00            
com.docker.dev-envs                86402  0.02      54.38  0.00    0.00               0.40    0.00              0.00            
configd                            332    0.02      21.14  0.00    0.00               0.20    0.00              0.00            
routined                           606    0.01      28.27  0.00    0.00               0.20    0.00              0.00            
maild                              911    0.00      68.75  0.00    0.00               0.20    0.00              0.00            
ALL_TASKS                          -2     1946.56   61.74  2945.91 87.04              5107.89 321.26            1079.26         


*** Sampled system activity (Sun Jul 21 00:09:39 2024 +0200) (5030.06ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
qemu-system-aarch64                23763  326.78    58.20  0.00    81.40              189.60  5.16              120.46          
WebApp                             23856  227.81    49.71  0.99    0.20               16.68   0.79              107.39          
Catalog.API                        23840  228.30    39.02  0.00    0.00               5.96    0.40              103.91          
Google Chrome Helper (Renderer)    24175  87.41     93.85  2.18    1.19               27.00   0.79              63.86           
Code Helper (Renderer)             57365  117.90    88.58  11.71   4.17               22.04   0.40              48.84           
WindowServer                       388    168.70    64.07  20.65   0.00               174.31  7.94              28.15           
Python                             31184  54.99     91.51  1.39    0.20               9.53    0.99              17.04           
com.docker.backend                 86394  45.51     43.64  1173.33 3.18               1204.10 2.78              16.44           
dcpctrl                            23803  35.27     23.16  1167.97 0.79               1178.29 2.18              15.14           
powermetrics                       31192  8.78      60.84  0.00    0.00               0.20    0.00              14.92           
Google Chrome Helper (GPU)         86601  33.05     66.84  2.58    0.00               34.54   0.40              14.35           
Code Helper (GPU)                  57347  66.19     71.85  6.55    14.10              39.51   0.99              13.50           
DEAD_TASKS                         -1     11.67     25.34  0.00    0.00               0.00    0.00              10.14           
kernel_task                        0      138.69    0.00   404.81  2.38               1414.74 347.23            8.13            
Code Helper                        57836  18.17     61.03  54.99   15.88              74.45   1.39              4.23            
Docker Desktop Helper (Renderer)   86422  8.23      94.10  0.00    0.00               2.98    0.00              2.16            
Code Helper (Plugin)               57839  6.87      84.94  0.00    0.00               0.20    0.00              1.50            
Electron                           57110  6.92      83.01  0.79    0.00               1.59    0.20              1.25            
Google Chrome Helper               86602  2.52      52.83  0.00    0.00               0.99    0.00              1.04            
dcp                                23802  4.17      82.44  42.49   0.00               52.81   1.19              0.99            
Google Chrome                      86597  4.77      73.50  0.00    0.00               3.18    0.20              0.70            
WebhookClient                      23847  2.10      59.32  0.00    0.00               5.96    0.00              0.50            
PaymentProcessor                   23862  1.82      68.11  0.00    0.00               5.16    0.40              0.27            
Ordering.API                       23859  1.22      80.34  0.00    0.00               4.76    0.00              0.24            
dotnet                             23828  1.54      61.49  0.00    0.00               4.17    0.00              0.20            
Identity.API                       23827  1.35      88.44  0.00    0.00               4.57    0.00              0.20            
Basket.API                         23845  0.51      89.79  0.00    0.00               3.57    0.00              0.17            
dotnet                             23857  0.73      25.08  0.00    0.00               1.39    0.00              0.16            
logd                               320    2.34      35.23  0.00    0.00               0.00    0.00              0.16            
dotnet                             23736  0.34      55.50  0.00    0.00               1.39    0.00              0.13            
runningboardd                      404    2.79      78.90  0.00    0.00               1.39    0.40              0.13            
Mobile.Bff.Shopping                23850  0.47      76.86  0.00    0.00               4.37    0.00              0.13            
Webhooks.API                       23852  1.51      89.03  0.00    0.00               4.57    0.20              0.13            
eShop.AppHost                      23747  0.31      64.68  0.00    0.00               1.79    0.00              0.09            
dotnet                             23851  0.31      54.52  0.00    0.00               1.39    0.00              0.09            
corebrightnessd                    384    1.77      53.20  0.00    0.00               0.99    0.20              0.09            
fseventsd                          325    1.21      31.64  0.20    0.00               2.98    0.00              0.08            
OrderProcessor                     23854  1.18      85.55  0.00    0.00               4.37    0.00              0.07            
dotnet                             23853  0.35      41.28  0.00    0.00               1.39    0.00              0.07            
Microsoft Excel                    1529   1.95      85.14  0.00    0.00               3.77    0.20              0.07            
Microsoft Word                     70845  1.64      69.26  0.00    0.00               14.49   1.19              0.06            
Docker Desktop                     86409  1.23      76.34  0.79    0.00               1.79    0.20              0.05            
airportd                           408    1.41      65.99  0.00    0.00               1.79    0.00              0.05            
parsecd                            775    0.52      65.60  0.00    0.00               0.79    0.00              0.05            
audioclocksyncd                    480    1.01      59.67  0.00    0.00               0.00    0.00              0.05            
PerfPowerServices                  18100  0.65      69.99  0.00    0.00               0.00    0.00              0.04            
mds_stores                         544    0.47      49.35  0.00    0.00               0.00    0.00              0.03            
mds                                349    0.50      55.46  0.00    0.00               1.39    0.00              0.03            
distnoted                          553    0.53      92.14  0.00    0.00               0.20    0.00              0.03            
launchd                            1      0.09      57.84  0.00    0.00               0.20    0.00              0.03            
dotnet                             23861  0.48      50.16  0.00    0.00               1.39    0.00              0.03            
bluetoothd                         381    0.49      71.49  0.00    0.00               0.20    0.00              0.03            
