Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:30 2024



*** Sampled system activity (Sat Jul 20 22:38:32 2024 +0200) (5018.85ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    24175  201.11    92.19  21.89   3.78               62.67   5.57              171.33          
qemu-system-aarch64                23763  135.28    63.21  0.00    22.88              81.37   5.97              85.73           
Docker Desktop Helper (Renderer)   86422  38.26     93.20  4.78    0.00               7.36    0.00              66.95           
Catalog.API                        23840  51.04     59.79  0.00    0.00               6.76    0.40              57.50           
WindowServer                       388    247.77    57.50  39.99   0.40               240.94  10.35             52.56           
Code Helper (Renderer)             57365  51.28     88.60  3.58    0.99               11.94   0.00              48.05           
Google Chrome Helper (GPU)         86601  106.75    68.71  0.20    0.00               90.73   4.97              47.25           
WebApp                             23856  48.60     56.11  1.39    0.00               12.93   0.20              43.13           
securityd                          365    8.80      97.37  0.00    0.00               0.00    0.00              16.47           
DEAD_TASKS                         -1     33.90     43.24  68.14   0.80               70.53   0.00              13.66           
powermetrics                       27593  8.04      39.11  0.00    0.00               0.20    0.00              13.50           
Python                             27581  15.15     88.11  0.40    0.00               5.57    0.40              12.78           
com.docker.backend                 86394  14.65     49.61  458.40  2.79               492.82  3.98              10.96           
dcpctrl                            23803  14.66     48.95  458.40  1.79               471.33  4.38              10.73           
Google Chrome                      86597  25.67     81.88  0.00    0.00               5.17    0.20              9.36            
Code Helper (GPU)                  57347  11.27     67.76  0.99    1.39               9.35    0.00              6.07            
kernel_task                        0      85.25     0.00   343.01  1.39               1210.27 246.71            5.65            
Terminal                           1105   19.13     79.83  0.00    0.00               2.59    0.00              4.30            
CursorUIViewService                765    9.75      85.54  0.00    0.00               0.99    0.00              2.62            
Code Helper                        57836  7.32      52.94  22.88   2.19               30.44   0.80              2.62            
WindowManager                      570    5.60      89.62  0.00    0.00               0.20    0.00              2.08            
ContextStoreAgent                  628    7.06      84.54  0.00    0.00               0.00    0.00              1.32            
BiomeAgent                         745    5.38      43.00  0.00    0.00               0.00    0.00              1.00            
Code Helper (Plugin)               57839  0.98      82.14  0.20    0.00               0.60    0.00              0.66            
dotnet                             23828  2.25      49.55  0.00    0.00               4.38    0.00              0.65            
runningboardd                      404    2.61      74.53  0.00    0.00               0.80    0.00              0.60            
Electron                           57110  2.64      80.61  0.40    0.00               1.59    0.20              0.50            
OrderProcessor                     23854  2.37      66.60  0.00    0.00               4.38    0.60              0.46            
Google Chrome Helper               86602  0.76      67.38  0.00    0.00               0.40    0.00              0.35            
mds_stores                         544    4.43      79.79  0.00    0.00               0.00    0.00              0.35            
Webhooks.API                       23852  1.47      70.85  0.00    0.00               5.77    0.20              0.32            
WebhookClient                      23847  2.29      61.10  0.00    0.00               6.37    0.20              0.29            
Identity.API                       23827  1.41      90.99  0.00    0.00               4.97    0.60              0.26            
