Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:30 2024



*** Sampled system activity (Sat Jul 20 23:14:31 2024 +0200) (5019.54ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    24175  236.44    92.47  19.72   4.18               61.34   4.18              237.35          
qemu-system-aarch64                23763  199.16    60.57  0.00    34.05              102.56  3.58              93.19           
WindowServer                       388    318.72    58.77  39.03   0.40               287.37  10.55             75.20           
Google Chrome Helper (GPU)         86601  102.53    70.75  0.00    0.20               106.54  2.99              63.01           
Docker Desktop Helper (Renderer)   86422  37.59     92.45  7.57    0.00               10.55   0.00              61.78           
WebApp                             23856  87.55     52.68  1.39    0.40               14.74   1.39              48.51           
Catalog.API                        23840  77.04     46.71  0.20    0.00               6.17    0.20              42.76           
Google Chrome                      86597  56.05     79.56  0.00    0.00               4.78    0.00              22.85           
com.docker.backend                 86394  28.86     53.81  698.21  2.79               731.47  3.78              18.31           
powermetrics                       29080  5.84      55.40  0.00    0.00               0.20    0.00              14.77           
DEAD_TASKS                         -1     42.10     41.23  90.05   0.60               92.84   0.20              14.33           
Python                             29071  24.45     89.64  0.00    0.20               5.58    0.00              12.80           
securityd                          365    10.47     97.66  0.00    0.00               0.00    0.00              12.46           
Code Helper (Renderer)             57365  36.48     87.33  4.78    1.39               13.94   0.60              12.11           
dcpctrl                            23803  17.70     34.20  570.36  0.80               581.71  2.19              11.41           
Code Helper (GPU)                  57347  21.40     70.72  1.59    4.38               14.14   0.40              7.56            
kernel_task                        0      120.35    0.00   467.00  2.39               1678.61 307.48            7.55            
Terminal                           1105   22.43     75.16  0.00    0.00               2.59    0.20              5.32            
CursorUIViewService                765    11.01     86.34  0.00    0.00               1.39    0.00              4.11            
Code Helper                        57836  10.54     56.27  27.08   4.78               37.04   0.80              2.66            
WindowManager                      570    7.27      90.84  0.00    0.00               0.40    0.00              2.60            
