Machine model: MacBookPro18,3
OS version: 23F79
Boot arguments: 
Boot time: Tue Jul 16 21:05:32 2024



*** Sampled system activity (Sat Jul 20 21:37:00 2024 +0200) (5020.29ms elapsed) ***

*** Running tasks ***

Name                               ID     CPU ms/s  User%  Deadlines (<2 ms, 2-5 ms)  Wakeups (Intr, Pkg idle)  Energy Impact
Google Chrome Helper (Renderer)    24175  199.56    91.60  22.88   3.18               66.64   5.37              176.18          
WindowServer                       388    248.64    57.19  37.40   0.40               247.47  9.75              47.42           
Google Chrome Helper (GPU)         86601  105.26    69.27  0.20    0.20               94.89   2.79              44.92           
qemu-system-aarch64                23763  112.68    66.46  0.00    24.67              89.12   7.56              41.45           
Catalog.API                        23840  36.08     49.74  0.20    0.00               6.96    0.40              19.69           
WebApp                             23856  35.35     53.06  0.00    0.20               10.15   0.60              16.79           
powermetrics                       25193  9.54      41.80  0.00    0.00               0.20    0.00              14.35           
DEAD_TASKS                         -1     25.52     29.79  0.00    0.00               0.00    0.00              9.38            
Google Chrome                      86597  28.97     80.85  0.00    0.00               5.17    0.60              9.15            
Code Helper (Renderer)             57365  21.15     89.75  1.99    0.40               8.95    0.20              8.88            
Code Helper (GPU)                  57347  13.04     66.55  0.99    1.79               8.95    0.20              5.73            
com.docker.backend                 86394  15.06     51.94  395.48  0.80               429.29  5.97              5.50            
mdworker_shared                    25198  29.35     80.94  0.00    0.00               0.00    0.00              11.52           
kernel_task                        0      89.81     0.00   368.02  8.95               1262.82 267.76            5.24            
CursorUIViewService                765    5.34      84.27  0.00    0.00               0.99    0.00              4.27            
mdworker_shared                    25196  30.04     81.08  0.00    0.00               0.00    0.00              8.61            
mdworker_shared                    25197  29.66     81.64  0.00    0.00               0.00    0.00              8.55            
Terminal                           1105   22.06     79.29  0.00    0.00               2.59    0.20              3.84            
Docker Desktop Helper (Renderer)   86422  8.39      89.11  0.20    0.00               0.99    0.00              3.44            
dcpctrl                            23803  7.96      46.39  212.26  0.60               222.01  2.39              2.89            
Python                             25185  9.26      87.47  0.20    0.00               5.37    0.40              2.67            
com.docker.cli                     25199  118.74    54.10  446.12  2.90               451.91  0.00              34.02           
com.docker.cli                     25200  111.24    54.38  425.39  2.91               431.22  0.00              33.51           
WindowManager                      570    6.46      89.09  0.00    0.00               0.60    0.00              1.76            
ContextStoreAgent                  628    6.16      87.83  0.00    0.00               0.00    0.00              1.22            
securityd                          365    3.81      97.51  0.00    0.00               0.00    0.00              1.12            
Code Helper                        57836  6.57      49.95  15.32   2.19               22.68   1.19              1.12            
BiomeAgent                         745    4.61      43.89  0.00    0.00               0.00    0.00              0.94            
distnoted                          553    1.50      67.23  0.00    0.00               0.00    0.00              0.84            
runningboardd                      404    2.84      75.80  0.00    0.00               0.99    0.20              0.70            
mds_stores                         544    4.65      77.77  0.00    0.00               0.00    0.00              0.64            
dotnet                             23828  1.86      49.78  0.00    0.00               4.18    0.60              0.53            
mds                                349    5.30      59.55  0.00    0.00               2.39    0.40              0.51            
Safari                             86553  0.84      79.23  0.00    0.00               2.79    0.20              0.47            
Google Chrome Helper               86602  0.58      56.05  0.00    0.00               0.80    0.00              0.45            
launchservicesd                    362    1.38      64.36  0.00    0.00               0.00    0.00              0.38            
Electron                           57110  3.69      75.98  0.40    0.00               1.59    0.20              0.37            
Basket.API                         23845  2.88      63.79  0.00    0.00               4.97    0.00              0.35            
launchd                            1      2.96      42.06  0.00    0.00               0.20    0.00              0.35            
cfprefsd                           554    1.58      66.76  0.00    0.00               0.20    0.00              0.34            
