Duration;ProcessName;ProcessID;CPUms/s;User%;Deadlines;(<2ms,2-5ms);Wakeups;(intr,pkg,idle);EnergyImpact;;;;;;;;
01:00:53;GoogleChrome;4514;78,79;75,76;0,00;0,00;4,58;0,00;15,79;;;;;;;;
01:00:58;GoogleChrome;4514;120,03;76,35;0,00;0,00;27,04;1,19;24,21;;;;;;;;
01:01:03;GoogleChrome;4514;149,25;70,46;0,00;0,00;7,71;0,59;12,66;;;;;;;;
01:01:08;GoogleChrome;4514;138,26;76,51;0,00;0,00;5,95;0,00;15,45;;;;;;;;
01:01:13;GoogleChrome;4514;116,88;77,02;0,00;0,00;21,69;1,00;18,95;;;;;;;;
01:01:18;GoogleChrome;4514;103,75;75,25;0,00;0,00;3,17;0,00;10,85;;;;;;;;
01:01:23;GoogleChrome;4514;140,79;76,24;0,00;0,00;10,87;0,40;18,18;;;;;;;;
01:01:28;GoogleChrome;4514;164,45;78,67;0,00;0,00;53,40;3,16;28,82;;;;;;;;
01:01:33;GoogleChrome;4514;73,37;73,76;0,00;0,00;8,31;1,58;6,01;;;;;;;;
01:01:38;GoogleChrome;4514;114,32;76,67;0,00;0,00;2,77;0,00;13,78;;;;;;;;
01:01:43;GoogleChrome;4514;144,30;75,02;0,00;0,00;9,53;1,39;18,42;;;;;;;;
01:01:48;GoogleChrome;4514;112,48;74,34;0,00;0,00;8,90;0,59;15,26;;;;;;;;
01:01:54;GoogleChrome;4514;167,21;76,31;0,00;0,00;8,32;0,40;18,31;;;;;;;;
01:01:59;GoogleChrome;4514;131,77;77,27;0,00;0,00;9,10;0,40;24,91;;;;;;;;
01:02:04;GoogleChrome;4514;146,79;75,46;0,00;0,00;7,36;0,80;18,38;;;;;;;;
01:02:09;GoogleChrome;4514;121,92;76,61;0,00;0,00;6,73;0,40;16,96;;;;;;;;
01:02:14;GoogleChrome;4514;110,34;75,83;0,00;0,00;7,33;0,79;13,82;;;;;;;;
01:02:19;GoogleChrome;4514;148,83;74,66;0,00;0,00;9,29;0,40;18,78;;;;;;;;
01:02:24;GoogleChrome;4514;123,67;75,88;0,00;0,00;7,93;0,79;17,92;;;;;;;;
01:02:29;GoogleChrome;4514;140,52;76,37;0,00;0,00;7,51;0,20;16,38;;;;;;;;
01:02:34;GoogleChrome;4514;142,35;76,47;0,00;0,00;9,48;1,19;16,38;;;;;;;;
01:02:39;GoogleChrome;4514;78,23;74,44;0,00;0,00;5,15;0,00;12,25;;;;;;;;
01:02:44;GoogleChrome;4514;150,35;77,01;0,00;0,00;7,13;0,59;25,85;;;;;;;;
01:02:49;GoogleChrome;4514;167,24;76,89;0,00;0,00;7,91;0,59;25,16;;;;;;;;
01:02:54;GoogleChrome;4514;119,31;76,69;0,00;0,00;9,69;0,40;15,53;;;;;;;;
01:02:59;GoogleChrome;4514;145,88;75,26;0,00;0,00;10,48;0,20;21,02;;;;;;;;
01:03:04;GoogleChrome;4514;147,03;76,06;0,00;0,00;9,10;1,19;22,38;;;;;;;;
01:03:09;GoogleChrome;4514;119,02;77,06;0,00;0,00;10,52;0,99;17,29;;;;;;;;
01:03:14;GoogleChrome;4514;137,65;76,24;0,00;0,00;7,51;0,40;17,60;;;;;;;;
01:03:19;GoogleChrome;4514;133,85;77,36;0,00;0,00;51,36;3,36;19,20;;;;;;;;
01:03:24;GoogleChrome;4514;168,03;77,76;0,00;0,00;83,41;6,13;26,53;;;;;;;;
01:03:30;GoogleChrome;4514;176,44;77,44;0,00;0,00;93,28;10,28;25,00;;;;;;;;
01:03:35;GoogleChrome;4514;151,59;78,32;0,00;0,00;87,47;8,10;22,98;;;;;;;;
01:03:40;GoogleChrome;4514;111,24;74,50;0,00;0,00;5,73;0,00;9,40;;;;;;;;
01:03:45;GoogleChrome;4514;162,88;75,24;0,00;0,00;6,53;0,40;17,98;;;;;;;;
01:03:50;GoogleChrome;4514;148,99;76,78;0,00;0,00;15,80;1,18;21,34;;;;;;;;
01:03:55;GoogleChrome;4514;151,71;77,00;0,00;0,00;82,01;6,72;22,08;;;;;;;;
01:04:00;GoogleChrome;4514;172,45;75,09;0,00;0,00;12,06;0,40;22,80;;;;;;;;
01:04:05;GoogleChrome;4514;102,79;75,74;0,00;0,00;12,85;0,99;15,31;;;;;;;;
01:04:10;GoogleChrome;4514;157,73;75,92;0,00;0,00;9,29;0,40;22,73;;;;;;;;
01:04:15;GoogleChrome;4514;139,78;77,25;0,00;0,00;13,04;0,20;24,24;;;;;;;;
01:04:20;GoogleChrome;4514;131,65;74,14;0,00;0,00;7,91;1,19;12,01;;;;;;;;
01:04:25;GoogleChrome;4514;116,13;76,08;0,00;0,00;4,35;0,20;10,79;;;;;;;;
01:04:30;GoogleChrome;4514;130,51;75,47;0,00;0,00;4,74;0,39;15,59;;;;;;;;
01:04:35;GoogleChrome;4514;115,11;75,53;0,00;0,00;8,11;0,59;17,68;;;;;;;;
01:04:40;GoogleChrome;4514;130,13;75,81;0,00;0,00;8,11;0,20;15,35;;;;;;;;
01:04:45;GoogleChrome;4514;67,36;75,17;0,00;0,00;4,95;0,20;10,86;;;;;;;;
01:04:50;GoogleChrome;4514;112,67;74,70;0,00;0,00;6,14;0,59;13,84;;;;;;;;
01:04:56;GoogleChrome;4514;106,10;75,54;0,00;0,00;4,55;0,20;14,06;;;;;;;;
01:05:01;GoogleChrome;4514;58,80;75,44;0,00;0,00;7,51;0,59;8,93;;;;;;;;
01:05:06;GoogleChrome;4514;81,64;76,14;0,00;0,00;3,16;0,20;9,00;;;;;;;;
01:05:11;GoogleChrome;4514;113,44;75,78;0,00;0,00;5,93;0,20;17,88;;;;;;;;
01:05:16;GoogleChrome;4514;65,87;75,85;0,00;0,00;4,94;0,79;8,06;;;;;;;;
01:05:21;GoogleChrome;4514;110,54;75,21;0,00;0,00;8,69;0,79;13,57;AVERAGECHROMECONSUMPTIONIN5MINUTES;;;;;;;
01:00:53;Catalog,API;612;27,99;96,30;0,00;0,00;5,18;0,20;22,57;;934,51;;;;;;
01:00:58;Catalog,API;612;16,82;95,25;0,00;0,00;4,97;0,20;30,68;;17,31;average energy impact by chrome in 5minutes;;;;;
01:01:03;Catalog,API;612;3,73;84,94;0,00;0,00;4,35;0,40;0,32;;;;;;;;
01:01:08;Catalog,API;612;3,20;89,06;0,00;0,00;4,36;0,60;0,24;;;;;;;;
01:01:13;Catalog,API;612;41,79;95,49;0,00;0,00;4,98;0,00;80,25;;;;;;;;
01:01:18;Catalog,API;612;4,95;73,10;0,00;0,00;6,14;0,40;0,49;;;;;;;;
01:01:23;Catalog,API;612;3,32;87,97;0,00;0,00;4,94;0,20;0,34;;;;;;;;
01:01:28;Catalog,API;612;5,92;66,61;0,00;0,00;3,96;0,20;1,43;;;;;;;;
01:01:33;Catalog,API;612;9,20;72,72;0,00;0,00;5,34;0,59;3,74;;;;;;;;
01:01:38;Catalog,API;612;4,23;85,51;0,00;0,00;3,57;0,40;1,97;;;;;;;;
