Duration;Process Name;Process ID;CPU ms/s;User%;Deadlines; (<2 ms, 2-5 ms);Wakeups;(intr,pkg,idle);EnergyImpact;;
17:03:49;WebApp ;8163;57.28; 92.330.000.03;;;8.06;0.37 ;54.53;;
17:04:19;WebApp ;8163;27.26; 88.190.000.00;;;7.32;0.83 ;32.50;;
17:04:49;WebApp ;8163;31.03; 88.390.000.00;;;7.49;0.57 ;33.85;;
17:05:19;WebApp ;8163;33.64; 86.690.170.00;;;7.95;0.93 ;21.18;;
17:05:49;WebApp ;8163;23.52; 82.240.000.07;;;7.45;1.13 ;13.34;;
17:06:19;WebApp ;8163;25.09; 76.360.030.00;;;7.39;0.83 ;9.38 ;;
17:06:49;WebApp ;8163;23.14; 77.140.100.07;;;7.39;0.70 ;11.81;;0,00
17:07:19;WebApp ;8163;22.84; 79.200.030.00;;;7.62;0.96 ;16.38;;
17:07:49;WebApp ;8163;10.72; 67.790.000.03;;;7.45;1.06 ;1.20 ;;
17:08:19;WebApp ;8163;13.12; 73.210.070.03;;;7.49;0.63 ;2.33 ;;
17:08:49;WebApp ;8163;13.61; 70.600.030.10;;;7.06;0.83 ;2.45 ;;
17:09:19;WebApp ;8163;15.85; 65.020.030.10;;;7.32;0.73 ;3.16 ;;
17:09:49;WebApp ;8163;13.69; 69.720.000.03;;;7.85;0.90 ;1.88 ;;
17:10:19;WebApp ;8163;13.09; 68.280.030.03;;;7.56;0.67 ;2.17 ;;
17:10:49;WebApp ;8163;11.46; 69.290.000.03;;;7.39;0.96 ;1.61 ;;
17:11:19;WebApp ;8163;11.02; 64.710.000.00;;;7.52;0.60 ;1.77 ;;
17:11:49;WebApp ;8163;14.20; 72.610.000.00;;;7.99;0.77 ;2.20 ;;
17:12:19;WebApp ;8163;8.31 ; 67.100.000.03;;;7.52;1.36 ;1.09 ;;
17:12:49;WebApp ;8163;9.31 ; 66.440.000.07;;;7.59;0.70 ;1.19 ;;
17:13:19;WebApp ;8163;9.00 ; 65.820.000.00;;;7.89;0.90 ;1.22 ;;
17:13:50;WebApp ;8163;7.01 ; 60.480.000.00;;;7.99;1.06 ;0.53 ;;
17:14:20;WebApp ;8163;9.47 ; 68.720.000.03;;;7.92;0.83 ;2.31 ;;
17:14:50;WebApp ;8163;9.23 ; 66.370.030.00;;;7.82;1.00 ;1.45 ;;
17:15:20;WebApp ;8163;10.39; 70.860.000.03;;;7.62;0.73 ;1.64 ;;
17:15:50;WebApp ;8163;14.12; 64.620.030.00;;;7.85;0.93 ;2.58 ;;
17:16:20;WebApp ;8163;11.33; 71.380.030.00;;;7.55;0.53 ;1.94 ;;
17:16:50;WebApp ;8163;10.48; 67.760.070.00;;;7.99;0.83 ;1.68 ;;
17:17:20;WebApp ;8163;14.56; 68.680.030.10;;;7.99;0.67 ;2.58 ;;
17:17:50;WebApp ;8163;24.56; 67.470.000.03;;;8.02;0.80 ;5.56 ;;
17:18:20;WebApp ;8163;13.26; 61.880.070.03;;;7.72;0.67 ;2.02 ;;
17:18:50;WebApp ;8163;9.15 ; 64.870.000.07;;;7.99;1.06 ;1.75 ;;
17:19:20;WebApp ;8163;16.02; 58.340.000.00;;;7.65;0.87 ;2.72 ;;
17:19:50;WebApp ;8163;12.07; 60.340.030.00;;;7.82;0.77 ;2.06 ;;
17:20:20;WebApp ;8163;12.24; 65.260.000.03;;;7.69;0.77 ;1.91 ;;
17:20:50;WebApp ;8163;10.46; 66.290.000.00;;;8.35;0.93 ;1.74 ;;
17:21:20;WebApp ;8163;7.78 ; 64.720.000.07;;;7.75;0.73 ;1.06 ;;
17:21:50;WebApp ;8163;10.56; 59.260.030.07;;;8.25;1.10 ;1.97 ;;
17:22:20;WebApp ;8163;12.02; 58.810.070.03;;;7.92;0.60 ;2.21 ;;
17:22:51;WebApp ;8163;18.36; 67.360.100.00;;;8.59;0.70 ;4.34 ;;
17:23:21;WebApp ;8163;11.56; 64.060.100.00;;;7.99;0.96 ;1.64 ;;
17:23:51;WebApp ;8163;13.03; 61.380.070.13;;;8.02;1.10 ;1.83 ;;
17:24:21;WebApp ;8163;9.02 ; 62.020.000.07;;;8.15;1.00 ;1.24 ;;
17:24:51;WebApp ;8163;10.68; 68.330.000.03;;;8.22;1.06 ;1.13 ;;
17:25:21;WebApp ;8163;13.16; 64.120.030.00;;;8.05;1.00 ;1.70 ;;
17:25:51;WebApp ;8163;13.67; 65.990.030.00;;;8.15;0.77 ;2.77 ;;
17:26:21;WebApp ;8163;9.13 ; 65.960.000.03;;;8.05;1.07 ;1.19 ;;
17:26:51;WebApp ;8163;8.15 ; 60.470.000.03;;;8.32;1.13 ;0.80 ;;
17:27:21;WebApp ;8163;9.19 ; 69.000.030.00;;;8.38;0.70 ;2.40 ;;
17:27:51;WebApp ;8163;7.93 ; 60.770.030.00;;;8.65;1.56 ;0.85 ;;
17:28:21;WebApp ;8163;11.14; 60.840.070.00;;;8.42;1.13 ;1.42 ;;
17:28:51;WebApp ;8163;14.66; 58.250.030.03;;;8.32;1.00 ;2.65 ;;
17:29:21;WebApp ;8163;12.28; 65.640.030.07;;;8.02;0.90 ;2.06 ;;
